Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634772587.512593,1634772587.685177,1,172.58405685424805,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4758,2193,9,5,5548,983,
1634772591.761561,1634772591.938551,3,176.99003219604492,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4756,2193,9,5,5546,983,
1634772596.033218,1634772596.209883,5,176.6650676727295,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4751,2193,9,5,5541,983,
1634772600.307368,1634772600.480714,7,173.34604263305664,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772604.572432,1634772604.745932,9,173.50006103515625,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4749,2193,9,5,5539,983,
1634772608.82324,1634772608.999112,11,175.8718490600586,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4751,2193,9,5,5541,983,
1634772613.074906,1634772613.251744,13,176.83792114257812,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772617.335115,1634772617.508424,15,173.3090877532959,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4750,2193,9,5,5540,983,
1634772621.594735,1634772621.767055,17,172.32012748718262,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4755,2193,9,5,5545,983,
1634772625.834905,1634772626.011124,19,176.21898651123047,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4758,2193,9,5,5548,983,
1634772630.113611,1634772630.288063,21,174.4520664215088,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772634.386829,1634772634.563442,23,176.61309242248535,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4752,2193,9,5,5542,983,
1634772638.641275,1634772638.81868,25,177.40511894226074,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4749,2193,9,5,5539,983,
1634772642.915422,1634772643.088571,27,173.14910888671875,rsa,1000,drop,QHvoPetNHa.pcap,5,7,4756,2339,9,7,5546,1045,
1634772647.159406,1634772647.336348,29,176.9421100616455,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772651.425833,1634772651.598342,31,172.50895500183105,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4755,2193,9,5,5545,983,
1634772655.677578,1634772655.851221,33,173.6431121826172,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4759,2193,9,5,5549,983,
1634772659.936021,1634772660.111395,35,175.37379264831543,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4749,2193,9,5,5539,983,
1634772664.181335,1634772664.359056,37,177.7210235595703,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4753,2193,9,5,5543,983,
1634772668.443807,1634772668.618358,39,174.55101013183594,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4752,2193,9,5,5542,983,
1634772673.023591,1634772673.196935,41,173.34389686584473,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4753,2193,9,5,5543,983,
1634772677.292827,1634772677.47005,43,177.22320556640625,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4759,2193,9,5,5549,983,
1634772681.553317,1634772681.730343,45,177.02603340148926,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4754,2193,9,5,5544,983,
1634772685.799124,1634772685.972681,47,173.55704307556152,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4751,2193,9,5,5541,983,
1634772690.055858,1634772690.230116,49,174.25799369812012,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4754,2193,9,5,5544,983,
1634772694.318336,1634772694.490868,51,172.5320816040039,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772698.5682,1634772698.741372,53,173.1719970703125,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772702.816604,1634772702.992903,55,176.2990951538086,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4754,2193,9,5,5544,983,
1634772707.107348,1634772707.279739,57,172.39093780517578,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4758,2193,9,5,5548,983,
1634772711.360179,1634772711.534507,59,174.32808876037598,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4757,2193,9,5,5547,983,
1634772715.659667,1634772715.837056,61,177.38890647888184,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4756,2193,9,5,5546,983,
1634772719.931055,1634772720.104362,63,173.30694198608398,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4758,2193,9,5,5548,983,
1634772724.17882,1634772724.353546,65,174.72600936889648,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4749,2193,9,5,5539,983,
1634772728.44282,1634772728.618881,67,176.06091499328613,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4758,2193,9,5,5548,983,
1634772732.712614,1634772732.886067,69,173.45285415649414,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4752,2193,9,5,5542,983,
1634772736.987499,1634772737.163812,71,176.31292343139648,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4758,2193,9,5,5548,983,
1634772741.241166,1634772741.415887,73,174.72100257873535,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4753,2193,9,5,5543,983,
1634772745.495156,1634772745.667604,75,172.44791984558105,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4751,2193,9,5,5541,983,
1634772749.770325,1634772749.945739,77,175.4140853881836,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4756,2193,9,5,5546,983,
1634772754.027599,1634772754.201979,79,174.37982559204102,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4759,2193,9,5,5549,983,
1634772758.287579,1634772758.462109,81,174.530029296875,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772762.535342,1634772762.710515,83,175.1730442047119,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4753,2193,9,5,5543,983,
1634772766.788005,1634772766.962912,85,174.90696907043457,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4754,2193,9,5,5544,983,
1634772771.048165,1634772771.220555,87,172.38998413085938,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4752,2193,9,5,5542,983,
1634772775.304387,1634772775.476631,89,172.24383354187012,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4759,2193,9,5,5549,983,
1634772779.56488,1634772779.742329,91,177.44898796081543,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772783.815631,1634772783.992585,93,176.9540309906006,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4754,2193,9,5,5544,983,
1634772788.07021,1634772788.242761,95,172.55091667175293,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4753,2193,9,5,5543,983,
1634772792.329718,1634772792.502787,97,173.06900024414062,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4751,2193,9,5,5541,983,
1634772796.584603,1634772796.760944,99,176.34081840515137,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4753,2193,9,5,5543,983,
1634772800.844622,1634772801.020563,101,175.94099044799805,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772805.116118,1634772805.290413,103,174.29494857788086,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4748,2193,9,5,5538,983,
1634772809.387489,1634772809.562336,105,174.84688758850098,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4753,2193,9,5,5543,983,
1634772813.628458,1634772813.80106,107,172.60193824768066,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4756,2193,9,5,5546,983,
1634772817.887089,1634772818.063169,109,176.07998847961426,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4748,2193,9,5,5538,983,
1634772822.160334,1634772822.333987,111,173.65288734436035,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4754,2193,9,5,5544,983,
1634772826.429551,1634772826.605967,113,176.41615867614746,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4757,2193,9,5,5547,983,
1634772830.694407,1634772830.871773,115,177.3660182952881,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4751,2193,9,5,5541,983,
1634772834.979389,1634772835.151714,117,172.32513427734375,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4748,2193,9,5,5538,983,
1634772839.22192,1634772839.395482,119,173.56204986572266,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4754,2193,9,5,5544,983,
1634772843.475275,1634772843.650845,121,175.57001113891602,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772847.730906,1634772847.906182,123,175.2760410308838,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4751,2193,9,5,5541,983,
1634772851.999317,1634772852.175795,125,176.47814750671387,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4752,2193,9,5,5542,983,
1634772856.263647,1634772856.436004,127,172.35684394836426,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4755,2193,9,5,5545,983,
1634772860.515308,1634772860.692254,129,176.94616317749023,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4750,2193,9,5,5540,983,
1634772864.786718,1634772864.960207,131,173.48909378051758,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4748,2193,9,5,5538,983,
1634772869.059665,1634772869.234178,133,174.5131015777588,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4747,2193,9,5,5537,983,
1634772873.308523,1634772873.48443,135,175.90713500976562,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4749,2193,9,5,5539,983,
1634772877.557289,1634772877.734721,137,177.43206024169922,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4757,2193,9,5,5547,983,
1634772881.828563,1634772882.005521,139,176.9580841064453,rsa,1000,drop,QHvoPetNHa.pcap,5,5,4748,2193,9,5,5538,983,
