Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634798459.447108,1634798459.808147,0,361.0389232635498,dilithium5,1000,drop,hYgnPqUCxF.pcap,18,4,13756,228,0,0,0,0,
1634798463.632548,1634798463.997637,1,365.08893966674805,dilithium5,1000,drop,hYgnPqUCxF.pcap,15,4,13588,228,0,0,0,0,
1634798467.837014,1634798468.229128,2,392.11392402648926,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798472.079317,1634798472.453202,3,373.884916305542,dilithium5,1000,drop,hYgnPqUCxF.pcap,18,4,13756,228,0,0,0,0,
1634798476.29524,1634798476.679965,4,384.72509384155273,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798480.677559,1634798481.068598,5,391.0391330718994,dilithium5,1000,drop,hYgnPqUCxF.pcap,15,4,13588,228,0,0,0,0,
1634798484.984279,1634798485.368602,6,384.3231201171875,dilithium5,1000,drop,hYgnPqUCxF.pcap,15,4,13588,228,0,0,0,0,
1634798489.384469,1634798489.778993,7,394.52385902404785,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798493.615339,1634798493.976142,8,360.80288887023926,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798497.919317,1634798498.283482,9,364.1650676727295,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798502.312269,1634798502.691671,10,379.40192222595215,dilithium5,1000,drop,hYgnPqUCxF.pcap,15,4,13588,228,0,0,0,0,
1634798506.698462,1634798507.091861,11,393.3990001678467,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798511.029636,1634798511.397031,12,367.39516258239746,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798515.185017,1634798515.543004,13,357.9869270324707,dilithium5,1000,drop,hYgnPqUCxF.pcap,15,4,13588,228,0,0,0,0,
1634798519.382638,1634798519.788645,14,406.0070514678955,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798523.608241,1634798524.008865,15,400.62403678894043,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798527.890854,1634798528.294082,16,403.2280445098877,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798532.163882,1634798532.570684,17,406.8019390106201,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798536.626898,1634798537.020296,18,393.3980464935303,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798540.998357,1634798541.399933,19,401.57604217529297,dilithium5,1000,drop,hYgnPqUCxF.pcap,18,4,13756,228,0,0,0,0,
1634798545.448591,1634798545.845206,20,396.61502838134766,dilithium5,1000,drop,hYgnPqUCxF.pcap,15,4,13594,228,0,0,0,0,
1634798549.847588,1634798550.244181,21,396.5928554534912,dilithium5,1000,drop,hYgnPqUCxF.pcap,15,4,13588,228,0,0,0,0,
1634798554.227296,1634798554.623245,22,395.9488868713379,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798558.623241,1634798559.001444,23,378.2031536102295,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798562.806385,1634798563.190941,24,384.5560550689697,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
1634798567.174431,1634798567.58706,25,412.6288890838623,dilithium5,1000,drop,hYgnPqUCxF.pcap,16,4,13648,228,0,0,0,0,
