Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634768164.729398,1634768164.729398,0,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768164.880023,1634768165.092012,1,211.9889259338379,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8995,1326,13,5,8792,983,
1634768169.146685,1634768169.146685,2,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768169.30268,1634768169.504418,3,201.7378807067871,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8997,1326,13,5,8794,983,
1634768173.540939,1634768173.540939,4,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768173.692969,1634768173.889168,5,196.1989402770996,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8992,1326,13,5,8789,983,
1634768177.928357,1634768177.928357,6,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768178.083976,1634768178.276835,7,192.85893440246582,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8979,1326,13,5,8776,983,
1634768182.336283,1634768182.336283,8,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768182.489919,1634768182.686896,9,196.9771385192871,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8989,1326,13,5,8786,983,
1634768186.739719,1634768186.739719,10,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768186.891576,1634768187.095797,11,204.22101020812988,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8975,1326,13,5,8772,983,
1634768191.139569,1634768191.139569,12,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768191.295694,1634768191.494322,13,198.62794876098633,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8989,1326,13,5,8786,983,
1634768195.531295,1634768195.531295,14,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768195.687957,1634768195.881669,15,193.7119960784912,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8993,1326,13,5,8790,983,
1634768199.946163,1634768199.946163,16,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768200.102248,1634768200.303286,17,201.03812217712402,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8986,1326,13,5,8783,983,
1634768204.361614,1634768204.361614,18,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768204.51219,1634768204.709993,19,197.80278205871582,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8987,1326,13,5,8784,983,
1634768208.747473,1634768208.747473,20,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768208.898656,1634768209.095929,21,197.27301597595215,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8987,1326,13,5,8784,983,
1634768213.150887,1634768213.150887,22,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768213.303386,1634768213.504915,23,201.52902603149414,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8986,1326,13,5,8783,983,
1634768217.541441,1634768217.541441,24,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768217.696723,1634768217.895115,25,198.39191436767578,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8985,1326,13,5,8782,983,
1634768221.937277,1634768221.937277,26,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768222.090129,1634768222.292669,27,202.54015922546387,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8998,1326,13,5,8795,983,
1634768226.362298,1634768226.362298,28,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768226.514743,1634768226.712696,29,197.9529857635498,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8990,1326,13,5,8787,983,
1634768230.766977,1634768230.766977,30,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768230.917846,1634768231.122804,31,204.9579620361328,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8986,1326,13,5,8783,983,
1634768235.157765,1634768235.157765,32,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768235.312117,1634768235.514071,33,201.95388793945312,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8979,1326,13,5,8776,983,
1634768239.545815,1634768239.545815,34,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768239.698243,1634768239.894192,35,195.94907760620117,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8985,1326,13,5,8782,983,
1634768243.943483,1634768243.943483,36,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768244.096292,1634768244.294131,37,197.83902168273926,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8992,1326,13,5,8789,983,
1634768248.353534,1634768248.353534,38,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768248.506134,1634768248.704396,39,198.26197624206543,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8986,1326,13,5,8783,983,
1634768252.789991,1634768252.789991,40,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768252.94181,1634768253.14735,41,205.54018020629883,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8994,1326,13,5,8791,983,
1634768257.194907,1634768257.194907,42,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768257.348737,1634768257.548823,43,200.08611679077148,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8986,1327,13,5,8784,983,
1634768261.617133,1634768261.617133,44,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768261.76838,1634768261.967199,45,198.81916046142578,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8991,1326,13,5,8788,983,
1634768266.002938,1634768266.002938,46,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768266.160151,1634768266.363071,47,202.91996002197266,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8987,1326,13,5,8784,983,
1634768270.422373,1634768270.422373,48,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768270.576877,1634768270.770658,49,193.78089904785156,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8996,1326,13,5,8793,983,
1634768274.827822,1634768274.827822,50,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768274.983544,1634768275.18525,51,201.7059326171875,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8991,1326,13,5,8788,983,
1634768279.22366,1634768279.22366,52,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768279.384838,1634768279.580683,53,195.8448886871338,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8982,1326,13,5,8779,983,
1634768283.640245,1634768283.640245,54,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768283.790586,1634768283.991049,55,200.46305656433105,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8994,1326,13,5,8791,983,
1634768288.046209,1634768288.046209,56,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768288.199664,1634768288.396726,57,197.06177711486816,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8992,1327,13,5,8790,983,
1634768292.432894,1634768292.432894,58,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768292.585252,1634768292.785894,59,200.64187049865723,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8987,1326,13,5,8784,983,
1634768296.839891,1634768296.839891,60,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768297.007485,1634768297.198218,61,190.7331943511963,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8999,1326,13,5,8796,983,
1634768301.265816,1634768301.265816,62,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768301.424922,1634768301.614665,63,189.7430419921875,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8995,1326,13,5,8792,983,
1634768305.655154,1634768305.655154,64,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768305.810352,1634768306.006274,65,195.9218978881836,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8981,1326,13,5,8778,983,
1634768310.060596,1634768310.060596,66,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768310.211477,1634768310.418275,67,206.79807662963867,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8981,1326,13,5,8778,983,
1634768314.467196,1634768314.467196,68,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768314.621221,1634768314.817166,69,195.94502449035645,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8994,1326,13,5,8791,983,
1634768318.861735,1634768318.861735,70,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768319.013652,1634768319.21714,71,203.48787307739258,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8985,1326,13,5,8782,983,
1634768323.255156,1634768323.255156,72,0.0,falcon1024,1000,drop,pprOICxGLi.pcap,1,0,1242,0,1,0,1200,0,
1634768323.411546,1634768323.606019,73,194.4730281829834,falcon1024,1000,drop,pprOICxGLi.pcap,8,5,8988,1326,13,5,8785,983,
