Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637062367.960131,1637062367.960131,0,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062368.09406,1637062368.09406,1,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062368.396481,1637062368.396481,2,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062369.00947,1637062369.00947,3,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062370.204868,1637062370.204868,4,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062372.61434,1637062372.61434,5,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062377.412599,1637062377.412599,6,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062378.978002,1637062378.978002,7,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062379.12907,1637062379.12907,8,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062379.434738,1637062379.434738,9,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062380.041942,1637062380.041942,10,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062381.242936,1637062381.242936,11,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062383.650663,1637062383.650663,12,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062388.448066,1637062388.448066,13,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062390.024037,1637062390.024037,14,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062390.174,1637062390.174,15,0.0,dilithium2,10,delay,300ms,1,0,1242,0,1,0,1200,0,
