Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637062996.444789,1637062996.444789,0,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062996.594001,1637062996.594001,1,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062996.894599,1637062996.894599,2,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062997.50409,1637062997.50409,3,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637062998.707594,1637062998.707594,4,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063001.110218,1637063001.110218,5,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063005.913418,1637063005.913418,6,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063007.493119,1637063007.493119,7,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063007.656978,1637063007.656978,8,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063007.96466,1637063007.96466,9,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063008.560188,1637063008.560188,10,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063009.772088,1637063009.772088,11,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063012.169206,1637063012.169206,12,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063016.972524,1637063016.972524,13,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063018.538683,1637063018.538683,14,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063018.684566,1637063018.684566,15,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063018.987426,1637063018.987426,16,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063019.59723,1637063019.59723,17,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063020.801683,1637063020.801683,18,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063023.210206,1637063023.210206,19,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063028.016861,1637063028.016861,20,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063029.578668,1637063029.578668,21,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063029.729487,1637063029.729487,22,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063030.031857,1637063030.031857,23,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063030.647362,1637063030.647362,24,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063031.852021,1637063031.852021,25,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063034.243381,1637063034.243381,26,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063039.04856,1637063039.04856,27,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063040.607135,1637063040.607135,28,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063040.762659,1637063040.762659,29,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063041.063813,1637063041.063813,30,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063041.671993,1637063041.671993,31,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063042.865782,1637063042.865782,32,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063045.274316,1637063045.274316,33,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063050.080637,1637063050.080637,34,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063051.641132,1637063051.641132,35,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063051.798768,1637063051.798768,36,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063052.104006,1637063052.104006,37,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063052.701266,1637063052.701266,38,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063053.908305,1637063053.908305,39,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063056.311723,1637063056.311723,40,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063061.125406,1637063061.125406,41,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063062.685249,1637063062.685249,42,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063062.837713,1637063062.837713,43,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063063.138724,1637063063.138724,44,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063063.739988,1637063063.739988,45,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063064.941715,1637063064.941715,46,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063067.354091,1637063067.354091,47,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063072.158548,1637063072.158548,48,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063073.734517,1637063073.734517,49,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063073.886806,1637063073.886806,50,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063074.18782,1637063074.18782,51,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063074.790844,1637063074.790844,52,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063075.996103,1637063075.996103,53,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063078.40079,1637063078.40079,54,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063083.205472,1637063083.205472,55,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063084.76776,1637063084.76776,56,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063084.926835,1637063084.926835,57,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063085.236738,1637063085.236738,58,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063085.82896,1637063085.82896,59,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063087.034254,1637063087.034254,60,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063089.437497,1637063089.437497,61,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063094.245622,1637063094.245622,62,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063095.813203,1637063095.813203,63,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063095.963374,1637063095.963374,64,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063096.273441,1637063096.273441,65,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063096.865847,1637063096.865847,66,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063098.075622,1637063098.075622,67,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
1637063100.474224,1637063100.474224,68,0.0,dilithium3,10,delay,300ms,1,0,1242,0,1,0,1200,0,
