Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637063254.173723,1637063254.173723,0,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063254.32657,1637063254.32657,1,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063254.629647,1637063254.629647,2,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063255.232725,1637063255.232725,3,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063256.43493,1637063256.43493,4,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063258.839873,1637063258.839873,5,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063263.644312,1637063263.644312,6,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063265.193074,1637063265.193074,7,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063265.349058,1637063265.349058,8,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063265.651828,1637063265.651828,9,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063266.254427,1637063266.254427,10,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063267.455601,1637063267.455601,11,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063269.857858,1637063269.857858,12,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063274.663019,1637063274.663019,13,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063276.231409,1637063276.231409,14,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063276.382386,1637063276.382386,15,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063276.683369,1637063276.683369,16,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063277.286384,1637063277.286384,17,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063278.488402,1637063278.488402,18,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063280.890411,1637063280.890411,19,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063285.694634,1637063285.694634,20,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063287.313299,1637063287.313299,21,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063287.464589,1637063287.464589,22,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063287.770963,1637063287.770963,23,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063288.372665,1637063288.372665,24,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063289.578488,1637063289.578488,25,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063291.981294,1637063291.981294,26,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063296.788627,1637063296.788627,27,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063298.339126,1637063298.339126,28,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063298.492292,1637063298.492292,29,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063298.795761,1637063298.795761,30,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063299.396807,1637063299.396807,31,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063300.604327,1637063300.604327,32,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063303.007863,1637063303.007863,33,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063307.813829,1637063307.813829,34,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063309.366058,1637063309.366058,35,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063309.517806,1637063309.517806,36,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063309.821309,1637063309.821309,37,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063310.42266,1637063310.42266,38,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063311.630107,1637063311.630107,39,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063314.032702,1637063314.032702,40,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063318.837442,1637063318.837442,41,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063320.388916,1637063320.388916,42,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063320.541008,1637063320.541008,43,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063320.841654,1637063320.841654,44,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063321.44258,1637063321.44258,45,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063322.643832,1637063322.643832,46,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063325.056806,1637063325.056806,47,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063329.865816,1637063329.865816,48,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063331.425984,1637063331.425984,49,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063331.577304,1637063331.577304,50,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063331.878585,1637063331.878585,51,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063332.48016,1637063332.48016,52,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063333.687044,1637063333.687044,53,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063336.090859,1637063336.090859,54,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063340.900681,1637063340.900681,55,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063342.450101,1637063342.450101,56,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063342.603626,1637063342.603626,57,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063342.908974,1637063342.908974,58,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063343.512253,1637063343.512253,59,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063344.715265,1637063344.715265,60,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063347.125876,1637063347.125876,61,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063351.93279,1637063351.93279,62,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063353.476787,1637063353.476787,63,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063353.629495,1637063353.629495,64,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063353.932492,1637063353.932492,65,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063354.535461,1637063354.535461,66,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063355.740842,1637063355.740842,67,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
1637063358.142012,1637063358.142012,68,0.0,dilithium5,10,delay,0ms,1,0,1242,0,1,0,1200,0,
