Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637063748.757492,1637063748.757492,0,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063748.903086,1637063748.903086,1,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063749.205315,1637063749.205315,2,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063749.804837,1637063749.804837,3,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063751.015616,1637063751.015616,4,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063753.413478,1637063753.413478,5,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063758.217526,1637063758.217526,6,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063759.792153,1637063759.792153,7,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063759.941657,1637063759.941657,8,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063760.243917,1637063760.243917,9,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063760.843483,1637063760.843483,10,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063762.04651,1637063762.04651,11,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063764.45387,1637063764.45387,12,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063769.258477,1637063769.258477,13,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063770.851572,1637063770.851572,14,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063771.002424,1637063771.002424,15,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063771.304462,1637063771.304462,16,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063771.905041,1637063771.905041,17,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063773.106456,1637063773.106456,18,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063775.514221,1637063775.514221,19,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063780.324255,1637063780.324255,20,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063781.891932,1637063781.891932,21,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063782.048889,1637063782.048889,22,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063782.383521,1637063782.383521,23,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063782.952501,1637063782.952501,24,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063784.154859,1637063784.154859,25,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063786.558672,1637063786.558672,26,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063791.362019,1637063791.362019,27,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063792.937028,1637063792.937028,28,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063793.090028,1637063793.090028,29,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063793.393337,1637063793.393337,30,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063794.009056,1637063794.009056,31,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063795.218886,1637063795.218886,32,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063797.616146,1637063797.616146,33,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063802.416801,1637063802.416801,34,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063803.976416,1637063803.976416,35,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063804.131157,1637063804.131157,36,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063804.431817,1637063804.431817,37,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063805.032781,1637063805.032781,38,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063806.236587,1637063806.236587,39,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063808.637957,1637063808.637957,40,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063813.43818,1637063813.43818,41,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063815.028269,1637063815.028269,42,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063815.183871,1637063815.183871,43,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063815.494049,1637063815.494049,44,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063816.094599,1637063816.094599,45,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063817.301934,1637063817.301934,46,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063819.704648,1637063819.704648,47,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063824.507587,1637063824.507587,48,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063826.055895,1637063826.055895,49,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063826.215655,1637063826.215655,50,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063826.513561,1637063826.513561,51,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063827.116707,1637063827.116707,52,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063828.322849,1637063828.322849,53,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063830.732603,1637063830.732603,54,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063835.542,1637063835.542,55,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063837.099726,1637063837.099726,56,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063837.254353,1637063837.254353,57,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063837.555434,1637063837.555434,58,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063838.162796,1637063838.162796,59,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063839.364215,1637063839.364215,60,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063841.76915,1637063841.76915,61,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063846.575899,1637063846.575899,62,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063848.148469,1637063848.148469,63,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063848.295655,1637063848.295655,64,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063848.598494,1637063848.598494,65,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063849.199741,1637063849.199741,66,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
1637063850.403471,1637063850.403471,67,0.0,dilithium5,10,delay,400ms,1,0,1242,0,1,0,1200,0,
