Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637064758.686201,1637064758.686201,0,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064758.831655,1637064758.831655,1,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064759.134992,1637064759.134992,2,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064759.741104,1637064759.741104,3,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064760.942399,1637064760.942399,4,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064763.350535,1637064763.350535,5,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064768.156903,1637064768.156903,6,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064769.732168,1637064769.732168,7,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064769.889018,1637064769.889018,8,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064770.184502,1637064770.184502,9,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064770.795219,1637064770.795219,10,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064771.986543,1637064771.986543,11,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064774.393063,1637064774.393063,12,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064779.195414,1637064779.195414,13,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064780.777258,1637064780.777258,14,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064780.928349,1637064780.928349,15,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064781.231929,1637064781.231929,16,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064781.841534,1637064781.841534,17,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064783.037606,1637064783.037606,18,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064785.43827,1637064785.43827,19,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
1637064790.249882,1637064790.249882,20,0.0,falcon1024,10,delay,200ms,1,0,1242,0,1,0,1200,0,
