Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637157503.245119,1637157503.46213,0,217.0109748840332,dilithium5,1000,delay,100ms,22,5,17654,1329,25,5,16866,983,
1637157504.609488,1637157504.820165,1,210.676908493042,dilithium5,1000,delay,100ms,21,5,17555,1329,24,5,16809,983,
1637157505.96232,1637157506.323535,2,361.21487617492676,dilithium5,1000,delay,100ms,41,7,30351,1475,44,7,28765,1045,
1637157507.355911,1637157507.566937,3,211.02595329284668,dilithium5,1000,delay,100ms,18,5,17289,1329,21,5,16669,983,
1637157508.706979,1637157508.914577,4,207.5979709625244,dilithium5,1000,delay,100ms,22,5,17643,1329,25,5,16855,983,
1637157510.052927,1637157510.26217,5,209.2430591583252,dilithium5,1000,delay,100ms,24,5,17821,1329,27,5,16949,983,
1637157511.407662,1637157511.61403,6,206.36796951293945,dilithium5,1000,delay,100ms,24,5,17822,1329,27,5,16950,983,
1637157512.744078,1637157512.951978,7,207.9000473022461,dilithium5,1000,delay,100ms,24,5,17832,1329,27,5,16960,983,
1637157514.098628,1637157514.305655,8,207.02695846557617,dilithium5,1000,delay,100ms,23,5,17733,1329,26,5,16903,983,
1637157515.454758,1637157515.668094,9,213.33599090576172,dilithium5,1000,delay,100ms,16,5,17108,1329,19,5,16572,983,
1637157516.832151,1637157517.038942,10,206.79116249084473,dilithium5,1000,delay,100ms,23,5,17734,1329,26,5,16904,983,
1637157518.175336,1637157518.383765,11,208.42909812927246,dilithium5,1000,delay,100ms,23,5,17734,1329,26,5,16904,983,
1637157519.527691,1637157519.73821,12,210.51907539367676,dilithium5,1000,delay,100ms,20,5,17475,1329,23,5,16771,983,
1637157520.889154,1637157521.096949,13,207.7951431274414,dilithium5,1000,delay,100ms,20,5,17471,1329,24,5,16767,983,
1637157522.237037,1637157522.444258,14,207.22103118896484,dilithium5,1000,delay,100ms,22,5,17644,1329,25,5,16856,983,
1637157523.577709,1637157523.79661,15,218.9011573791504,dilithium5,1000,delay,100ms,22,5,17642,1329,25,5,16854,983,
1637157524.933012,1637157525.143891,16,210.87908744812012,dilithium5,1000,delay,100ms,22,5,17648,1329,25,5,16860,983,
1637157526.275902,1637157526.484619,17,208.71686935424805,dilithium5,1000,delay,100ms,23,5,17742,1329,26,5,16912,983,
1637157527.614265,1637157527.823954,18,209.68914031982422,dilithium5,1000,delay,100ms,20,5,17469,1329,23,5,16765,983,
1637157528.960579,1637157529.167136,19,206.557035446167,dilithium5,1000,delay,100ms,25,5,17910,1329,28,5,16996,983,
1637157530.297249,1637157530.504526,20,207.2768211364746,dilithium5,1000,delay,100ms,22,5,17647,1329,25,5,16859,983,
1637157531.649579,1637157531.862591,21,213.0119800567627,dilithium5,1000,delay,100ms,21,5,17558,1329,24,5,16812,983,
1637157532.99486,1637157533.202282,22,207.42201805114746,dilithium5,1000,delay,100ms,23,5,17734,1329,26,5,16904,983,
1637157534.344883,1637157534.555361,23,210.4780673980713,dilithium5,1000,delay,100ms,21,5,17557,1329,24,5,16811,983,
1637157535.699757,1637157535.924952,24,225.19493103027344,dilithium5,1000,delay,100ms,16,5,17112,1329,19,5,16576,983,
1637157537.065316,1637157537.272342,25,207.02600479125977,dilithium5,1000,delay,100ms,22,5,17647,1329,25,5,16859,983,
1637157538.411074,1637157538.617779,26,206.70509338378906,dilithium5,1000,delay,100ms,24,5,17827,1329,27,5,16955,983,
1637157539.755226,1637157539.962012,27,206.7861557006836,dilithium5,1000,delay,100ms,24,5,17830,1329,27,5,16958,983,
1637157541.101912,1637157541.309443,28,207.53097534179688,dilithium5,1000,delay,100ms,20,5,17476,1329,23,5,16772,983,
1637157542.452261,1637157542.669429,29,217.16809272766113,dilithium5,1000,delay,100ms,18,5,17296,1329,21,5,16676,983,
1637157543.807785,1637157543.913781,30,105.99589347839355,dilithium5,1000,delay,100ms,15,5,17020,1329,18,5,16526,983,
1637157545.156647,1637157545.364801,31,208.15396308898926,dilithium5,1000,delay,100ms,24,5,17822,1329,27,5,16950,983,
1637157546.495929,1637157546.613626,32,117.69700050354004,dilithium5,1000,delay,100ms,14,5,16941,1329,18,5,16489,983,
1637157547.860402,1637157548.069034,33,208.6319923400879,dilithium5,1000,delay,100ms,16,5,17111,1329,20,5,16575,983,
1637157549.201684,1637157549.419183,34,217.4990177154541,dilithium5,1000,delay,100ms,15,5,17031,1329,19,5,16537,983,
1637157550.562522,1637157550.770119,35,207.597017288208,dilithium5,1000,delay,100ms,26,5,18005,1329,29,5,17049,983,
