Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637175036.588403,1637175036.800284,0,211.88092231750488,falcon1024,1000,delay,200ms,10,5,10321,1326,14,5,10034,983,
1637175038.178412,1637175038.392577,1,214.16497230529785,falcon1024,1000,delay,200ms,10,5,10314,1326,14,5,10027,983,
1637175039.786072,1637175040.137633,2,351.5610694885254,falcon1024,1000,delay,200ms,10,5,10318,1326,15,5,10031,983,
1637175041.375475,1637175041.73023,3,354.755163192749,falcon1024,1000,delay,200ms,12,5,10495,1326,16,5,10124,983,
1637175042.987725,1637175043.201231,4,213.50598335266113,falcon1024,1000,delay,200ms,10,5,10321,1326,14,5,10034,983,
1637175044.553089,1637175044.765475,5,212.3861312866211,falcon1024,1000,delay,200ms,9,5,10238,1326,14,5,9993,983,
1637175046.144742,1637175046.358223,6,213.48094940185547,falcon1024,1000,delay,200ms,9,5,10227,1326,14,5,9982,983,
1637175047.746728,1637175047.959088,7,212.36014366149902,falcon1024,1000,delay,200ms,10,5,10328,1326,14,5,10041,983,
1637175049.349684,1637175049.563403,8,213.71889114379883,falcon1024,1000,delay,200ms,10,5,10325,1326,14,5,10038,983,
1637175050.944695,1637175051.300723,9,356.02807998657227,falcon1024,1000,delay,200ms,11,5,10416,1326,15,5,10087,983,
1637175052.564664,1637175052.777283,10,212.61906623840332,falcon1024,1000,delay,200ms,10,5,10320,1326,14,5,10033,983,
1637175054.159678,1637175054.375005,11,215.32702445983887,falcon1024,1000,delay,200ms,9,5,10226,1326,14,5,9981,983,
1637175055.752007,1637175055.965801,12,213.79399299621582,falcon1024,1000,delay,200ms,9,5,10226,1326,14,5,9981,983,
1637175057.348491,1637175057.561237,13,212.74614334106445,falcon1024,1000,delay,200ms,9,5,10229,1326,14,5,9984,983,
1637175058.961147,1637175059.176795,14,215.64793586730957,falcon1024,1000,delay,200ms,9,5,10227,1326,14,5,9982,983,
1637175060.554568,1637175060.767136,15,212.5680446624756,falcon1024,1000,delay,200ms,9,5,10225,1326,14,5,9980,983,
1637175062.153814,1637175062.37778,16,223.96588325500488,falcon1024,1000,delay,200ms,10,5,10321,1326,14,5,10034,983,
1637175063.758835,1637175063.973331,17,214.49589729309082,falcon1024,1000,delay,200ms,9,5,10233,1326,14,5,9988,983,
1637175065.351895,1637175065.56589,18,213.99497985839844,falcon1024,1000,delay,200ms,10,5,10315,1326,14,5,10028,983,
1637175066.95061,1637175067.305377,19,354.7670841217041,falcon1024,1000,delay,200ms,11,5,10403,1326,15,5,10074,983,
1637175068.536462,1637175068.748909,20,212.446928024292,falcon1024,1000,delay,200ms,9,5,10235,1326,14,5,9990,983,
1637175070.128178,1637175070.342121,21,213.9430046081543,falcon1024,1000,delay,200ms,9,5,10234,1326,14,5,9989,983,
1637175071.727916,1637175071.941295,22,213.37890625,falcon1024,1000,delay,200ms,9,5,10232,1326,14,5,9987,983,
1637175073.316402,1637175073.529404,23,213.00196647644043,falcon1024,1000,delay,200ms,9,5,10239,1326,14,5,9994,983,
1637175074.91788,1637175075.131204,24,213.32383155822754,falcon1024,1000,delay,200ms,9,5,10225,1326,14,5,9980,983,
1637175076.523413,1637175076.735994,25,212.58115768432617,falcon1024,1000,delay,200ms,10,5,10323,1327,14,5,10037,983,
1637175078.11945,1637175078.333497,26,214.04695510864258,falcon1024,1000,delay,200ms,10,5,10315,1326,14,5,10028,983,
1637175079.728032,1637175079.941676,27,213.64378929138184,falcon1024,1000,delay,200ms,10,5,10314,1326,14,5,10027,983,
1637175081.340591,1637175081.724777,28,384.1860294342041,falcon1024,1000,delay,200ms,10,5,10319,1326,15,5,10032,983,
1637175082.963689,1637175083.176612,29,212.9228115081787,falcon1024,1000,delay,200ms,9,5,10236,1326,14,5,9991,983,
1637175084.557266,1637175084.772783,30,215.5170440673828,falcon1024,1000,delay,200ms,10,5,10318,1326,14,5,10031,983,
1637175086.161197,1637175086.499073,31,337.8760814666748,falcon1024,1000,delay,200ms,11,5,10405,1327,15,5,10077,983,
1637175087.738231,1637175087.950852,32,212.62097358703613,falcon1024,1000,delay,200ms,10,5,10324,1326,14,5,10037,983,
1637175089.3294,1637175089.682606,33,353.20591926574707,falcon1024,1000,delay,200ms,13,5,10583,1327,17,5,10171,983,
1637175090.916993,1637175091.130449,34,213.4561538696289,falcon1024,1000,delay,200ms,9,5,10233,1326,14,5,9988,983,
1637175092.537222,1637175092.74889,35,211.6680145263672,falcon1024,1000,delay,200ms,10,5,10325,1327,14,5,10039,983,
1637175094.12873,1637175094.341193,36,212.4629020690918,falcon1024,1000,delay,200ms,9,5,10230,1326,14,5,9985,983,
1637175095.7443,1637175095.957525,37,213.2251262664795,falcon1024,1000,delay,200ms,10,5,10323,1326,14,5,10036,983,
1637175097.34076,1637175097.552562,38,211.80200576782227,falcon1024,1000,delay,200ms,10,5,10317,1326,14,5,10030,983,
1637175098.94837,1637175099.166081,39,217.7109718322754,falcon1024,1000,delay,200ms,10,5,10317,1326,14,5,10030,983,
1637175100.547013,1637175100.760278,40,213.26494216918945,falcon1024,1000,delay,200ms,9,5,10237,1326,14,5,9992,983,
1637175102.148714,1637175102.361542,41,212.8279209136963,falcon1024,1000,delay,200ms,10,5,10315,1326,14,5,10028,983,
1637175103.768102,1637175103.981289,42,213.18697929382324,falcon1024,1000,delay,200ms,9,5,10227,1326,14,5,9982,983,
1637175105.350188,1637175105.707003,43,356.8150997161865,falcon1024,1000,delay,200ms,10,5,10321,1326,15,5,10034,983,
1637175106.945786,1637175107.157989,44,212.2030258178711,falcon1024,1000,delay,200ms,9,5,10236,1326,14,5,9991,983,
1637175108.538607,1637175108.753514,45,214.90716934204102,falcon1024,1000,delay,200ms,9,5,10236,1326,14,5,9991,983,
1637175110.157945,1637175110.520901,46,362.95604705810547,falcon1024,1000,delay,200ms,11,7,10405,1472,15,7,10076,1045,
1637175111.75693,1637175112.115097,47,358.1669330596924,falcon1024,1000,delay,200ms,11,5,10413,1326,15,5,10084,983,
1637175113.347719,1637175113.559716,48,211.99703216552734,falcon1024,1000,delay,200ms,10,5,10320,1326,14,5,10033,983,
1637175114.936853,1637175115.293344,49,356.4910888671875,falcon1024,1000,delay,200ms,11,5,10416,1326,15,5,10087,983,
1637175116.53302,1637175116.745722,50,212.70203590393066,falcon1024,1000,delay,200ms,10,5,10319,1326,14,5,10032,983,
