Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637176646.885979,1637176646.896326,0,10.347127914428711,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176647.029987,1637176647.634387,1,604.3999195098877,falcon1024,1000,delay,300ms,14,10,13888,2292,19,10,13433,1739,
1637176648.666665,1637176648.676962,2,10.296821594238281,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176648.825421,1637176649.429932,3,604.511022567749,falcon1024,1000,delay,300ms,15,10,13976,2292,20,10,13479,1739,
1637176650.460935,1637176650.470871,4,9.935855865478516,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176650.610943,1637176651.214699,5,603.7559509277344,falcon1024,1000,delay,300ms,14,10,13904,2292,19,10,13449,1739,
1637176652.243518,1637176652.253659,6,10.14089584350586,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176652.394253,1637176652.998879,7,604.625940322876,falcon1024,1000,delay,300ms,14,10,13887,2292,19,10,13432,1739,
1637176654.045602,1637176654.056479,8,10.876893997192383,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176654.195014,1637176654.799895,9,604.8810482025146,falcon1024,1000,delay,300ms,15,10,13993,2293,19,10,13497,1739,
1637176655.842574,1637176655.852725,10,10.151147842407227,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176655.986882,1637176656.594707,11,607.8250408172607,falcon1024,1000,delay,300ms,14,10,13872,2292,19,10,13417,1739,
1637176657.627237,1637176657.637504,12,10.267019271850586,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176657.771742,1637176658.240112,13,468.3699607849121,falcon1024,1000,delay,300ms,13,10,13824,2292,18,10,13411,1739,
1637176659.422492,1637176659.433199,14,10.706901550292969,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176659.57574,1637176660.038137,15,462.39686012268066,falcon1024,1000,delay,300ms,10,7,9171,1472,14,7,8884,1045,
1637176661.210596,1637176661.221333,16,10.736942291259766,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176661.362406,1637176661.966006,17,603.600025177002,falcon1024,1000,delay,300ms,15,10,14017,2292,19,10,13520,1739,
1637176663.004756,1637176663.015164,18,10.40792465209961,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176663.151227,1637176663.754814,19,603.5869121551514,falcon1024,1000,delay,300ms,14,10,13924,2292,19,10,13469,1739,
1637176664.793735,1637176664.804075,20,10.339975357055664,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176664.947736,1637176665.559167,21,611.4308834075928,falcon1024,1000,delay,300ms,14,10,13904,2292,19,10,13449,1739,
1637176666.592304,1637176666.603083,22,10.77890396118164,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176666.752061,1637176667.054519,23,302.4580478668213,falcon1024,1000,delay,300ms,11,5,6849,1326,15,5,6520,983,
1637176668.396207,1637176668.406314,24,10.106801986694336,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176668.548828,1637176668.709044,25,160.2160930633545,falcon1024,1000,delay,300ms,6,5,6404,1326,11,5,6285,983,
1637176670.190341,1637176670.201308,26,10.967016220092773,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176670.339179,1637176670.943299,27,604.1200160980225,falcon1024,1000,delay,300ms,15,10,14008,2292,19,10,13511,1739,
1637176671.981297,1637176671.991753,28,10.456085205078125,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176672.129504,1637176672.736434,29,606.9300174713135,falcon1024,1000,delay,300ms,17,10,14174,2292,21,10,13593,1739,
1637176673.770968,1637176673.781346,30,10.378122329711914,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176673.927961,1637176674.531077,31,603.1157970428467,falcon1024,1000,delay,300ms,15,10,13981,2292,19,10,13484,1739,
1637176675.572186,1637176675.582156,32,9.969949722290039,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176675.729955,1637176676.18839,33,458.43505859375,falcon1024,1000,delay,300ms,9,7,9077,1472,14,7,8832,1045,
1637176677.363899,1637176677.374919,34,11.01994514465332,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176677.515962,1637176677.676567,35,160.60519218444824,falcon1024,1000,delay,300ms,7,5,6498,1326,11,5,6337,983,
1637176679.160141,1637176679.171837,36,11.696100234985352,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176679.311757,1637176679.915683,37,603.9259433746338,falcon1024,1000,delay,300ms,15,10,14001,2292,19,10,13504,1739,
1637176680.950546,1637176680.960944,38,10.397911071777344,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176681.099774,1637176681.705007,39,605.2331924438477,falcon1024,1000,delay,300ms,16,10,14054,2293,20,10,13516,1739,
1637176682.735499,1637176682.745464,40,9.965181350708008,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176682.894553,1637176683.50101,41,606.456995010376,falcon1024,1000,delay,300ms,15,9,13992,2221,20,9,13496,1709,
1637176684.544937,1637176684.555367,42,10.430097579956055,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176684.69619,1637176684.858346,43,162.1558666229248,falcon1024,1000,delay,300ms,7,5,6498,1326,11,5,6337,983,
1637176686.330862,1637176686.341312,44,10.449886322021484,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176686.480245,1637176687.086825,45,606.5797805786133,falcon1024,1000,delay,300ms,16,10,14113,2292,20,10,13574,1739,
1637176688.121653,1637176688.131833,46,10.179996490478516,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176688.272067,1637176688.739574,47,467.50688552856445,falcon1024,1000,delay,300ms,9,7,9083,1472,14,7,8838,1045,
1637176689.908484,1637176689.918633,48,10.149002075195312,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176690.064574,1637176690.221463,49,156.8889617919922,falcon1024,1000,delay,300ms,6,5,6400,1326,11,5,6281,983,
1637176691.70085,1637176691.710971,50,10.12110710144043,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176691.851414,1637176692.457069,51,605.6549549102783,falcon1024,1000,delay,300ms,16,10,14073,2292,21,10,13534,1739,
1637176693.488174,1637176693.498212,52,10.038137435913086,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176693.64075,1637176693.800449,53,159.6989631652832,falcon1024,1000,delay,300ms,6,5,6397,1326,11,5,6278,983,
1637176695.282788,1637176695.294678,54,11.889934539794922,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176695.427562,1637176695.730319,55,302.75702476501465,falcon1024,1000,delay,300ms,7,5,6500,1327,12,5,6340,983,
1637176697.072718,1637176697.083183,56,10.465145111083984,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176697.227071,1637176697.833202,57,606.130838394165,falcon1024,1000,delay,300ms,16,10,14077,2292,20,10,13538,1739,
1637176698.871456,1637176698.881708,58,10.251998901367188,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176699.013499,1637176699.619381,59,605.881929397583,falcon1024,1000,delay,300ms,14,10,13892,2292,19,10,13437,1739,
1637176700.655026,1637176700.665414,60,10.38813591003418,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176700.811772,1637176701.416713,61,604.9408912658691,falcon1024,1000,delay,300ms,15,10,13957,2292,19,10,13460,1739,
1637176702.459443,1637176702.470001,62,10.557889938354492,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176702.606882,1637176703.211503,63,604.6209335327148,falcon1024,1000,delay,300ms,15,10,13980,2292,20,10,13483,1739,
1637176704.269812,1637176704.281741,64,11.928796768188477,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176704.424535,1637176704.884278,65,459.7430229187012,falcon1024,1000,delay,300ms,11,7,9254,1472,15,7,8925,1045,
1637176706.068118,1637176706.080293,66,12.174844741821289,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176706.215573,1637176706.824633,67,609.0598106384277,falcon1024,1000,delay,300ms,15,10,13973,2292,19,10,13476,1739,
1637176707.861125,1637176707.871723,68,10.597944259643555,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176708.013856,1637176708.618845,69,604.9890518188477,falcon1024,1000,delay,300ms,14,10,13892,2292,19,10,13437,1739,
1637176709.655096,1637176709.665411,70,10.31494140625,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176709.806039,1637176710.411236,71,605.1969528198242,falcon1024,1000,delay,300ms,14,10,13875,2292,19,10,13420,1739,
1637176711.45071,1637176711.461123,72,10.412931442260742,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176711.603575,1637176712.209105,73,605.5300235748291,falcon1024,1000,delay,300ms,16,10,14085,2292,20,10,13546,1739,
1637176713.243985,1637176713.254646,74,10.661125183105469,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176713.393947,1637176713.999962,75,606.0152053833008,falcon1024,1000,delay,300ms,14,10,13888,2292,19,10,13433,1739,
1637176715.038824,1637176715.049434,76,10.609865188598633,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176715.192604,1637176715.799119,77,606.5149307250977,falcon1024,1000,delay,300ms,17,10,14134,2292,21,10,13553,1739,
1637176716.834924,1637176716.845484,78,10.560035705566406,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176716.997539,1637176717.603758,79,606.2190532684326,falcon1024,1000,delay,300ms,17,10,14194,2292,21,10,13613,1739,
1637176718.64841,1637176718.658561,80,10.150909423828125,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176718.797532,1637176719.40113,81,603.59787940979,falcon1024,1000,delay,300ms,16,10,14085,2292,20,10,13546,1739,
1637176720.442418,1637176720.453024,82,10.605812072753906,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176720.59125,1637176721.196129,83,604.8791408538818,falcon1024,1000,delay,300ms,14,10,13900,2292,19,10,13445,1739,
1637176722.227446,1637176722.237732,84,10.28585433959961,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176722.37926,1637176722.98268,85,603.4200191497803,falcon1024,1000,delay,300ms,14,10,13920,2292,19,10,13465,1739,
1637176724.017392,1637176724.029399,86,12.006998062133789,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176724.167382,1637176724.7728,87,605.4179668426514,falcon1024,1000,delay,300ms,14,10,13900,2292,19,10,13445,1739,
1637176725.821851,1637176725.833995,88,12.144088745117188,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176725.968601,1637176726.137187,89,168.58601570129395,falcon1024,1000,delay,300ms,7,5,6494,1326,11,5,6333,983,
1637176727.608566,1637176727.619036,90,10.469913482666016,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176727.763511,1637176728.226368,91,462.8570079803467,falcon1024,1000,delay,300ms,13,10,13780,2292,18,10,13367,1739,
1637176729.406569,1637176729.418494,92,11.924982070922852,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176729.564801,1637176730.168999,93,604.1979789733887,falcon1024,1000,delay,300ms,14,10,13872,2292,19,10,13417,1739,
1637176731.204186,1637176731.216152,94,11.96599006652832,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176731.365909,1637176731.971591,95,605.6818962097168,falcon1024,1000,delay,300ms,16,10,14085,2292,21,10,13546,1739,
1637176733.004328,1637176733.01726,96,12.932062149047852,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176733.155162,1637176733.627425,97,472.2628593444824,falcon1024,1000,delay,300ms,14,10,13901,2292,18,10,13446,1739,
1637176734.806422,1637176734.816651,98,10.229110717773438,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176734.962448,1637176735.566941,99,604.4931411743164,falcon1024,1000,delay,300ms,16,10,14089,2292,21,10,13550,1739,
1637176736.60198,1637176736.612222,100,10.241985321044922,falcon1024,1000,delay,300ms,3,0,3830,0,3,0,3704,0,
1637176736.755743,1637176737.363362,101,607.619047164917,falcon1024,1000,delay,300ms,14,10,13932,2292,19,10,13477,1739,
