Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637164761.462182,1637164761.468744,0,6.561994552612305,falcon512,1000,delay,0ms,8,5,6864,1329,12,5,6664,983,
1637164762.494603,1637164762.507172,1,12.569189071655273,falcon512,1000,delay,0ms,6,5,6632,1329,10,5,6516,983,
1637164763.536472,1637164763.543002,2,6.529808044433594,falcon512,1000,delay,0ms,8,5,6859,1329,12,5,6659,983,
1637164764.563764,1637164764.571682,3,7.917881011962891,falcon512,1000,delay,0ms,6,5,6632,1329,10,5,6516,983,
1637164765.600603,1637164765.609027,4,8.423805236816406,falcon512,1000,delay,0ms,6,5,6631,1329,10,5,6515,983,
1637164766.630334,1637164766.638626,5,8.292198181152344,falcon512,1000,delay,0ms,6,5,6638,1329,10,5,6522,983,
1637164767.666512,1637164767.673704,6,7.191896438598633,falcon512,1000,delay,0ms,6,5,6642,1329,10,5,6526,983,
1637164768.705079,1637164768.711999,7,6.91986083984375,falcon512,1000,delay,0ms,6,5,6644,1329,10,5,6528,983,
1637164769.732675,1637164769.743627,8,10.951995849609375,falcon512,1000,delay,0ms,8,7,6807,1475,12,7,6607,1045,
1637164770.767827,1637164770.77449,9,6.663084030151367,falcon512,1000,delay,0ms,8,5,6859,1329,12,5,6659,983,
1637164771.800302,1637164771.807996,10,7.694005966186523,falcon512,1000,delay,0ms,6,5,6641,1329,10,5,6525,983,
1637164772.832611,1637164772.839331,11,6.719827651977539,falcon512,1000,delay,0ms,6,5,6638,1329,10,5,6522,983,
1637164773.867906,1637164773.874834,12,6.927967071533203,falcon512,1000,delay,0ms,6,5,6635,1329,10,5,6519,983,
1637164774.897749,1637164774.904362,13,6.613016128540039,falcon512,1000,delay,0ms,8,5,6864,1329,12,5,6664,983,
1637164775.935089,1637164775.94386,14,8.770942687988281,falcon512,1000,delay,0ms,8,5,6862,1326,12,5,6659,983,
