Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637134862.144173,1637134862.151274,0,7.1010589599609375,rsa,1000,delay,200ms,4,0,4669,0,5,0,4501,0,
1637134862.296907,1637134862.297553,1,0.6461143493652344,rsa,1000,delay,200ms,2,5,1332,2193,5,5,2248,983,
1637134863.591793,1637134863.598844,2,7.050991058349609,rsa,1000,delay,200ms,4,0,4660,0,5,0,4492,0,
1637134863.745686,1637134863.80027,3,54.58402633666992,rsa,1000,delay,200ms,3,5,2574,1326,5,5,2581,983,
1637134865.045641,1637134865.052201,4,6.560087203979492,rsa,1000,delay,200ms,4,0,4658,0,5,0,4490,0,
1637134865.195232,1637134865.195956,5,0.7240772247314453,rsa,1000,delay,200ms,2,7,1332,2339,5,7,2248,1045,
1637134866.492042,1637134866.499049,6,7.00688362121582,rsa,1000,delay,200ms,4,0,4668,0,5,0,4500,0,
1637134866.648139,1637134866.701343,7,53.20405960083008,rsa,1000,delay,200ms,3,5,2574,1326,5,5,2581,983,
1637134867.938808,1637134867.946034,8,7.225990295410156,rsa,1000,delay,200ms,4,0,4667,0,5,0,4499,0,
1637134868.092425,1637134868.150599,9,58.17389488220215,rsa,1000,delay,200ms,4,5,2663,1326,6,5,2628,983,
1637134869.391844,1637134869.398783,10,6.938934326171875,rsa,1000,delay,200ms,4,0,4659,0,5,0,4491,0,
1637134869.546775,1637134869.547451,11,0.6759166717529297,rsa,1000,delay,200ms,2,5,1332,2193,5,5,2248,983,
1637134870.842376,1637134870.850142,12,7.766008377075195,rsa,1000,delay,200ms,4,0,4668,0,5,0,4500,0,
1637134870.995022,1637134871.061126,13,66.10393524169922,rsa,1000,delay,200ms,4,5,2663,1326,6,5,2628,983,
1637134872.304479,1637134872.311153,14,6.674051284790039,rsa,1000,delay,200ms,4,0,4667,0,5,0,4499,0,
1637134872.460157,1637134872.512122,15,51.96499824523926,rsa,1000,delay,200ms,3,5,2574,1326,5,5,2581,983,
1637134873.76243,1637134873.770401,16,7.971048355102539,rsa,1000,delay,200ms,4,0,4660,0,5,0,4492,0,
1637134873.91063,1637134873.972084,17,61.454057693481445,rsa,1000,delay,200ms,3,5,2574,1326,6,5,2581,983,
1637134875.204391,1637134875.211102,18,6.711006164550781,rsa,1000,delay,200ms,4,0,4665,0,5,0,4497,0,
1637134875.355174,1637134875.355924,19,0.7498264312744141,rsa,1000,delay,200ms,2,5,1332,2193,5,5,2248,983,
1637134876.644937,1637134876.652376,20,7.438898086547852,rsa,1000,delay,200ms,4,0,4663,0,5,0,4495,0,
1637134876.795443,1637134876.857937,21,62.49403953552246,rsa,1000,delay,200ms,3,7,2574,1473,5,7,2582,1045,
1637134878.094606,1637134878.101403,22,6.797075271606445,rsa,1000,delay,200ms,4,0,4660,0,5,0,4492,0,
1637134878.245897,1637134878.302554,23,56.656837463378906,rsa,1000,delay,200ms,3,5,2574,1326,5,5,2581,983,
1637134879.59881,1637134879.606968,24,8.157968521118164,rsa,1000,delay,200ms,4,0,4658,0,5,0,4490,0,
1637134879.743858,1637134879.819844,25,75.98590850830078,rsa,1000,delay,200ms,4,5,2663,1326,6,5,2628,983,
1637134881.086487,1637134881.094562,26,8.07499885559082,rsa,1000,delay,200ms,4,0,4660,0,5,0,4492,0,
1637134881.237152,1637134881.295514,27,58.36200714111328,rsa,1000,delay,200ms,3,5,2574,1326,5,5,2581,983,
1637134882.5374,1637134882.544258,28,6.858110427856445,rsa,1000,delay,200ms,4,0,4667,0,5,0,4499,0,
1637134882.694981,1637134882.745009,29,50.02784729003906,rsa,1000,delay,200ms,3,5,2574,1326,5,5,2581,983,
1637134883.991041,1637134883.998344,30,7.302999496459961,rsa,1000,delay,200ms,4,0,4660,0,5,0,4492,0,
1637134884.136501,1637134884.19875,31,62.248945236206055,rsa,1000,delay,200ms,4,5,2663,1326,6,5,2628,983,
1637134885.436686,1637134885.447198,32,10.51187515258789,rsa,1000,delay,200ms,4,0,4662,0,5,0,4494,0,
1637134885.587752,1637134885.647988,33,60.23597717285156,rsa,1000,delay,200ms,3,5,2574,1326,5,5,2581,983,
1637134886.872985,1637134886.88026,34,7.275104522705078,rsa,1000,delay,200ms,4,0,4660,0,5,0,4492,0,
