Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637137985.918866,1637137986.639739,0,720.8731174468994,rsa,1000,delay,400ms,15,9,12489,2578,19,9,12859,1200,
1637137987.773992,1637137988.485015,1,711.0228538513184,rsa,1000,delay,400ms,15,9,13660,1711,18,9,13163,1200,
1637137989.615409,1637137990.328079,2,712.670087814331,rsa,1000,delay,400ms,15,9,13648,1711,19,9,13151,1200,
1637137991.453803,1637137992.161968,3,708.1649303436279,rsa,1000,delay,400ms,16,9,13719,1711,19,9,13180,1200,
1637137993.300395,1637137994.015427,4,715.0321006774902,rsa,1000,delay,400ms,15,9,13668,1711,19,9,13171,1200,
1637137995.139201,1637137995.847662,5,708.4610462188721,rsa,1000,delay,400ms,15,9,13652,1711,18,9,13155,1200,
1637137996.988157,1637137997.703279,6,715.1219844818115,rsa,1000,delay,400ms,15,9,13676,1712,19,9,13180,1200,
1637137998.837314,1637137999.556674,7,719.3601131439209,rsa,1000,delay,400ms,14,9,12402,2578,18,9,12814,1200,
1637138000.690611,1637138001.408635,8,718.0240154266357,rsa,1000,delay,400ms,16,9,13730,1711,19,9,13191,1200,
1637138002.535686,1637138003.252119,9,716.433048248291,rsa,1000,delay,400ms,15,9,13664,1711,19,9,13167,1200,
1637138004.387165,1637138005.104302,10,717.1368598937988,rsa,1000,delay,400ms,14,9,12398,2578,18,9,12810,1200,
1637138006.229491,1637138006.940424,11,710.9329700469971,rsa,1000,delay,400ms,14,9,12406,2578,18,9,12818,1200,
1637138008.076043,1637138008.791449,12,715.4061794281006,rsa,1000,delay,400ms,15,9,13668,1711,18,9,13171,1200,
1637138009.931438,1637138010.643344,13,711.9059562683105,rsa,1000,delay,400ms,15,9,13668,1711,18,9,13171,1200,
1637138011.79274,1637138012.501495,14,708.7547779083252,rsa,1000,delay,400ms,15,9,13656,1711,18,9,13159,1200,
1637138013.632259,1637138014.346217,15,713.9580249786377,rsa,1000,delay,400ms,15,9,13628,1711,19,9,13131,1200,
1637138015.472357,1637138016.18276,16,710.4029655456543,rsa,1000,delay,400ms,14,9,12434,2578,18,9,12846,1200,
1637138017.313635,1637138018.045977,17,732.342004776001,rsa,1000,delay,400ms,14,9,12410,2578,18,9,12822,1200,
1637138019.160576,1637138019.871636,18,711.0598087310791,rsa,1000,delay,400ms,14,9,12406,2578,18,9,12818,1200,
1637138020.999907,1637138021.722589,19,722.681999206543,rsa,1000,delay,400ms,14,9,12418,2578,18,9,12830,1200,
1637138022.846275,1637138023.55717,20,710.8948230743408,rsa,1000,delay,400ms,16,9,13754,1711,19,9,13215,1200,
1637138024.691982,1637138025.414958,21,722.9759693145752,rsa,1000,delay,400ms,14,9,12406,2578,18,9,12818,1200,
1637138026.540004,1637138027.253138,22,713.1340503692627,rsa,1000,delay,400ms,14,9,12406,2578,18,9,12818,1200,
1637138028.392629,1637138029.106729,23,714.1001224517822,rsa,1000,delay,400ms,15,9,12505,2578,19,9,12875,1200,
