Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637074852.69896,1637074852.701934,0,2.9740333557128906,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074852.854254,1637074853.609242,1,754.9879550933838,dilithium5,10,delay,300ms,45,11,33008,3808,47,11,31253,3211,
1637074854.646067,1637074854.649472,2,3.4050941467285156,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074854.798155,1637074855.561415,3,763.2598876953125,dilithium5,10,delay,300ms,44,11,32935,3808,46,11,31222,3211,
1637074856.599626,1637074856.601806,4,2.179861068725586,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074856.746295,1637074857.51737,5,771.0750102996826,dilithium5,10,delay,300ms,42,11,32739,3808,44,11,31110,3211,
1637074858.543707,1637074858.54621,6,2.5031566619873047,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074858.697709,1637074859.460127,7,762.4180316925049,dilithium5,10,delay,300ms,44,11,32925,3809,46,11,31213,3211,
1637074860.492921,1637074860.495598,8,2.6769638061523438,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074860.648427,1637074861.099126,9,450.6990909576416,dilithium5,10,delay,300ms,22,5,15237,1329,25,5,14449,983,
1637074862.443521,1637074862.445982,10,2.460956573486328,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074862.595341,1637074863.199098,11,603.7571430206299,dilithium5,10,delay,300ms,32,7,22117,1474,34,7,20908,1045,
1637074864.387337,1637074864.390414,12,3.0770301818847656,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074864.540046,1637074865.298336,13,758.2900524139404,dilithium5,10,delay,300ms,45,11,33016,3808,47,11,31261,3211,
1637074866.345893,1637074866.348151,14,2.2580623626708984,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074866.501391,1637074867.25718,15,755.789041519165,dilithium5,10,delay,300ms,44,11,32923,3808,46,11,31210,3211,
1637074868.287467,1637074868.289724,16,2.257108688354492,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
1637074868.442706,1637074869.21063,17,767.9238319396973,dilithium5,10,delay,300ms,47,11,33182,3808,49,11,31343,3211,
1637074870.228679,1637074870.233078,18,4.39906120300293,dilithium5,10,delay,300ms,3,0,3830,0,3,0,3704,0,
