Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638541258.660511,1638541258.866973,0,206.46190643310547,dilithium2,1000,delay,100ms,12,5,11134,1329,15,5,10766,983,
1638541260.010758,1638541260.218488,1,207.73005485534668,dilithium2,1000,delay,100ms,14,5,11309,1329,17,5,10857,983,
1638541261.352567,1638541261.573032,2,220.46494483947754,dilithium2,1000,delay,100ms,13,5,11218,1329,16,5,10808,983,
1638541262.711115,1638541262.919706,3,208.59122276306152,dilithium2,1000,delay,100ms,13,5,11221,1329,16,5,10811,983,
1638541264.061422,1638541264.171103,4,109.6808910369873,dilithium2,1000,delay,100ms,9,5,10858,1329,13,5,10616,983,
1638541265.409044,1638541265.623889,5,214.8449420928955,dilithium2,1000,delay,100ms,12,5,11125,1329,15,5,10757,983,
1638541266.765139,1638541266.971203,6,206.06398582458496,dilithium2,1000,delay,100ms,12,5,11129,1329,15,5,10761,983,
1638541268.113336,1638541268.33716,7,223.82402420043945,dilithium2,1000,delay,100ms,10,5,10954,1329,14,5,10670,983,
1638541269.481334,1638541269.688894,8,207.56006240844727,dilithium2,1000,delay,100ms,13,5,11214,1329,16,5,10804,983,
1638541270.83178,1638541271.038769,9,206.98904991149902,dilithium2,1000,delay,100ms,15,5,11391,1329,18,5,10897,983,
1638541272.173381,1638541272.378504,10,205.1229476928711,dilithium2,1000,delay,100ms,12,5,11134,1329,15,5,10766,983,
1638541273.536292,1638541273.769126,11,232.8338623046875,dilithium2,1000,delay,100ms,11,5,11035,1329,15,5,10709,983,
1638541274.904767,1638541275.109365,12,204.59794998168945,dilithium2,1000,delay,100ms,14,5,11312,1329,17,5,10860,983,
1638541276.256666,1638541276.462094,13,205.4281234741211,dilithium2,1000,delay,100ms,13,5,11222,1329,16,5,10812,983,
1638541277.601597,1638541277.8241,14,222.5029468536377,dilithium2,1000,delay,100ms,13,5,11221,1329,16,5,10811,983,
1638541278.957641,1638541279.163915,15,206.27403259277344,dilithium2,1000,delay,100ms,12,5,11125,1329,15,5,10757,983,
1638541280.301168,1638541280.508261,16,207.0930004119873,dilithium2,1000,delay,100ms,13,5,11216,1329,16,5,10806,983,
1638541281.646164,1638541281.852066,17,205.902099609375,dilithium2,1000,delay,100ms,11,5,11037,1329,15,5,10711,983,
1638541283.000157,1638541283.210625,18,210.46781539916992,dilithium2,1000,delay,100ms,12,5,11134,1329,15,5,10766,983,
1638541284.357753,1638541284.567021,19,209.26785469055176,dilithium2,1000,delay,100ms,14,5,11307,1329,17,5,10855,983,
1638541285.703684,1638541285.910749,20,207.06486701965332,dilithium2,1000,delay,100ms,13,5,11222,1329,16,5,10812,983,
1638541287.048959,1638541287.2792,21,230.241060256958,dilithium2,1000,delay,100ms,11,5,11042,1329,14,5,10716,983,
1638541288.42411,1638541288.631746,22,207.63611793518066,dilithium2,1000,delay,100ms,13,5,11217,1329,16,5,10807,983,
1638541289.770902,1638541289.977305,23,206.40301704406738,dilithium2,1000,delay,100ms,13,5,11218,1329,16,5,10808,983,
1638541291.112505,1638541291.323757,24,211.25197410583496,dilithium2,1000,delay,100ms,14,5,11356,1326,18,5,10901,983,
1638541292.466184,1638541292.673783,25,207.59916305541992,dilithium2,1000,delay,100ms,12,5,11127,1329,15,5,10759,983,
1638541293.811662,1638541294.023468,26,211.806058883667,dilithium2,1000,delay,100ms,14,5,11311,1329,17,5,10859,983,
1638541295.162014,1638541295.379428,27,217.41390228271484,dilithium2,1000,delay,100ms,12,5,11125,1329,15,5,10757,983,
1638541296.518924,1638541296.725909,28,206.9849967956543,dilithium2,1000,delay,100ms,11,5,11040,1329,14,5,10714,983,
1638541297.867257,1638541298.072582,29,205.32488822937012,dilithium2,1000,delay,100ms,15,5,11390,1329,19,5,10896,983,
1638541299.214464,1638541299.424829,30,210.36505699157715,dilithium2,1000,delay,100ms,15,5,11397,1329,18,5,10903,983,
1638541300.58276,1638541300.799763,31,217.00286865234375,dilithium2,1000,delay,100ms,12,5,11124,1329,15,5,10756,983,
1638541301.929881,1638541302.137829,32,207.9479694366455,dilithium2,1000,delay,100ms,13,5,11213,1329,16,5,10803,983,
1638541303.295854,1638541303.503661,33,207.80682563781738,dilithium2,1000,delay,100ms,13,5,11221,1329,16,5,10811,983,
1638541304.658167,1638541304.878643,34,220.4761505126953,dilithium2,1000,delay,100ms,12,5,11133,1329,15,5,10765,983,
1638541306.020907,1638541306.22819,35,207.28302001953125,dilithium2,1000,delay,100ms,13,5,11221,1329,16,5,10811,983,
1638541307.406454,1638541307.621998,36,215.5439853668213,dilithium2,1000,delay,100ms,10,5,10945,1329,14,5,10661,983,
1638541308.752128,1638541308.959787,37,207.6590061187744,dilithium2,1000,delay,100ms,12,5,11130,1329,15,5,10762,983,
1638541310.108792,1638541310.316855,38,208.06288719177246,dilithium2,1000,delay,100ms,15,5,11393,1329,18,5,10899,983,
1638541311.462861,1638541311.670381,39,207.5200080871582,dilithium2,1000,delay,100ms,14,5,11300,1329,17,5,10848,983,
1638541312.807272,1638541313.023425,40,216.15314483642578,dilithium2,1000,delay,100ms,12,5,11131,1329,16,5,10763,983,
1638541314.163622,1638541314.375682,41,212.06021308898926,dilithium2,1000,delay,100ms,12,5,11124,1329,15,5,10756,983,
1638541315.519034,1638541315.731547,42,212.51320838928223,dilithium2,1000,delay,100ms,10,5,10950,1329,14,5,10666,983,
1638541316.882821,1638541317.088116,43,205.29484748840332,dilithium2,1000,delay,100ms,12,5,11126,1329,15,5,10758,983,
1638541318.234746,1638541318.339265,44,104.51912879943848,dilithium2,1000,delay,100ms,9,5,10857,1329,13,5,10615,983,
1638541319.596715,1638541319.802922,45,206.2070369720459,dilithium2,1000,delay,100ms,14,5,11308,1329,17,5,10856,983,
1638541320.94439,1638541321.156085,46,211.69495582580566,dilithium2,1000,delay,100ms,14,5,11310,1329,17,5,10858,983,
1638541322.302866,1638541322.523031,47,220.16501426696777,dilithium2,1000,delay,100ms,11,5,11038,1329,14,5,10712,983,
1638541323.657601,1638541323.870737,48,213.1359577178955,dilithium2,1000,delay,100ms,14,5,11304,1329,17,5,10852,983,
1638541325.008784,1638541325.213632,49,204.848051071167,dilithium2,1000,delay,100ms,12,5,11125,1329,15,5,10757,983,
1638541326.356869,1638541326.562666,50,205.7969570159912,dilithium2,1000,delay,100ms,14,5,11310,1329,17,5,10858,983,
1638541327.70386,1638541327.814984,51,111.12403869628906,dilithium2,1000,delay,100ms,10,5,10951,1329,13,5,10667,983,
1638541329.072775,1638541329.282174,52,209.39922332763672,dilithium2,1000,delay,100ms,12,5,11123,1329,15,5,10755,983,
1638541330.425537,1638541330.630703,53,205.16586303710938,dilithium2,1000,delay,100ms,14,5,11300,1329,17,5,10848,983,
1638541331.783951,1638541331.993516,54,209.5649242401123,dilithium2,1000,delay,100ms,13,5,11215,1329,16,5,10805,983,
1638541333.143537,1638541333.348353,55,204.81586456298828,dilithium2,1000,delay,100ms,13,5,11219,1329,17,5,10809,983,
1638541334.48845,1638541334.69632,56,207.8700065612793,dilithium2,1000,delay,100ms,12,5,11128,1329,15,5,10760,983,
1638541335.837032,1638541336.044895,57,207.86285400390625,dilithium2,1000,delay,100ms,14,5,11308,1329,17,5,10856,983,
1638541337.180791,1638541337.389256,58,208.4650993347168,dilithium2,1000,delay,100ms,12,5,11127,1329,15,5,10759,983,
1638541338.534344,1638541338.749135,59,214.79105949401855,dilithium2,1000,delay,100ms,13,5,11220,1329,16,5,10810,983,
1638541339.897744,1638541340.132817,60,235.07308959960938,dilithium2,1000,delay,100ms,10,5,10945,1329,14,5,10661,983,
1638541341.276661,1638541341.490705,61,214.04409408569336,dilithium2,1000,delay,100ms,13,5,11221,1329,16,5,10811,983,
1638541342.640816,1638541342.84824,62,207.42392539978027,dilithium2,1000,delay,100ms,14,5,11311,1329,17,5,10859,983,
1638541344.002276,1638541344.209033,63,206.7570686340332,dilithium2,1000,delay,100ms,12,5,11130,1329,15,5,10762,983,
1638541345.353113,1638541345.562375,64,209.26213264465332,dilithium2,1000,delay,100ms,14,5,11304,1329,17,5,10852,983,
1638541346.728331,1638541346.940947,65,212.615966796875,dilithium2,1000,delay,100ms,13,5,11217,1329,16,5,10807,983,
1638541348.076694,1638541348.286263,66,209.56897735595703,dilithium2,1000,delay,100ms,13,5,11222,1329,16,5,10812,983,
1638541349.421865,1638541349.630553,67,208.68802070617676,dilithium2,1000,delay,100ms,13,5,11217,1329,16,5,10807,983,
1638541350.768431,1638541350.872702,68,104.27093505859375,dilithium2,1000,delay,100ms,10,5,10949,1329,13,5,10665,983,
1638541352.121496,1638541352.328026,69,206.53009414672852,dilithium2,1000,delay,100ms,12,5,11122,1329,15,5,10754,983,
1638541353.475011,1638541353.683666,70,208.65488052368164,dilithium2,1000,delay,100ms,12,5,11133,1329,16,5,10765,983,
1638541354.825695,1638541355.033523,71,207.82804489135742,dilithium2,1000,delay,100ms,13,5,11216,1329,16,5,10806,983,
1638541356.175214,1638541356.384607,72,209.39302444458008,dilithium2,1000,delay,100ms,13,5,11214,1329,16,5,10804,983,
1638541357.52867,1638541357.735333,73,206.6628932952881,dilithium2,1000,delay,100ms,14,5,11305,1329,17,5,10853,983,
1638541358.863679,1638541359.072055,74,208.3761692047119,dilithium2,1000,delay,100ms,13,5,11222,1329,16,5,10812,983,
1638541360.206804,1638541360.310744,75,103.94001007080078,dilithium2,1000,delay,100ms,9,5,10857,1329,13,5,10615,983,
1638541361.543903,1638541361.651762,76,107.85889625549316,dilithium2,1000,delay,100ms,9,5,10860,1329,13,5,10618,983,
1638541362.904888,1638541363.109764,77,204.87618446350098,dilithium2,1000,delay,100ms,12,5,11132,1329,15,5,10764,983,
1638541364.245855,1638541364.460479,78,214.62392807006836,dilithium2,1000,delay,100ms,13,5,11217,1329,16,5,10807,983,
1638541365.59571,1638541365.802809,79,207.09896087646484,dilithium2,1000,delay,100ms,12,5,11132,1329,15,5,10764,983,
1638541366.94624,1638541367.152669,80,206.42900466918945,dilithium2,1000,delay,100ms,12,5,11123,1329,15,5,10755,983,
1638541368.287437,1638541368.494401,81,206.96401596069336,dilithium2,1000,delay,100ms,12,5,11129,1329,15,5,10761,983,
1638541369.643371,1638541369.850125,82,206.75396919250488,dilithium2,1000,delay,100ms,12,5,11131,1329,15,5,10763,983,
1638541371.011388,1638541371.219594,83,208.2059383392334,dilithium2,1000,delay,100ms,13,5,11212,1329,16,5,10802,983,
1638541372.362997,1638541372.472299,84,109.30204391479492,dilithium2,1000,delay,100ms,9,5,10862,1329,13,5,10620,983,
1638541373.713655,1638541373.926172,85,212.51702308654785,dilithium2,1000,delay,100ms,13,5,11211,1329,16,5,10801,983,
1638541375.078487,1638541375.286738,86,208.2509994506836,dilithium2,1000,delay,100ms,12,5,11125,1329,15,5,10757,983,
1638541376.424699,1638541376.631112,87,206.41303062438965,dilithium2,1000,delay,100ms,13,5,11219,1329,16,5,10809,983,
1638541377.769402,1638541377.976939,88,207.5369358062744,dilithium2,1000,delay,100ms,10,5,10953,1329,14,5,10669,983,
1638541379.118133,1638541379.32704,89,208.906888961792,dilithium2,1000,delay,100ms,13,5,11222,1329,16,5,10812,983,
1638541380.468784,1638541380.57438,90,105.59582710266113,dilithium2,1000,delay,100ms,10,5,10948,1329,13,5,10664,983,
1638541381.818304,1638541382.025954,91,207.64994621276855,dilithium2,1000,delay,100ms,10,5,10944,1329,14,5,10660,983,
1638541383.166927,1638541383.377043,92,210.11590957641602,dilithium2,1000,delay,100ms,13,5,11211,1329,16,5,10801,983,
1638541384.525799,1638541384.73897,93,213.17100524902344,dilithium2,1000,delay,100ms,14,5,11301,1329,17,5,10849,983,
1638541385.88415,1638541385.992424,94,108.27398300170898,dilithium2,1000,delay,100ms,10,5,10947,1329,13,5,10663,983,
1638541387.254227,1638541387.485723,95,231.49609565734863,dilithium2,1000,delay,100ms,12,5,11134,1329,15,5,10766,983,
1638541388.629954,1638541388.839999,96,210.04486083984375,dilithium2,1000,delay,100ms,13,5,11219,1329,16,5,10809,983,
1638541389.970876,1638541390.179133,97,208.25695991516113,dilithium2,1000,delay,100ms,12,5,11133,1329,16,5,10765,983,
1638541391.31076,1638541391.520171,98,209.4109058380127,dilithium2,1000,delay,100ms,13,5,11212,1329,16,5,10802,983,
1638541392.653305,1638541392.862214,99,208.9090347290039,dilithium2,1000,delay,100ms,13,5,11221,1329,16,5,10811,983,
1638541394.008932,1638541394.221817,100,212.88490295410156,dilithium2,1000,delay,100ms,12,5,11133,1329,15,5,10765,983,
1638541395.383852,1638541395.592214,101,208.36210250854492,dilithium2,1000,delay,100ms,12,5,11134,1329,15,5,10766,983,
1638541396.736769,1638541396.945795,102,209.02609825134277,dilithium2,1000,delay,100ms,13,5,11222,1329,16,5,10812,983,
1638541398.09479,1638541398.300365,103,205.57498931884766,dilithium2,1000,delay,100ms,14,5,11302,1329,17,5,10850,983,
1638541399.43944,1638541399.645296,104,205.8560848236084,dilithium2,1000,delay,100ms,12,5,11131,1329,15,5,10763,983,
1638541400.793001,1638541400.997639,105,204.63800430297852,dilithium2,1000,delay,100ms,12,5,11126,1329,15,5,10758,983,
1638541402.132418,1638541402.350195,106,217.77701377868652,dilithium2,1000,delay,100ms,12,5,11123,1329,15,5,10755,983,
1638541403.493973,1638541403.704271,107,210.2980613708496,dilithium2,1000,delay,100ms,14,5,11300,1329,17,5,10848,983,
1638541404.859308,1638541405.069804,108,210.4959487915039,dilithium2,1000,delay,100ms,12,5,11129,1329,16,5,10761,983,
1638541406.213496,1638541406.432775,109,219.27905082702637,dilithium2,1000,delay,100ms,13,5,11213,1329,16,5,10803,983,
1638541407.582409,1638541407.80368,110,221.27103805541992,dilithium2,1000,delay,100ms,10,5,10945,1329,14,5,10661,983,
1638541408.955884,1638541409.170192,111,214.3080234527588,dilithium2,1000,delay,100ms,12,5,11131,1329,15,5,10763,983,
1638541410.318762,1638541410.529885,112,211.12298965454102,dilithium2,1000,delay,100ms,10,5,10954,1329,14,5,10670,983,
1638541411.665946,1638541411.873657,113,207.71098136901855,dilithium2,1000,delay,100ms,12,5,11130,1329,15,5,10762,983,
1638541413.022378,1638541413.228549,114,206.17103576660156,dilithium2,1000,delay,100ms,12,5,11124,1329,15,5,10756,983,
1638541414.366012,1638541414.573567,115,207.55481719970703,dilithium2,1000,delay,100ms,14,5,11310,1329,17,5,10858,983,
1638541415.711126,1638541415.921358,116,210.23201942443848,dilithium2,1000,delay,100ms,12,5,11131,1329,15,5,10763,983,
1638541417.069694,1638541417.278453,117,208.75906944274902,dilithium2,1000,delay,100ms,13,5,11223,1329,16,5,10813,983,
1638541418.425536,1638541418.644089,118,218.5530662536621,dilithium2,1000,delay,100ms,12,5,11128,1329,15,5,10760,983,
1638541419.781607,1638541419.988938,119,207.33118057250977,dilithium2,1000,delay,100ms,13,5,11214,1329,16,5,10804,983,
1638541421.143002,1638541421.354238,120,211.23600006103516,dilithium2,1000,delay,100ms,12,5,11125,1329,15,5,10757,983,
1638541422.489512,1638541422.697552,121,208.0399990081787,dilithium2,1000,delay,100ms,14,5,11307,1329,17,5,10855,983,
