Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638542627.063516,1638542627.454045,0,390.5291557312012,dilithium2,1000,delay,200ms,15,5,12544,1329,18,5,12050,983,
1638542628.720611,1638542629.125297,1,404.68597412109375,dilithium2,1000,delay,200ms,15,5,12551,1329,18,5,12057,983,
1638542630.364023,1638542630.775326,2,411.3030433654785,dilithium2,1000,delay,200ms,16,5,12632,1329,19,5,12096,983,
1638542632.017972,1638542632.430094,3,412.1220111846924,dilithium2,1000,delay,200ms,16,5,12643,1329,19,5,12107,983,
1638542633.667298,1638542634.077623,4,410.3248119354248,dilithium2,1000,delay,200ms,16,5,12635,1329,19,5,12099,983,
1638542635.326325,1638542635.733374,5,407.04917907714844,dilithium2,1000,delay,200ms,15,5,12550,1329,19,5,12056,983,
1638542636.971975,1638542637.337086,6,365.1108741760254,dilithium2,1000,delay,200ms,14,5,12462,1329,17,5,12010,983,
1638542638.625235,1638542639.033022,7,407.7868461608887,dilithium2,1000,delay,200ms,15,5,12548,1329,18,5,12054,983,
1638542640.277139,1638542640.683943,8,406.80408477783203,dilithium2,1000,delay,200ms,15,5,12554,1329,18,5,12060,983,
1638542641.924885,1638542642.28984,9,364.95494842529297,dilithium2,1000,delay,200ms,12,5,12275,1329,16,5,11907,983,
1638542643.568748,1638542643.932662,10,363.91401290893555,dilithium2,1000,delay,200ms,12,5,12280,1329,16,5,11912,983,
1638542645.217533,1638542645.575139,11,357.6059341430664,dilithium2,1000,delay,200ms,12,5,12284,1329,16,5,11916,983,
1638542646.865998,1638542647.218669,12,352.67090797424316,dilithium2,1000,delay,200ms,12,7,12286,1475,16,7,11918,1045,
1638542648.52593,1638542648.931054,13,405.1241874694824,dilithium2,1000,delay,200ms,14,5,12465,1329,18,5,12013,983,
1638542650.176935,1638542650.538033,14,361.098051071167,dilithium2,1000,delay,200ms,12,5,12276,1329,16,5,11908,983,
1638542651.824269,1638542652.174016,15,349.7469425201416,dilithium2,1000,delay,200ms,13,5,12369,1329,16,5,11959,983,
1638542653.48288,1638542653.849715,16,366.8348789215088,dilithium2,1000,delay,200ms,13,5,12365,1329,17,5,11955,983,
1638542655.123281,1638542655.488098,17,364.81690406799316,dilithium2,1000,delay,200ms,12,5,12277,1329,16,5,11909,983,
1638542656.7786,1638542657.131491,18,352.8909683227539,dilithium2,1000,delay,200ms,12,5,12279,1329,16,5,11911,983,
1638542658.433585,1638542658.791906,19,358.3211898803711,dilithium2,1000,delay,200ms,12,5,12282,1329,16,5,11914,983,
1638542660.077588,1638542660.438547,20,360.9588146209717,dilithium2,1000,delay,200ms,12,5,12286,1329,16,5,11918,983,
1638542661.726502,1638542662.087001,21,360.49914360046387,dilithium2,1000,delay,200ms,12,5,12279,1329,16,5,11911,983,
1638542663.369624,1638542663.727777,22,358.1531047821045,dilithium2,1000,delay,200ms,12,5,12284,1329,16,5,11916,983,
1638542665.033221,1638542665.388515,23,355.29398918151855,dilithium2,1000,delay,200ms,13,5,12364,1329,16,5,11954,983,
1638542666.703058,1638542667.06202,24,358.9620590209961,dilithium2,1000,delay,200ms,12,5,12275,1329,16,5,11907,983,
1638542668.369445,1638542668.775661,25,406.2159061431885,dilithium2,1000,delay,200ms,13,5,12364,1329,17,5,11954,983,
1638542670.0174,1638542670.374511,26,357.11097717285156,dilithium2,1000,delay,200ms,12,5,12281,1329,16,5,11913,983,
1638542671.665187,1638542672.037178,27,371.9911575317383,dilithium2,1000,delay,200ms,12,5,12283,1329,16,5,11915,983,
1638542673.322947,1638542673.684109,28,361.1619472503662,dilithium2,1000,delay,200ms,12,5,12275,1329,16,5,11907,983,
1638542674.990034,1638542675.357367,29,367.33293533325195,dilithium2,1000,delay,200ms,12,5,12280,1329,16,5,11912,983,
1638542676.643822,1638542677.057448,30,413.62595558166504,dilithium2,1000,delay,200ms,13,5,12373,1329,17,5,11963,983,
1638542678.308636,1638542678.668815,31,360.17894744873047,dilithium2,1000,delay,200ms,12,5,12283,1329,16,5,11915,983,
1638542679.955272,1638542680.324047,32,368.7751293182373,dilithium2,1000,delay,200ms,12,5,12285,1329,16,5,11917,983,
1638542681.59249,1638542681.954305,33,361.8149757385254,dilithium2,1000,delay,200ms,13,5,12370,1329,16,5,11960,983,
1638542683.241755,1638542683.612798,34,371.04296684265137,dilithium2,1000,delay,200ms,12,5,12275,1329,16,5,11907,983,
1638542684.895636,1638542685.251758,35,356.1220169067383,dilithium2,1000,delay,200ms,12,5,12277,1329,16,5,11909,983,
1638542686.552668,1638542686.915289,36,362.6208305358887,dilithium2,1000,delay,200ms,12,5,12279,1329,16,5,11911,983,
1638542688.209347,1638542688.558155,37,348.80805015563965,dilithium2,1000,delay,200ms,12,5,12283,1329,16,5,11915,983,
1638542689.87369,1638542690.236392,38,362.7021312713623,dilithium2,1000,delay,200ms,13,5,12371,1329,17,5,11961,983,
1638542691.514404,1638542691.874881,39,360.4769706726074,dilithium2,1000,delay,200ms,12,5,12281,1329,16,5,11913,983,
1638542693.162227,1638542693.521876,40,359.6491813659668,dilithium2,1000,delay,200ms,13,5,12364,1329,17,5,11954,983,
1638542694.820368,1638542695.178705,41,358.3369255065918,dilithium2,1000,delay,200ms,12,5,12282,1329,16,5,11914,983,
