Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638548840.071254,1638548840.278331,0,207.0770263671875,dilithium3,1000,delay,100ms,12,5,13515,1329,16,5,13147,983,
1638548842.823898,1638548843.040377,2,216.47882461547852,dilithium3,1000,delay,100ms,14,5,13696,1329,17,5,13244,983,
1638548844.200272,1638548844.410617,3,210.34502983093262,dilithium3,1000,delay,100ms,13,5,13605,1329,16,5,13195,983,
1638548845.560465,1638548845.772377,4,211.9119167327881,dilithium3,1000,delay,100ms,12,5,13509,1329,16,5,13141,983,
1638548846.912515,1638548847.121209,5,208.6939811706543,dilithium3,1000,delay,100ms,13,5,13598,1329,16,5,13188,983,
1638548848.2675,1638548848.479892,6,212.39209175109863,dilithium3,1000,delay,100ms,12,5,13514,1329,16,5,13146,983,
1638548849.613604,1638548849.830118,7,216.51387214660645,dilithium3,1000,delay,100ms,12,5,13517,1329,16,5,13149,983,
1638548850.968079,1638548851.17867,8,210.59083938598633,dilithium3,1000,delay,100ms,12,5,13514,1329,16,5,13146,983,
1638548852.322707,1638548852.539903,9,217.19598770141602,dilithium3,1000,delay,100ms,12,5,13517,1329,16,5,13149,983,
1638548853.677104,1638548853.792415,10,115.3109073638916,dilithium3,1000,delay,100ms,11,5,13428,1329,15,5,13102,983,
1638548855.045311,1638548855.254523,11,209.212064743042,dilithium3,1000,delay,100ms,12,5,13517,1329,16,5,13149,983,
1638548856.40024,1638548856.609878,12,209.63811874389648,dilithium3,1000,delay,100ms,12,5,13508,1329,16,5,13140,983,
1638548857.74227,1638548857.949926,13,207.6559066772461,dilithium3,1000,delay,100ms,12,5,13509,1329,16,5,13141,983,
1638548859.081663,1638548859.288943,14,207.28015899658203,dilithium3,1000,delay,100ms,12,5,13509,1329,16,5,13141,983,
1638548860.43086,1638548860.538034,15,107.17391967773438,dilithium3,1000,delay,100ms,11,5,13420,1329,15,5,13094,983,
1638548861.788129,1638548861.997686,16,209.55681800842285,dilithium3,1000,delay,100ms,12,5,13511,1329,16,5,13143,983,
1638548863.133858,1638548863.241463,17,107.60498046875,dilithium3,1000,delay,100ms,11,5,13428,1329,15,5,13102,983,
1638548864.492484,1638548864.705372,18,212.88800239562988,dilithium3,1000,delay,100ms,12,5,13509,1329,16,5,13141,983,
1638548865.854618,1638548866.072538,19,217.91982650756836,dilithium3,1000,delay,100ms,12,5,13512,1329,16,5,13144,983,
1638548867.214695,1638548867.426603,20,211.90810203552246,dilithium3,1000,delay,100ms,12,5,13516,1329,16,5,13148,983,
