Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638547621.483037,1638547621.596809,0,113.77191543579102,dilithium3,1000,delay,50ms,12,5,13509,1329,16,5,13141,983,
1638547622.689195,1638547622.804754,1,115.55910110473633,dilithium3,1000,delay,50ms,17,5,13959,1329,20,5,13381,983,
1638547623.88795,1638547624.003869,2,115.91911315917969,dilithium3,1000,delay,50ms,17,5,13956,1329,20,5,13378,983,
1638547625.105048,1638547625.216649,3,111.60111427307129,dilithium3,1000,delay,50ms,16,5,13865,1329,19,5,13329,983,
1638547626.319941,1638547626.427587,4,107.64598846435547,dilithium3,1000,delay,50ms,16,5,13876,1329,19,5,13340,983,
1638547627.526469,1638547627.638721,5,112.25199699401855,dilithium3,1000,delay,50ms,18,5,14054,1329,21,5,13434,983,
1638547628.736167,1638547628.846274,6,110.1069450378418,dilithium3,1000,delay,50ms,17,5,13956,1329,20,5,13378,983,
1638547631.13441,1638547631.190193,8,55.78303337097168,dilithium3,1000,delay,50ms,11,5,13431,1329,15,5,13105,983,
1638547632.349901,1638547632.456076,9,106.17494583129883,dilithium3,1000,delay,50ms,18,5,14047,1329,21,5,13427,983,
1638547633.552972,1638547633.660488,10,107.51581192016602,dilithium3,1000,delay,50ms,17,5,13963,1329,20,5,13385,983,
1638547634.7475,1638547634.865675,11,118.17502975463867,dilithium3,1000,delay,50ms,15,5,13787,1329,18,5,13293,983,
1638547635.958914,1638547636.066251,12,107.33699798583984,dilithium3,1000,delay,50ms,18,5,14046,1329,21,5,13426,983,
1638547637.158259,1638547637.274542,13,116.28317832946777,dilithium3,1000,delay,50ms,18,5,14050,1329,21,5,13430,983,
1638547638.393732,1638547638.502137,14,108.40487480163574,dilithium3,1000,delay,50ms,15,5,13776,1329,19,5,13282,983,
1638547639.596725,1638547639.703714,15,106.98890686035156,dilithium3,1000,delay,50ms,16,5,13864,1329,20,5,13328,983,
1638547640.805363,1638547640.912019,16,106.65607452392578,dilithium3,1000,delay,50ms,18,5,14052,1329,21,5,13432,983,
1638547642.017703,1638547642.126308,17,108.60490798950195,dilithium3,1000,delay,50ms,15,5,13782,1329,18,5,13288,983,
