Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638557798.756357,1638557799.163189,0,406.8319797515869,dilithium5,1000,delay,200ms,25,5,19066,1329,28,5,18152,983,
1638557800.405963,1638557800.812479,1,406.51607513427734,dilithium5,1000,delay,200ms,26,5,19160,1329,30,5,18204,983,
1638557802.053015,1638557802.463253,2,410.23802757263184,dilithium5,1000,delay,200ms,22,5,18803,1329,25,5,18015,983,
1638557803.700579,1638557804.124622,3,424.0431785583496,dilithium5,1000,delay,200ms,21,5,18709,1329,24,5,17963,983,
1638557805.369975,1638557805.735479,4,365.50402641296387,dilithium5,1000,delay,200ms,17,5,18353,1329,21,5,17775,983,
1638557807.023797,1638557807.435263,5,411.4658832550049,dilithium5,1000,delay,200ms,23,5,18887,1329,26,5,18057,983,
1638557808.67719,1638557809.088917,6,411.7269515991211,dilithium5,1000,delay,200ms,24,5,18976,1329,27,5,18104,983,
1638557810.325586,1638557810.740814,7,415.22789001464844,dilithium5,1000,delay,200ms,24,5,18982,1329,27,5,18110,983,
1638557811.977323,1638557812.38824,8,410.9170436859131,dilithium5,1000,delay,200ms,22,5,18805,1329,25,5,18017,983,
1638557813.632848,1638557813.991356,9,358.5078716278076,dilithium5,1000,delay,200ms,18,5,18441,1329,21,5,17821,983,
1638557815.301139,1638557815.659118,10,357.97882080078125,dilithium5,1000,delay,200ms,18,5,18447,1329,22,5,17827,983,
1638557816.956386,1638557817.379486,11,423.0999946594238,dilithium5,1000,delay,200ms,24,5,18975,1329,27,5,18103,983,
1638557818.642105,1638557819.052951,12,410.8459949493408,dilithium5,1000,delay,200ms,25,5,19071,1329,28,5,18157,983,
1638557820.293669,1638557820.70219,13,408.5209369659424,dilithium5,1000,delay,200ms,25,5,19063,1329,28,5,18149,983,
1638557821.947339,1638557822.357388,14,410.0489616394043,dilithium5,1000,delay,200ms,22,5,18806,1329,25,5,18018,983,
1638557823.593534,1638557824.000862,15,407.32789039611816,dilithium5,1000,delay,200ms,24,5,18977,1329,27,5,18105,983,
1638557825.240281,1638557825.6495,16,409.21878814697266,dilithium5,1000,delay,200ms,24,5,18984,1329,27,5,18112,983,
1638557826.9013,1638557827.307852,17,406.5520763397217,dilithium5,1000,delay,200ms,25,5,19071,1329,28,5,18157,983,
1638557828.558428,1638557828.964031,18,405.60293197631836,dilithium5,1000,delay,200ms,23,5,18887,1329,26,5,18057,983,
1638557830.195197,1638557830.607747,19,412.5499725341797,dilithium5,1000,delay,200ms,23,5,18893,1329,27,5,18063,983,
1638557831.849909,1638557832.203327,20,353.41787338256836,dilithium5,1000,delay,200ms,17,5,18355,1329,21,5,17777,983,
1638557833.494975,1638557833.902748,21,407.7730178833008,dilithium5,1000,delay,200ms,26,5,19161,1329,29,5,18205,983,
1638557835.141494,1638557835.562351,22,420.8569526672363,dilithium5,1000,delay,200ms,21,5,18711,1329,24,5,17965,983,
1638557836.816978,1638557837.223552,23,406.574010848999,dilithium5,1000,delay,200ms,23,5,18891,1329,26,5,18061,983,
1638557838.469057,1638557838.888128,24,419.0709590911865,dilithium5,1000,delay,200ms,30,5,19518,1329,33,5,18394,983,
1638557840.129803,1638557840.537641,25,407.8381061553955,dilithium5,1000,delay,200ms,18,5,18451,1329,22,5,17831,983,
1638557841.782156,1638557842.193382,26,411.2260341644287,dilithium5,1000,delay,200ms,18,5,18443,1329,22,5,17823,983,
1638557843.431483,1638557843.841374,27,409.89089012145996,dilithium5,1000,delay,200ms,18,5,18447,1329,22,5,17827,983,
1638557845.08286,1638557845.441004,28,358.14404487609863,dilithium5,1000,delay,200ms,17,5,18354,1329,21,5,17776,983,
1638557846.746469,1638557847.152983,29,406.51392936706543,dilithium5,1000,delay,200ms,19,5,18528,1329,23,5,17866,983,
1638557848.392446,1638557848.750029,30,357.58304595947266,dilithium5,1000,delay,200ms,17,5,18357,1329,21,5,17779,983,
