Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638569036.660108,1638569036.672424,0,12.315988540649414,falcon1024,1000,delay,0ms,11,5,9259,1329,15,5,8933,983,
1638569037.712688,1638569037.727236,1,14.548063278198242,falcon1024,1000,delay,0ms,7,5,8853,1329,11,5,8695,983,
1638569038.76131,1638569038.774304,2,12.993812561035156,falcon1024,1000,delay,0ms,7,5,8850,1329,11,5,8692,983,
1638569039.812508,1638569039.824635,3,12.126922607421875,falcon1024,1000,delay,0ms,7,5,8845,1329,11,5,8687,983,
1638569040.849052,1638569040.860431,4,11.379003524780273,falcon1024,1000,delay,0ms,7,5,8851,1329,11,5,8693,983,
1638569041.887464,1638569041.899571,5,12.106895446777344,falcon1024,1000,delay,0ms,7,5,8851,1329,11,5,8693,983,
1638569042.93429,1638569042.948415,6,14.12510871887207,falcon1024,1000,delay,0ms,7,5,8851,1329,11,5,8693,983,
1638569043.987471,1638569044.000656,7,13.184785842895508,falcon1024,1000,delay,0ms,7,5,8852,1329,11,5,8694,983,
1638569045.045047,1638569045.056597,8,11.549949645996094,falcon1024,1000,delay,0ms,7,5,8856,1329,11,5,8698,983,
1638569046.083651,1638569046.09695,9,13.298988342285156,falcon1024,1000,delay,0ms,9,5,9021,1329,13,5,8779,983,
1638569047.129177,1638569047.143321,10,14.143943786621094,falcon1024,1000,delay,0ms,11,5,9213,1329,15,5,8887,983,
1638569048.166684,1638569048.180479,11,13.795137405395508,falcon1024,1000,delay,0ms,7,5,8845,1329,11,5,8687,983,
1638569049.22357,1638569049.235841,12,12.270927429199219,falcon1024,1000,delay,0ms,7,5,8846,1329,11,5,8688,983,
1638569050.269182,1638569050.281139,13,11.956930160522461,falcon1024,1000,delay,0ms,7,5,8859,1329,11,5,8701,983,
1638569051.307908,1638569051.320215,14,12.306928634643555,falcon1024,1000,delay,0ms,7,5,8853,1329,11,5,8695,983,
1638569052.347766,1638569052.360728,15,12.962102890014648,falcon1024,1000,delay,0ms,7,5,8860,1329,11,5,8702,983,
1638569053.385948,1638569053.40027,16,14.322042465209961,falcon1024,1000,delay,0ms,7,5,8847,1329,11,5,8689,983,
1638569054.424489,1638569054.436168,17,11.678934097290039,falcon1024,1000,delay,0ms,7,5,8858,1329,11,5,8700,983,
1638569055.45586,1638569055.467859,18,11.999130249023438,falcon1024,1000,delay,0ms,7,5,8854,1329,11,5,8696,983,
1638569056.49583,1638569056.507385,19,11.554956436157227,falcon1024,1000,delay,0ms,7,5,8854,1329,11,5,8696,983,
1638569057.532988,1638569057.545239,20,12.250900268554688,falcon1024,1000,delay,0ms,7,5,8851,1329,11,5,8693,983,
1638569058.569535,1638569058.607253,21,37.71805763244629,falcon1024,1000,delay,0ms,7,5,8855,1329,11,5,8697,983,
1638569059.641384,1638569059.656005,22,14.62101936340332,falcon1024,1000,delay,0ms,9,5,9071,1326,13,5,8826,983,
1638569060.691085,1638569060.70475,23,13.664960861206055,falcon1024,1000,delay,0ms,7,5,8847,1329,11,5,8689,983,
1638569061.734729,1638569061.74808,24,13.350963592529297,falcon1024,1000,delay,0ms,9,5,9086,1326,13,5,8841,983,
1638569062.78854,1638569062.800939,25,12.39919662475586,falcon1024,1000,delay,0ms,7,5,8853,1329,11,5,8695,983,
1638569063.830004,1638569063.843893,26,13.889074325561523,falcon1024,1000,delay,0ms,9,5,9084,1329,13,5,8842,983,
1638569064.875801,1638569064.892682,27,16.88098907470703,falcon1024,1000,delay,0ms,9,5,9026,1329,13,5,8784,983,
1638569065.925141,1638569065.936657,28,11.51585578918457,falcon1024,1000,delay,0ms,9,5,9074,1326,13,5,8829,983,
1638569066.957151,1638569066.968605,29,11.454105377197266,falcon1024,1000,delay,0ms,9,5,9082,1326,13,5,8837,983,
1638569068.002911,1638569068.015005,30,12.09402084350586,falcon1024,1000,delay,0ms,7,5,8846,1329,11,5,8688,983,
1638569069.040311,1638569069.051725,31,11.413812637329102,falcon1024,1000,delay,0ms,7,5,8855,1329,11,5,8697,983,
1638569070.084125,1638569070.095496,32,11.37089729309082,falcon1024,1000,delay,0ms,7,5,8844,1330,11,5,8686,984,
1638569071.133888,1638569071.147086,33,13.197898864746094,falcon1024,1000,delay,0ms,9,5,9080,1326,13,5,8835,983,
