Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638562798.496088,1638562798.554882,0,58.79402160644531,falcon512,1000,delay,50ms,6,5,6641,1329,10,5,6525,983,
1638562799.701109,1638562799.759306,1,58.197021484375,falcon512,1000,delay,50ms,7,5,6723,1329,10,5,6565,983,
1638562800.913143,1638562800.973561,2,60.418128967285156,falcon512,1000,delay,50ms,6,5,6627,1329,10,5,6511,983,
1638562802.134861,1638562802.191968,3,57.106971740722656,falcon512,1000,delay,50ms,6,5,6631,1329,10,5,6515,983,
1638562803.341474,1638562803.405607,4,64.1329288482666,falcon512,1000,delay,50ms,6,5,6637,1329,10,5,6521,983,
1638562804.53615,1638562804.593242,5,57.09195137023926,falcon512,1000,delay,50ms,7,5,6725,1329,10,5,6567,983,
1638562805.746911,1638562805.806582,6,59.67092514038086,falcon512,1000,delay,50ms,6,5,6638,1329,10,5,6522,983,
1638562806.970251,1638562807.031884,7,61.63287162780762,falcon512,1000,delay,50ms,6,5,6634,1329,10,5,6518,983,
1638562808.217498,1638562808.274922,8,57.42383003234863,falcon512,1000,delay,50ms,6,5,6630,1329,10,5,6514,983,
1638562809.422944,1638562809.486104,9,63.159942626953125,falcon512,1000,delay,50ms,6,5,6638,1329,10,5,6522,983,
1638562810.636551,1638562810.700454,10,63.903093338012695,falcon512,1000,delay,50ms,6,5,6640,1329,10,5,6524,983,
1638562811.859541,1638562811.920066,11,60.52517890930176,falcon512,1000,delay,50ms,6,5,6632,1329,10,5,6516,983,
1638562813.068354,1638562813.127652,12,59.298038482666016,falcon512,1000,delay,50ms,6,5,6636,1329,10,5,6520,983,
1638562814.282737,1638562814.340534,13,57.79695510864258,falcon512,1000,delay,50ms,6,5,6642,1329,10,5,6526,983,
1638562815.492513,1638562815.565283,14,72.7701187133789,falcon512,1000,delay,50ms,6,5,6632,1329,10,5,6516,983,
1638562816.710389,1638562816.768263,15,57.874202728271484,falcon512,1000,delay,50ms,6,5,6638,1329,10,5,6522,983,
1638562817.916095,1638562817.974868,16,58.773040771484375,falcon512,1000,delay,50ms,7,5,6728,1329,10,5,6570,983,
1638562819.119911,1638562819.179108,17,59.19694900512695,falcon512,1000,delay,50ms,6,5,6636,1329,10,5,6520,983,
1638562820.316731,1638562820.373983,18,57.251930236816406,falcon512,1000,delay,50ms,6,5,6636,1329,10,5,6520,983,
1638562821.521063,1638562821.579044,19,57.981014251708984,falcon512,1000,delay,50ms,6,5,6636,1329,10,5,6520,983,
1638562822.724433,1638562822.789299,20,64.8660659790039,falcon512,1000,delay,50ms,7,5,6724,1329,10,5,6566,983,
1638562823.922972,1638562824.033504,21,110.53204536437988,falcon512,1000,delay,50ms,8,5,6813,1329,11,5,6613,983,
1638562825.120401,1638562825.23446,22,114.0592098236084,falcon512,1000,delay,50ms,8,5,6817,1329,11,5,6617,983,
1638562826.314872,1638562826.377079,23,62.20698356628418,falcon512,1000,delay,50ms,7,5,6717,1329,10,5,6559,983,
1638562827.51173,1638562827.629917,24,118.18695068359375,falcon512,1000,delay,50ms,8,5,6813,1329,11,5,6613,983,
1638562828.721686,1638562828.830359,25,108.673095703125,falcon512,1000,delay,50ms,8,5,6807,1329,11,5,6607,983,
1638562829.923729,1638562830.031774,26,108.04510116577148,falcon512,1000,delay,50ms,7,5,6723,1329,11,5,6565,983,
1638562831.121164,1638562831.233927,27,112.7629280090332,falcon512,1000,delay,50ms,7,5,6720,1329,11,5,6562,983,
1638562832.318041,1638562832.375934,28,57.892799377441406,falcon512,1000,delay,50ms,6,5,6638,1329,10,5,6522,983,
1638562833.519887,1638562833.584979,29,65.09208679199219,falcon512,1000,delay,50ms,7,5,6720,1329,10,5,6562,983,
1638562834.747068,1638562834.858236,30,111.16814613342285,falcon512,1000,delay,50ms,7,5,6721,1329,11,5,6563,983,
1638562835.945612,1638562836.054868,31,109.25602912902832,falcon512,1000,delay,50ms,8,5,6826,1329,11,5,6626,983,
1638562837.140564,1638562837.251287,32,110.72301864624023,falcon512,1000,delay,50ms,8,5,6815,1329,11,5,6615,983,
1638562838.333383,1638562838.447786,33,114.40300941467285,falcon512,1000,delay,50ms,8,5,6816,1329,11,5,6616,983,
1638562839.53604,1638562839.644682,34,108.6418628692627,falcon512,1000,delay,50ms,7,5,6720,1329,11,5,6562,983,
1638562840.743844,1638562840.865681,35,121.83690071105957,falcon512,1000,delay,50ms,8,5,6811,1329,11,5,6611,983,
1638562841.961887,1638562842.019849,36,57.96217918395996,falcon512,1000,delay,50ms,6,5,6631,1329,10,5,6515,983,
1638562843.17102,1638562843.231393,37,60.37306785583496,falcon512,1000,delay,50ms,6,5,6638,1329,10,5,6522,983,
1638562844.395314,1638562844.506714,38,111.40012741088867,falcon512,1000,delay,50ms,8,5,6815,1329,11,5,6615,983,
1638562845.613341,1638562845.72526,39,111.91892623901367,falcon512,1000,delay,50ms,8,5,6815,1329,11,5,6615,983,
1638562846.809266,1638562846.920268,40,111.00196838378906,falcon512,1000,delay,50ms,8,5,6813,1329,11,5,6613,983,
1638562848.015354,1638562848.129301,41,113.94715309143066,falcon512,1000,delay,50ms,8,5,6816,1329,11,5,6616,983,
1638562849.233349,1638562849.341671,42,108.3219051361084,falcon512,1000,delay,50ms,8,5,6814,1329,11,5,6614,983,
1638562850.440615,1638562850.555516,43,114.90106582641602,falcon512,1000,delay,50ms,8,5,6820,1329,11,5,6620,983,
1638562851.647919,1638562851.758369,44,110.45002937316895,falcon512,1000,delay,50ms,8,5,6813,1329,11,5,6613,983,
1638562852.849795,1638562852.960345,45,110.5499267578125,falcon512,1000,delay,50ms,8,5,6813,1329,11,5,6613,983,
