Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638534376.079858,1638534376.191725,0,111.86695098876953,rsa,1000,delay,100ms,5,5,5901,1326,8,5,5824,983,
1638534377.346335,1638534377.454619,1,108.28399658203125,rsa,1000,delay,100ms,7,5,6082,1326,10,5,5921,983,
1638534378.602904,1638534378.712552,2,109.64798927307129,rsa,1000,delay,100ms,5,5,5904,1326,8,5,5827,983,
1638534379.864764,1638534379.976081,3,111.31691932678223,rsa,1000,delay,100ms,5,5,5904,1327,8,5,5828,983,
1638534381.124745,1638534381.233713,4,108.96801948547363,rsa,1000,delay,100ms,5,5,5908,1326,8,5,5831,983,
1638534382.438194,1638534382.540618,5,102.42390632629395,rsa,1000,delay,100ms,6,5,5998,2193,10,5,6746,983,
1638534383.692121,1638534383.806742,6,114.62092399597168,rsa,1000,delay,100ms,5,5,5905,1326,8,5,5828,983,
1638534384.959046,1638534385.067421,7,108.37507247924805,rsa,1000,delay,100ms,7,5,6082,1326,10,5,5921,983,
1638534386.218193,1638534386.328759,8,110.5659008026123,rsa,1000,delay,100ms,5,5,5903,1326,8,5,5826,983,
1638534387.481349,1638534387.592068,9,110.71896553039551,rsa,1000,delay,100ms,5,5,5900,1326,8,5,5823,983,
1638534388.739388,1638534388.847352,10,107.96403884887695,rsa,1000,delay,100ms,5,5,5907,1326,8,5,5830,983,
1638534390.010086,1638534390.120565,11,110.47887802124023,rsa,1000,delay,100ms,5,5,5910,1326,8,5,5833,983,
1638534391.284514,1638534391.399226,12,114.71199989318848,rsa,1000,delay,100ms,5,5,5909,1326,8,5,5832,983,
1638534392.544568,1638534392.653496,13,108.92796516418457,rsa,1000,delay,100ms,6,5,5999,1326,9,5,5880,983,
1638534393.803756,1638534393.930164,14,126.40810012817383,rsa,1000,delay,100ms,5,5,5899,1326,8,5,5822,983,
1638534395.076105,1638534395.185537,15,109.43198204040527,rsa,1000,delay,100ms,5,5,5908,1326,8,5,5831,983,
1638534396.332716,1638534396.445293,16,112.57696151733398,rsa,1000,delay,100ms,5,5,5906,1326,8,5,5829,983,
1638534397.58784,1638534397.697702,17,109.86185073852539,rsa,1000,delay,100ms,5,5,5901,1326,8,5,5824,983,
1638534398.832977,1638534398.949468,18,116.49084091186523,rsa,1000,delay,100ms,5,5,5904,1327,8,5,5828,983,
1638534400.087711,1638534400.196917,19,109.20596122741699,rsa,1000,delay,100ms,5,5,5906,1326,8,5,5829,983,
1638534401.342009,1638534401.453052,20,111.04297637939453,rsa,1000,delay,100ms,6,5,5993,1326,9,5,5874,983,
1638534402.594929,1638534402.70675,21,111.82093620300293,rsa,1000,delay,100ms,6,5,5999,1326,9,5,5880,983,
1638534403.858979,1638534403.967754,22,108.77490043640137,rsa,1000,delay,100ms,5,5,5911,1326,8,5,5834,983,
1638534405.123198,1638534405.233267,23,110.06903648376465,rsa,1000,delay,100ms,6,5,5988,1326,9,5,5869,983,
1638534406.378965,1638534406.486796,24,107.83100128173828,rsa,1000,delay,100ms,5,5,5899,1326,8,5,5822,983,
1638534407.645567,1638534407.754642,25,109.07506942749023,rsa,1000,delay,100ms,5,5,5903,1326,8,5,5826,983,
1638534408.903735,1638534409.015404,26,111.66906356811523,rsa,1000,delay,100ms,5,5,5901,1326,8,5,5824,983,
1638534410.153449,1638534410.268697,27,115.24796485900879,rsa,1000,delay,100ms,6,5,6000,1326,9,5,5881,983,
1638534411.404462,1638534411.514766,28,110.30387878417969,rsa,1000,delay,100ms,5,5,5907,1326,8,5,5830,983,
1638534412.672127,1638534412.779512,29,107.38492012023926,rsa,1000,delay,100ms,6,5,5989,1326,9,5,5870,983,
1638534413.918535,1638534414.027506,30,108.97111892700195,rsa,1000,delay,100ms,6,5,5998,1326,9,5,5879,983,
1638534415.175298,1638534415.287461,31,112.16306686401367,rsa,1000,delay,100ms,5,5,5910,1326,8,5,5833,983,
1638534416.466045,1638534416.574884,32,108.83903503417969,rsa,1000,delay,100ms,5,5,5910,1326,8,5,5833,983,
1638534417.705152,1638534417.81405,33,108.89792442321777,rsa,1000,delay,100ms,5,5,5910,1326,8,5,5833,983,
1638534418.966045,1638534419.083299,34,117.25401878356934,rsa,1000,delay,100ms,5,5,5909,1327,8,5,5833,983,
1638534420.232586,1638534420.348048,35,115.46206474304199,rsa,1000,delay,100ms,6,5,5992,1326,9,5,5873,983,
1638534421.495199,1638534421.607545,36,112.34593391418457,rsa,1000,delay,100ms,6,5,5999,1326,9,5,5880,983,
1638534422.74391,1638534422.853007,37,109.09700393676758,rsa,1000,delay,100ms,5,5,5899,1326,8,5,5822,983,
1638534424.018478,1638534424.129447,38,110.96906661987305,rsa,1000,delay,100ms,5,5,5908,1326,8,5,5831,983,
1638534425.271283,1638534425.3801,39,108.81710052490234,rsa,1000,delay,100ms,5,5,5904,1326,8,5,5827,983,
1638534426.518594,1638534426.626922,40,108.32786560058594,rsa,1000,delay,100ms,5,5,5911,1326,8,5,5834,983,
1638534427.756472,1638534427.873125,41,116.6529655456543,rsa,1000,delay,100ms,5,5,5903,1326,8,5,5826,983,
1638534429.00809,1638534429.121011,42,112.92099952697754,rsa,1000,delay,100ms,5,5,5909,1326,8,5,5832,983,
1638534430.256326,1638534430.364362,43,108.03604125976562,rsa,1000,delay,100ms,5,5,5901,1326,8,5,5824,983,
1638534431.519116,1638534431.629277,44,110.16106605529785,rsa,1000,delay,100ms,5,5,5910,1326,8,5,5833,983,
1638534432.765208,1638534432.874179,45,108.97088050842285,rsa,1000,delay,100ms,5,5,5906,1326,8,5,5829,983,
1638534434.017085,1638534434.13455,46,117.46501922607422,rsa,1000,delay,100ms,5,5,5902,1326,8,5,5825,983,
1638534435.266985,1638534435.273487,47,6.5021514892578125,rsa,1000,delay,100ms,4,5,4665,2193,8,5,5497,983,
1638534436.540847,1638534436.551447,48,10.599851608276367,rsa,1000,delay,100ms,4,5,4662,2193,8,5,5494,983,
1638534437.807355,1638534437.915248,49,107.89299011230469,rsa,1000,delay,100ms,5,5,5906,1326,8,5,5829,983,
1638534439.053433,1638534439.059904,50,6.471157073974609,rsa,1000,delay,100ms,4,7,4660,2339,8,7,5492,1045,
1638534440.313919,1638534440.321493,51,7.573843002319336,rsa,1000,delay,100ms,4,5,4663,2193,8,5,5495,983,
1638534441.56101,1638534441.669649,52,108.63900184631348,rsa,1000,delay,100ms,5,5,5904,1326,9,5,5827,983,
1638534442.856421,1638534442.958553,53,102.13208198547363,rsa,1000,delay,100ms,6,5,5996,2193,10,5,6744,983,
1638534444.10768,1638534444.216045,54,108.36482048034668,rsa,1000,delay,100ms,5,5,5911,1326,9,5,5834,983,
1638534445.369224,1638534445.376109,55,6.88481330871582,rsa,1000,delay,100ms,4,5,4660,2193,8,5,5492,983,
1638534446.629012,1638534446.738831,56,109.81893539428711,rsa,1000,delay,100ms,5,5,5910,1326,9,5,5833,983,
1638534447.870199,1638534447.876679,57,6.479978561401367,rsa,1000,delay,100ms,4,5,4658,2193,8,5,5490,983,
1638534449.12933,1638534449.237192,58,107.86199569702148,rsa,1000,delay,100ms,6,5,5993,1327,9,5,5875,983,
1638534450.394608,1638534450.502487,59,107.8789234161377,rsa,1000,delay,100ms,5,5,5905,1326,8,5,5828,983,
1638534451.643386,1638534451.65153,60,8.144140243530273,rsa,1000,delay,100ms,4,5,4669,2193,8,5,5501,983,
1638534452.890917,1638534453.003315,61,112.39790916442871,rsa,1000,delay,100ms,5,5,5906,1326,8,5,5829,983,
1638534454.150906,1638534454.263549,62,112.64300346374512,rsa,1000,delay,100ms,5,5,5904,1326,9,5,5827,983,
1638534455.423444,1638534455.430537,63,7.092952728271484,rsa,1000,delay,100ms,4,5,4663,2193,8,5,5495,983,
1638534456.678137,1638534456.685797,64,7.659912109375,rsa,1000,delay,100ms,4,5,4668,2193,8,5,5500,983,
1638534457.972814,1638534457.981761,65,8.946895599365234,rsa,1000,delay,100ms,4,5,4667,2193,8,5,5499,983,
1638534459.219803,1638534459.328594,66,108.79087448120117,rsa,1000,delay,100ms,5,5,5908,1326,8,5,5831,983,
1638534460.477626,1638534460.58563,67,108.00385475158691,rsa,1000,delay,100ms,5,5,5899,1326,8,5,5822,983,
1638534461.722467,1638534461.7291,68,6.63304328918457,rsa,1000,delay,100ms,4,5,4668,2193,8,5,5500,983,
1638534462.972184,1638534463.080335,69,108.15095901489258,rsa,1000,delay,100ms,6,5,5991,1326,9,5,5872,983,
1638534464.224994,1638534464.333438,70,108.4439754486084,rsa,1000,delay,100ms,5,5,5908,1327,8,5,5832,983,
1638534465.467958,1638534465.474902,71,6.943941116333008,rsa,1000,delay,100ms,4,5,4665,2193,8,5,5497,983,
1638534466.730535,1638534466.841923,72,111.38796806335449,rsa,1000,delay,100ms,5,5,5903,1326,9,5,5826,983,
1638534467.986386,1638534467.992834,73,6.448030471801758,rsa,1000,delay,100ms,4,5,4659,2193,8,5,5491,983,
1638534469.263862,1638534469.372156,74,108.29401016235352,rsa,1000,delay,100ms,6,5,5989,1326,9,5,5870,983,
1638534470.532842,1638534470.64143,75,108.58798027038574,rsa,1000,delay,100ms,6,5,5997,1326,9,5,5878,983,
1638534471.782865,1638534471.789468,76,6.603002548217773,rsa,1000,delay,100ms,4,5,4663,2193,8,5,5495,983,
1638534473.030602,1638534473.145341,77,114.73894119262695,rsa,1000,delay,100ms,5,5,5907,1326,8,5,5830,983,
1638534474.28366,1638534474.290272,78,6.612062454223633,rsa,1000,delay,100ms,4,5,4664,2193,8,5,5496,983,
1638534475.53554,1638534475.542183,79,6.642818450927734,rsa,1000,delay,100ms,4,5,4668,2193,8,5,5500,983,
1638534476.787678,1638534476.798902,80,11.224031448364258,rsa,1000,delay,100ms,4,5,4659,2193,8,5,5491,983,
1638534478.038512,1638534478.146941,81,108.428955078125,rsa,1000,delay,100ms,5,5,5904,1327,8,5,5828,983,
1638534479.296077,1638534479.302921,82,6.844043731689453,rsa,1000,delay,100ms,4,5,4660,2193,8,5,5492,983,
1638534480.548198,1638534480.656589,83,108.39104652404785,rsa,1000,delay,100ms,5,5,5903,1326,8,5,5826,983,
1638534481.798116,1638534481.907133,84,109.01713371276855,rsa,1000,delay,100ms,5,5,5902,1327,9,5,5826,983,
