Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638537115.170967,1638537115.182469,0,11.501789093017578,rsa,1000,delay,400ms,4,0,4662,0,5,0,4494,0,
1638537115.337037,1638537115.885005,1,547.9679107666016,rsa,1000,delay,400ms,11,9,8986,1711,13,9,8657,1200,
1638537117.023177,1638537117.030317,2,7.140159606933594,rsa,1000,delay,400ms,4,0,4667,0,5,0,4499,0,
1638537117.172584,1638537117.752457,3,579.8728466033936,rsa,1000,delay,400ms,11,9,9001,1711,13,9,8672,1200,
1638537118.883659,1638537118.890787,4,7.128000259399414,rsa,1000,delay,400ms,4,0,4659,0,5,0,4491,0,
1638537119.035977,1638537119.595215,5,559.2381954193115,rsa,1000,delay,400ms,12,9,9068,1711,14,9,8697,1200,
1638537120.736489,1638537120.74357,6,7.081031799316406,rsa,1000,delay,400ms,4,0,4661,0,5,0,4493,0,
1638537120.886665,1638537121.450852,7,564.1868114471436,rsa,1000,delay,400ms,12,9,9074,1711,14,9,8703,1200,
1638537122.58182,1638537122.588751,8,6.931066513061523,rsa,1000,delay,400ms,4,0,4661,0,5,0,4493,0,
1638537122.727275,1638537123.294624,9,567.3491954803467,rsa,1000,delay,400ms,12,9,9072,1711,14,9,8701,1200,
1638537124.440731,1638537124.44774,10,7.009029388427734,rsa,1000,delay,400ms,4,0,4663,0,5,0,4495,0,
1638537124.59723,1638537125.152443,11,555.2129745483398,rsa,1000,delay,400ms,12,9,9080,1711,15,9,8709,1200,
1638537126.30241,1638537126.310914,12,8.504152297973633,rsa,1000,delay,400ms,4,0,4657,0,5,0,4489,0,
1638537126.451297,1638537127.022753,13,571.4559555053711,rsa,1000,delay,400ms,11,9,8971,1712,13,9,8643,1200,
1638537128.152516,1638537128.159357,14,6.841182708740234,rsa,1000,delay,400ms,4,0,4664,0,5,0,4496,0,
