Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638626357.915156,1638626368.618924,0,10703.768014907837,dilithium2,1000,loss,20%,6,0,5518,0,3,0,3704,0,
1638626368.962025,1638626369.617948,1,655.9231281280518,dilithium2,1000,loss,20%,14,5,11557,1329,14,5,9562,983,
1638626370.013339,1638626370.018092,2,4.752874374389648,dilithium2,1000,loss,20%,11,5,11040,1329,15,5,10714,983,
1638626371.056293,1638626371.074972,3,18.678903579711914,dilithium2,1000,loss,20%,14,8,12997,1604,19,8,12595,1082,
1638626372.122181,1638626372.124768,4,2.5870800018310547,dilithium2,1000,loss,20%,3,0,3830,0,3,0,3704,0,
1638626383.175172,1638626383.179224,5,4.051923751831055,dilithium2,1000,loss,20%,3,0,3830,0,3,0,3704,0,
1638626394.227423,1638626394.232995,6,5.572080612182617,dilithium2,1000,loss,20%,9,4,10856,1246,13,4,10614,942,
1638626395.268608,1638626395.271669,7,3.0608177185058594,dilithium2,1000,loss,20%,3,0,3830,0,3,0,3704,0,
1638626406.322764,1638626406.327559,8,4.795074462890625,dilithium2,1000,loss,20%,9,5,10864,1329,13,5,10622,983,
1638626407.373638,1638626407.379173,9,5.535125732421875,dilithium2,1000,loss,20%,11,5,11039,1329,15,5,10713,983,
1638626408.420077,1638626408.42749,10,7.412910461425781,dilithium2,1000,loss,20%,11,5,11041,1332,15,5,10715,986,
1638626409.461969,1638626409.480123,11,18.154144287109375,dilithium2,1000,loss,20%,17,19,16952,2600,21,19,16287,1753,
1638626410.563646,1638626410.567714,12,4.067897796630859,dilithium2,1000,loss,20%,13,11,11261,1852,17,11,10851,1254,
1638626411.606509,1638626411.626635,13,20.1261043548584,dilithium2,1000,loss,20%,17,9,16970,1536,21,9,16305,1109,
1638626412.672414,1638626412.690871,14,18.45693588256836,dilithium2,1000,loss,20%,16,9,14382,1708,21,9,13894,1146,
1638626413.730441,1638626413.745363,15,14.921903610229492,dilithium2,1000,loss,20%,17,10,16966,1609,21,10,16303,1138,
