Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638648711.97867,1638648711.987194,0,8.524179458618164,dilithium5,1000,loss,10%,20,5,17519,1329,24,5,16815,983,
1638648713.019741,1638648713.027758,1,8.016824722290039,dilithium5,1000,loss,10%,14,5,16936,1331,18,5,16486,983,
1638648714.2485,1638648714.25468,2,6.1798095703125,dilithium5,1000,loss,10%,21,5,17614,1326,25,5,16865,983,
1638648715.300967,1638648715.30798,3,7.013082504272461,dilithium5,1000,loss,10%,19,5,17433,1329,23,5,16771,983,
1638648716.349998,1638648716.356379,4,6.381034851074219,dilithium5,1000,loss,10%,17,5,17197,1329,20,5,16619,983,
1638648717.39013,1638648717.39582,5,5.689859390258789,dilithium5,1000,loss,10%,15,5,17029,1329,18,5,16535,983,
1638648718.43177,1638648718.440219,6,8.44883918762207,dilithium5,1000,loss,10%,18,5,17290,1329,22,5,16670,983,
1638648719.483117,1638648719.492059,7,8.941888809204102,dilithium5,1000,loss,10%,23,5,17735,1329,26,5,16905,983,
1638648720.54749,1638648720.555648,8,8.158206939697266,dilithium5,1000,loss,10%,18,5,17288,1331,22,5,16670,983,
1638648721.600034,1638648721.607499,9,7.464885711669922,dilithium5,1000,loss,10%,18,5,17294,1331,22,5,16676,983,
1638648722.647828,1638648722.655752,10,7.92384147644043,dilithium5,1000,loss,10%,16,4,17161,1248,20,4,16627,942,
1638648723.713183,1638648723.719818,11,6.635189056396484,dilithium5,1000,loss,10%,14,5,16939,1329,18,5,16487,983,
1638648724.776367,1638648724.783311,12,6.943941116333008,dilithium5,1000,loss,10%,17,5,17197,1331,21,5,16621,983,
1638648725.827989,1638648725.836986,13,8.996963500976562,dilithium5,1000,loss,10%,19,5,17383,1329,22,5,16721,983,
1638648726.879317,1638648726.888603,14,9.285926818847656,dilithium5,1000,loss,10%,20,5,17471,1332,24,5,16767,986,
1638648727.921943,1638648727.931028,15,9.084939956665039,dilithium5,1000,loss,10%,16,12,17112,1950,20,12,16576,1310,
1638648728.971485,1638648728.981024,16,9.539127349853516,dilithium5,1000,loss,10%,16,11,17170,1853,20,11,16634,1255,
1638648730.020568,1638648730.027685,17,7.117033004760742,dilithium5,1000,loss,10%,20,4,17467,1246,24,4,16763,942,
1638648731.075525,1638648731.084661,18,9.135961532592773,dilithium5,1000,loss,10%,18,8,17343,3000,22,8,16725,2526,
1638648732.129708,1638648732.136079,19,6.371021270751953,dilithium5,1000,loss,10%,21,5,17555,1332,24,5,16809,986,
1638648733.181151,1638648733.188266,20,7.11512565612793,dilithium5,1000,loss,10%,19,13,17380,2024,23,13,16718,1342,
1638648734.22738,1638648734.233291,21,5.9108734130859375,dilithium5,1000,loss,10%,14,14,15782,2179,17,14,15330,1455,
1638648735.277603,1638648735.283976,22,6.373167037963867,dilithium5,1000,loss,10%,15,5,17029,1329,18,5,16535,983,
1638648736.482324,1638648736.489038,23,6.714105606079102,dilithium5,1000,loss,10%,24,10,17886,3145,28,10,17015,2588,
1638648737.531794,1638648737.541294,24,9.50002670288086,dilithium5,1000,loss,10%,16,5,17111,1329,20,5,16575,983,
1638648738.594381,1638648738.600035,25,5.653858184814453,dilithium5,1000,loss,10%,16,5,17164,1329,20,5,16628,983,
1638648739.798649,1638648739.800356,26,1.706838607788086,dilithium5,1000,loss,10%,3,9,3830,3703,3,9,3704,3325,
1638648750.688766,1638648750.696568,27,7.802009582519531,dilithium5,1000,loss,10%,19,5,16228,1331,22,5,15568,983,
1638648751.740252,1638648751.761442,28,21.18992805480957,dilithium5,1000,loss,10%,30,12,28175,3231,34,12,26964,2678,
