Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638653456.651928,1638653456.668283,0,16.355037689208984,dilithium5,1000,loss,40%,23,6,25039,1394,27,6,24204,1011,
1638653457.721118,1638653457.737733,1,16.614913940429688,dilithium5,1000,loss,40%,19,31,17471,6538,24,31,16856,5053,
1638653458.797521,1638653458.799513,2,1.9919872283935547,dilithium5,1000,loss,40%,3,0,3830,0,3,0,3704,0,
1638653469.864251,1638653469.86735,3,3.099203109741211,dilithium5,1000,loss,40%,3,0,3830,0,3,0,3704,0,
1638653480.903594,1638653480.915703,4,12.109041213989258,dilithium5,1000,loss,40%,14,27,16933,8580,18,27,16483,7308,
1638653482.410628,1638653482.414635,5,4.006862640380859,dilithium5,1000,loss,40%,3,0,3830,0,3,0,3704,0,
1638653493.031647,1638653493.037154,6,5.506992340087891,dilithium5,1000,loss,40%,16,4,17108,1246,20,4,16572,942,
1638653494.249141,1638653494.250994,7,1.8529891967773438,dilithium5,1000,loss,40%,3,0,3830,0,3,0,3704,0,
1638653505.320435,1638653505.325128,8,4.693031311035156,dilithium5,1000,loss,40%,16,5,17119,1329,20,5,16583,983,
1638653506.378518,1638653506.400288,9,21.770000457763672,dilithium5,1000,loss,40%,25,7,26520,1467,29,7,25601,1042,
1638653507.445968,1638653507.468597,10,22.6290225982666,dilithium5,1000,loss,40%,27,33,29110,11161,31,33,28025,9726,
1638653509.606235,1638653509.623133,11,16.897916793823242,dilithium5,1000,loss,40%,27,7,29117,1470,31,7,28116,1043,
1638653510.671529,1638653510.677299,12,5.769968032836914,dilithium5,1000,loss,40%,16,4,17108,1246,20,4,16572,942,
1638653511.897205,1638653511.899366,13,2.160787582397461,dilithium5,1000,loss,40%,3,0,3830,0,3,0,3704,0,
1638653522.780248,1638653523.162796,14,382.54809379577637,dilithium5,1000,loss,40%,50,19,53114,4430,54,19,51067,3579,
1638653526.725291,1638653526.729193,15,3.901958465576172,dilithium5,1000,loss,40%,14,4,16934,1248,18,4,16484,942,
1638653527.934801,1638653527.939827,16,5.0258636474609375,dilithium5,1000,loss,40%,16,4,17118,1246,20,4,16582,942,
1638653529.134665,1638653529.463048,17,328.3829689025879,dilithium5,1000,loss,40%,47,14,52749,3775,51,14,50826,3136,
1638653530.493737,1638653530.499147,18,5.409955978393555,dilithium5,1000,loss,40%,3,0,3830,0,3,0,3704,0,
1638653541.71157,1638653541.715283,19,3.712892532348633,dilithium5,1000,loss,40%,14,28,16933,4842,18,28,16483,3528,
1638653542.75919,1638653542.763392,20,4.2018890380859375,dilithium5,1000,loss,40%,3,0,3830,0,3,0,3704,0,
1638653556.095706,1638653556.100572,21,4.866123199462891,dilithium5,1000,loss,40%,16,5,17162,1326,20,5,16623,983,
