Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638615770.163017,1638615770.175758,0,12.740850448608398,rsa,1000,loss,0%,6,5,5992,1326,9,5,5873,983,
1638615771.198345,1638615771.207479,1,9.134054183959961,rsa,1000,loss,0%,6,5,5991,1326,10,5,5872,983,
1638615772.250812,1638615772.258812,2,7.999897003173828,rsa,1000,loss,0%,4,6,4669,2268,8,6,5501,1016,
1638615773.293533,1638615773.300067,3,6.53386116027832,rsa,1000,loss,0%,4,5,4669,2193,8,5,5501,983,
1638615774.327127,1638615774.334535,4,7.407903671264648,rsa,1000,loss,0%,4,5,4657,2193,8,5,5489,983,
1638615775.359834,1638615775.368258,5,8.424043655395508,rsa,1000,loss,0%,4,5,4663,2193,8,5,5495,983,
1638615776.396727,1638615776.404301,6,7.573843002319336,rsa,1000,loss,0%,6,5,5993,1326,9,5,5874,983,
1638615777.436074,1638615777.443127,7,7.052898406982422,rsa,1000,loss,0%,4,5,4668,2193,8,5,5500,983,
1638615778.470922,1638615778.479616,8,8.693933486938477,rsa,1000,loss,0%,6,5,6000,1326,9,5,5881,983,
1638615779.519744,1638615779.528194,9,8.450031280517578,rsa,1000,loss,0%,4,5,4664,2193,8,5,5496,983,
1638615780.553038,1638615780.561439,10,8.401155471801758,rsa,1000,loss,0%,6,5,5990,1326,10,5,5871,983,
1638615781.600339,1638615781.608049,11,7.709980010986328,rsa,1000,loss,0%,6,5,5998,1326,9,5,5879,983,
1638615782.636438,1638615782.644136,12,7.69805908203125,rsa,1000,loss,0%,6,5,5999,1326,9,5,5880,983,
1638615783.668571,1638615783.675376,13,6.804943084716797,rsa,1000,loss,0%,4,6,4666,2268,8,6,5498,1016,
1638615784.706311,1638615784.715702,14,9.391069412231445,rsa,1000,loss,0%,6,5,5990,1326,9,5,5871,983,
1638615785.736142,1638615785.744043,15,7.901191711425781,rsa,1000,loss,0%,6,5,5998,1326,9,5,5879,983,
1638615786.768472,1638615786.776111,16,7.6389312744140625,rsa,1000,loss,0%,6,5,6001,1326,9,5,5882,983,
1638615787.798439,1638615787.80513,17,6.69097900390625,rsa,1000,loss,0%,4,5,4668,2193,8,5,5500,983,
1638615788.835167,1638615788.844322,18,9.155035018920898,rsa,1000,loss,0%,4,5,4663,2193,8,5,5495,983,
1638615789.873694,1638615789.880576,19,6.881952285766602,rsa,1000,loss,0%,4,5,4666,2193,8,5,5498,983,
1638615790.906784,1638615790.916737,20,9.953022003173828,rsa,1000,loss,0%,6,5,5997,1326,9,5,5878,983,
1638615791.945589,1638615791.953302,21,7.712841033935547,rsa,1000,loss,0%,6,5,5990,1326,9,5,5871,983,
1638615792.979506,1638615792.986611,22,7.1048736572265625,rsa,1000,loss,0%,4,5,4668,2193,8,5,5500,983,
1638615794.024523,1638615794.032237,23,7.714033126831055,rsa,1000,loss,0%,6,5,5991,1326,9,5,5872,983,
1638615795.064415,1638615795.071664,24,7.249116897583008,rsa,1000,loss,0%,4,5,4658,2193,8,5,5490,983,
1638615796.104877,1638615796.112824,25,7.946968078613281,rsa,1000,loss,0%,4,5,4668,2193,8,5,5500,983,
1638615797.140474,1638615797.147824,26,7.349967956542969,rsa,1000,loss,0%,4,5,4657,2193,8,5,5489,983,
1638615798.173431,1638615798.180042,27,6.611108779907227,rsa,1000,loss,0%,4,5,4658,2193,8,5,5490,983,
1638615799.215452,1638615799.223095,28,7.642984390258789,rsa,1000,loss,0%,4,5,4659,2193,8,5,5491,983,
1638615800.249189,1638615800.255867,29,6.678104400634766,rsa,1000,loss,0%,4,5,4663,2193,8,5,5495,983,
1638615801.28507,1638615801.291752,30,6.682157516479492,rsa,1000,loss,0%,4,5,4663,2193,8,5,5495,983,
1638615802.323893,1638615802.331593,31,7.6999664306640625,rsa,1000,loss,0%,6,5,5995,1326,9,5,5876,983,
1638615803.359742,1638615803.370612,32,10.869979858398438,rsa,1000,loss,0%,4,5,4665,2193,8,5,5497,983,
1638615804.399908,1638615804.407609,33,7.700920104980469,rsa,1000,loss,0%,4,5,4660,2193,8,5,5492,983,
1638615805.448973,1638615805.45674,34,7.766962051391602,rsa,1000,loss,0%,6,5,5989,1326,9,5,5870,983,
1638615806.485303,1638615806.491821,35,6.518125534057617,rsa,1000,loss,0%,4,5,4667,2193,8,5,5499,983,
1638615807.518181,1638615807.527848,36,9.666919708251953,rsa,1000,loss,0%,6,5,5994,1326,9,5,5875,983,
1638615808.559584,1638615808.56828,37,8.69607925415039,rsa,1000,loss,0%,4,5,4659,2193,8,5,5491,983,
1638615809.609612,1638615809.617318,38,7.705926895141602,rsa,1000,loss,0%,6,5,5989,1326,9,5,5870,983,
1638615810.64036,1638615810.647985,39,7.62486457824707,rsa,1000,loss,0%,6,7,5997,1472,9,7,5878,1045,
1638615811.681731,1638615811.688701,40,6.969928741455078,rsa,1000,loss,0%,4,5,4661,2193,8,5,5493,983,
1638615812.712604,1638615812.721068,41,8.463859558105469,rsa,1000,loss,0%,6,5,5995,1326,9,5,5876,983,
1638615813.759778,1638615813.766708,42,6.929874420166016,rsa,1000,loss,0%,4,5,4667,2193,8,5,5499,983,
1638615814.816294,1638615814.824687,43,8.393049240112305,rsa,1000,loss,0%,4,5,4663,2193,8,5,5495,983,
1638615815.849702,1638615815.857502,44,7.800102233886719,rsa,1000,loss,0%,6,5,5996,1326,10,5,5877,983,
1638615816.888768,1638615816.895875,45,7.107019424438477,rsa,1000,loss,0%,4,5,4667,2193,8,5,5499,983,
1638615817.927497,1638615817.935901,46,8.404016494750977,rsa,1000,loss,0%,4,5,4662,2193,8,5,5494,983,
1638615818.967627,1638615818.976088,47,8.46099853515625,rsa,1000,loss,0%,4,5,4666,2193,8,5,5498,983,
1638615820.000659,1638615820.008588,48,7.929086685180664,rsa,1000,loss,0%,4,5,4661,2193,8,5,5493,983,
