Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638620117.411883,1638620117.42311,0,11.226892471313477,rsa,1000,loss,40%,4,5,4669,1326,7,5,4634,983,
1638620118.627789,1638620118.660602,1,32.813072204589844,rsa,1000,loss,40%,11,11,8424,1754,14,11,8009,1245,
1638620119.885791,1638620119.89235,2,6.558895111083984,rsa,1000,loss,40%,4,5,4657,2193,8,5,5489,983,
1638620122.015553,1638620122.022363,3,6.80994987487793,rsa,1000,loss,40%,4,4,4669,1243,7,4,4634,942,
1638620123.064764,1638620123.07242,4,7.655858993530273,rsa,1000,loss,40%,6,26,5989,5672,9,26,5871,4446,
1638620124.275421,1638620124.308571,5,33.15019607543945,rsa,1000,loss,40%,13,10,8558,1613,15,10,8061,1144,
1638620125.388486,1638620125.395471,6,6.985187530517578,rsa,1000,loss,40%,4,5,4667,2193,8,5,5499,983,
1638620126.450895,1638620126.457587,7,6.691932678222656,rsa,1000,loss,40%,4,5,4666,2193,8,5,5498,983,
1638620127.495762,1638620127.504468,8,8.705854415893555,rsa,1000,loss,40%,4,5,4661,2193,8,5,5493,983,
1638620128.542045,1638620128.548709,9,6.663799285888672,rsa,1000,loss,40%,4,4,4669,2110,8,4,5501,942,
1638620129.587107,1638620129.595259,10,8.152008056640625,rsa,1000,loss,40%,4,5,4657,1369,8,5,4665,983,
1638620135.330221,1638620135.338505,11,8.28409194946289,rsa,1000,loss,40%,4,5,4665,1367,8,5,4675,979,
1638620136.380119,1638620136.388076,12,7.956981658935547,rsa,1000,loss,40%,4,4,4666,2110,8,4,5498,942,
1638620138.864845,1638620138.907453,13,42.608022689819336,rsa,1000,loss,40%,10,7,5933,1389,12,7,5564,1044,
1638620139.997264,1638620140.004463,14,7.19904899597168,rsa,1000,loss,40%,4,4,4657,2110,8,4,5489,942,
1638620141.048671,1638620141.055276,15,6.604909896850586,rsa,1000,loss,40%,4,7,4660,2339,8,7,5492,1045,
1638620142.553172,1638620142.559654,16,6.48188591003418,rsa,1000,loss,40%,4,5,4668,2193,8,5,5500,983,
1638620143.598177,1638620143.605122,17,6.945133209228516,rsa,1000,loss,40%,4,30,4669,4414,8,30,5501,2154,
1638620144.800908,1638620144.807505,18,6.596803665161133,rsa,1000,loss,40%,4,5,4658,2193,8,5,5490,983,
1638620146.015848,1638620146.022719,19,6.87098503112793,rsa,1000,loss,40%,4,29,4659,3419,8,29,4669,2023,
1638620147.427547,1638620147.44819,20,20.642995834350586,rsa,1000,loss,40%,5,32,4746,3753,9,32,4714,2231,
1638620148.485251,1638620148.49329,21,8.038997650146484,rsa,1000,loss,40%,4,26,4663,6538,8,26,5495,4446,
