Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634178899.401183,1634178899.485361,0,84.17820930480957,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8852,1329,11,5,8694,983,
1634178902.749194,1634178902.829875,1,80.68108558654785,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8849,1329,11,5,8691,983,
1634178906.083486,1634178906.164683,2,81.19702339172363,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8845,1329,11,5,8687,983,
1634178909.425878,1634178909.506526,3,80.64794540405273,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8852,1329,11,5,8694,983,
1634178912.760985,1634178912.841076,4,80.09099960327148,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8846,1329,11,5,8688,983,
1634178916.095998,1634178916.177066,5,81.06803894042969,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8848,1329,11,5,8690,983,
1634178919.440406,1634178919.520374,6,79.96797561645508,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8853,1329,11,5,8695,983,
1634178922.776576,1634178922.85686,7,80.28388023376465,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8842,1329,11,5,8684,983,
1634178926.100961,1634178926.18269,8,81.72893524169922,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8861,1329,11,5,8703,983,
1634178929.434815,1634178929.51605,9,81.23517036437988,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8856,1329,11,5,8698,983,
1634178932.761187,1634178932.842353,10,81.16602897644043,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8841,1329,11,5,8683,983,
1634178936.101307,1634178936.181853,11,80.54614067077637,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8857,1329,11,5,8699,983,
1634178939.448978,1634178939.529314,12,80.33609390258789,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8851,1329,11,5,8693,983,
1634178942.777711,1634178942.857994,13,80.28316497802734,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8862,1329,11,5,8704,983,
1634178946.109727,1634178946.191013,14,81.28619194030762,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8852,1329,11,5,8694,983,
1634178949.441454,1634178949.522774,15,81.32004737854004,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8848,1329,11,5,8690,983,
1634178952.776653,1634178952.856787,16,80.13391494750977,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8861,1329,11,5,8703,983,
1634178956.122622,1634178956.20303,17,80.40809631347656,falcon1024,100,drop,VbbnRabYMp.pcap,7,7,8848,1475,11,7,8690,1045,
1634178959.458695,1634178959.537824,18,79.12898063659668,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8852,1329,11,5,8694,983,
1634178962.789693,1634178962.870295,19,80.60193061828613,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8848,1329,11,5,8690,983,
1634178966.123706,1634178966.20411,20,80.40380477905273,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8851,1329,11,5,8693,983,
1634178969.458521,1634178969.538743,21,80.22212982177734,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8848,1329,11,5,8690,983,
1634178972.790709,1634178972.871089,22,80.37996292114258,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8851,1329,11,5,8693,983,
1634178976.127027,1634178976.207109,23,80.08193969726562,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8854,1329,11,5,8696,983,
1634178979.456409,1634178979.538364,24,81.9549560546875,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8846,1329,11,5,8688,983,
1634178982.794175,1634178982.873533,25,79.35810089111328,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8856,1329,11,5,8698,983,
1634178986.134156,1634178986.214039,26,79.88309860229492,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8849,1329,11,5,8691,983,
1634178989.470837,1634178989.550092,27,79.2548656463623,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8859,1329,11,5,8701,983,
1634178992.801766,1634178992.881448,28,79.6821117401123,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8839,1329,11,5,8681,983,
1634178996.13289,1634178996.212551,29,79.66113090515137,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8854,1329,11,5,8696,983,
1634178999.467072,1634178999.547732,30,80.66010475158691,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8849,1329,11,5,8691,983,
1634179002.805216,1634179002.885263,31,80.0468921661377,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8853,1329,11,5,8695,983,
1634179006.130348,1634179006.209777,32,79.42914962768555,falcon1024,100,drop,VbbnRabYMp.pcap,7,5,8847,1329,11,5,8689,983,
