Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634172716.286365,1634172716.44186,0,155.49492835998535,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4668,2193,8,5,5500,983,
1634172720.225196,1634172720.3597,1,134.5040798187256,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4665,2193,8,5,5497,983,
1634172724.123088,1634172724.25767,2,134.5820426940918,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4666,2193,8,5,5498,983,
1634172728.080237,1634172728.215042,3,134.80520248413086,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4665,2193,8,5,5497,983,
1634172732.032966,1634172732.166692,4,133.7261199951172,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4659,2193,8,5,5491,983,
1634172735.925911,1634172736.060702,5,134.79113578796387,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4661,2193,8,5,5493,983,
1634172739.840566,1634172739.974747,6,134.18102264404297,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4661,2193,8,5,5493,983,
1634172743.744798,1634172743.879437,7,134.63902473449707,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4662,2193,8,5,5494,983,
1634172747.645719,1634172747.791927,8,146.2080478668213,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4664,2193,8,5,5496,983,
1634172751.57204,1634172751.705672,9,133.63194465637207,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4658,2193,8,5,5490,983,
1634172755.471471,1634172755.604988,10,133.51702690124512,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4666,2193,8,5,5498,983,
1634172759.366738,1634172759.513097,11,146.35896682739258,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4659,2193,8,5,5491,983,
1634172763.297268,1634172763.431818,12,134.5500946044922,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4659,2193,8,5,5491,983,
1634172767.205591,1634172767.341283,13,135.69211959838867,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4660,2193,8,5,5492,983,
1634172771.169149,1634172771.303582,14,134.43303108215332,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4669,2193,8,5,5501,983,
1634172775.128373,1634172775.263477,15,135.10417938232422,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4657,2193,8,5,5489,983,
1634172779.087047,1634172779.232217,16,145.1699733734131,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4668,2193,8,5,5500,983,
1634172783.010065,1634172783.143896,17,133.83102416992188,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4665,2193,8,5,5497,983,
1634172786.908122,1634172787.042635,18,134.51290130615234,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4660,2193,8,5,5492,983,
1634172790.813782,1634172790.958154,19,144.37198638916016,rsa,100,drop,GbAzvHiRjw.pcap,4,5,4666,2193,8,5,5498,983,
