Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634084824.929085,1634084825.049015,0,119.93002891540527,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17112,1329,20,5,16576,983,
1634084828.270717,1634084828.391143,1,120.42617797851562,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17115,1329,20,5,16579,983,
1634084831.616376,1634084831.698405,2,82.02910423278809,dilithium5,1000,drop,dEBnfSaYoH.pcap,14,5,16939,1329,18,5,16487,983,
1634084834.948289,1634084835.067173,3,118.88408660888672,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17119,1329,20,5,16583,983,
1634084838.279749,1634084838.398912,4,119.16303634643555,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17111,1329,20,5,16575,983,
1634084841.615528,1634084841.735176,5,119.64797973632812,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17110,1329,20,5,16574,983,
1634084844.953806,1634084845.072716,6,118.91007423400879,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17118,1329,20,5,16582,983,
1634084848.284196,1634084848.404725,7,120.5291748046875,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17110,1329,20,5,16574,983,
1634084851.623111,1634084851.702559,8,79.44798469543457,dilithium5,1000,drop,dEBnfSaYoH.pcap,14,5,16935,1329,18,5,16483,983,
1634084854.956841,1634084855.077562,9,120.72110176086426,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17116,1329,20,5,16580,983,
1634084858.296844,1634084858.418053,10,121.20890617370605,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17118,1329,20,5,16582,983,
1634084861.6374,1634084861.75686,11,119.4601058959961,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17119,1329,20,5,16583,983,
1634084864.969044,1634084865.087958,12,118.91412734985352,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17112,1329,20,5,16576,983,
1634084868.297305,1634084868.414162,13,116.85681343078613,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17113,1329,20,5,16577,983,
1634084871.635909,1634084871.717971,14,82.0620059967041,dilithium5,1000,drop,dEBnfSaYoH.pcap,14,5,16938,1329,18,5,16486,983,
1634084874.978683,1634084875.1002,15,121.51694297790527,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17119,1329,20,5,16583,983,
1634084878.31196,1634084878.432021,16,120.06092071533203,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17119,1329,20,5,16583,983,
1634084881.66257,1634084881.783684,17,121.11401557922363,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17114,1329,20,5,16578,983,
1634084884.993281,1634084885.074034,18,80.75308799743652,dilithium5,1000,drop,dEBnfSaYoH.pcap,14,5,16934,1329,18,5,16482,983,
1634084888.343468,1634084888.4627,19,119.2319393157959,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17119,1329,20,5,16583,983,
1634084891.680195,1634084891.760404,20,80.20901679992676,dilithium5,1000,drop,dEBnfSaYoH.pcap,14,5,16932,1329,18,5,16480,983,
1634084895.01724,1634084895.13572,21,118.47996711730957,dilithium5,1000,drop,dEBnfSaYoH.pcap,16,5,17116,1329,20,5,16580,983,
