Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634076042.335127,1634076042.335127,0,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076042.489039,1634076042.95929,1,470.25108337402344,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17111,1329,20,5,16575,983,
1634076047.248336,1634076047.248336,2,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076047.399562,1634076047.872479,3,472.9170799255371,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17118,1329,20,5,16582,983,
1634076052.169366,1634076052.169366,4,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076052.321637,1634076052.795225,5,473.5879898071289,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17109,1329,20,5,16573,983,
1634076057.150823,1634076057.150823,6,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076062.096986,1634076062.096986,8,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076067.085086,1634076067.085086,10,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076067.240958,1634076067.737721,11,496.7629909515381,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17115,1329,20,5,16579,983,
1634076072.048207,1634076072.048207,12,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076072.204123,1634076072.679018,13,474.8950004577637,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17109,1329,20,5,16573,983,
1634076077.039011,1634076077.039011,14,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076077.194405,1634076077.689678,15,495.2728748321533,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17113,1329,20,5,16577,983,
1634076081.988163,1634076081.988163,16,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076082.140905,1634076082.638745,17,497.84016609191895,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17118,1329,20,5,16582,983,
1634076086.93275,1634076086.93275,18,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076087.089937,1634076087.559206,19,469.2690372467041,dilithium5,10,drop,nUNhNdmpMv.pcap,16,5,17117,1329,20,5,16581,983,
1634076111.042757,1634076111.042757,20,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076111.196802,1634076111.539061,21,342.25916862487793,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8984,1326,13,5,8781,983,
1634076115.898882,1634076115.898882,22,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076116.050001,1634076116.376758,23,326.75719261169434,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8995,1326,13,5,8792,983,
1634076120.732574,1634076120.732574,24,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076120.890743,1634076121.210165,25,319.42200660705566,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8983,1326,13,5,8780,983,
1634076125.569317,1634076125.569317,26,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076125.721099,1634076126.043143,27,322.04413414001465,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8985,1326,13,5,8782,983,
1634076130.405324,1634076130.405324,28,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076130.56175,1634076130.877792,29,316.0419464111328,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8990,1326,13,5,8787,983,
1634076135.224029,1634076135.224029,30,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076135.375425,1634076135.695937,31,320.5118179321289,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8986,1326,13,5,8783,983,
1634076140.040152,1634076140.040152,32,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076140.192369,1634076140.537997,33,345.628023147583,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,9000,1326,13,5,8797,983,
1634076144.884888,1634076144.884888,34,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076145.03685,1634076145.403925,35,367.07496643066406,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8988,1326,13,5,8785,983,
1634076149.766172,1634076149.766172,36,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
1634076149.917577,1634076150.266039,37,348.4618663787842,dilithium5,10,drop,nUNhNdmpMv.pcap,8,5,8988,1326,13,5,8785,983,
1634076154.614515,1634076154.614515,38,0.0,dilithium5,10,drop,nUNhNdmpMv.pcap,1,0,1242,0,1,0,1200,0,
