Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628772887.670641,1628772887.675239,0,4.598140716552734,0,13,5,13603,1329,17,5,13193,983,
1628772888.708043,1628772888.713469,1,5.425930023193359,0,11,5,13426,1329,15,5,13100,983,
1628772889.743351,1628772889.747358,2,4.007101058959961,0,13,5,13607,1329,17,5,13197,983,
1628772890.779722,1628772890.78557,3,5.847930908203125,0,13,5,13602,1329,17,5,13192,983,
1628772891.815321,1628772891.821092,4,5.77092170715332,0,13,5,13602,1329,17,5,13192,983,
1628772892.861078,1628772892.867197,5,6.119012832641602,0,17,5,14007,1329,21,5,13429,983,
1628772893.893773,1628772893.898391,6,4.617929458618164,0,13,5,13609,1329,17,5,13199,983,
1628772894.919291,1628772894.923437,7,4.146099090576172,0,13,5,13605,1329,17,5,13195,983,
1628772895.9718,1628772895.97566,8,3.859996795654297,0,13,5,13599,1329,17,5,13189,983,
1628772897.001218,1628772897.005943,9,4.724979400634766,0,13,5,13597,1329,17,5,13187,983,
1628772898.03224,1628772898.039004,10,6.76417350769043,0,13,5,13607,1329,17,5,13197,983,
1628772899.065845,1628772899.070172,11,4.327058792114258,0,11,5,13422,1329,15,5,13096,983,
1628772900.095992,1628772900.101845,12,5.852937698364258,0,13,5,13601,1329,17,5,13191,983,
1628772901.13016,1628772901.134566,13,4.405975341796875,0,11,6,13430,1404,15,6,13104,1016,
1628772902.164208,1628772902.167378,14,3.170013427734375,0,11,5,13424,1329,15,5,13098,983,
1628772903.190435,1628772903.195223,15,4.78816032409668,0,13,5,13599,1329,17,5,13189,983,
1628772904.239556,1628772904.24583,16,6.273984909057617,0,13,5,13604,1329,17,5,13194,983,
1628772905.273366,1628772905.277321,17,3.9551258087158203,0,11,5,13419,1329,15,5,13093,983,
1628772906.307893,1628772906.313754,18,5.861043930053711,0,13,5,13601,1329,17,5,13191,983,
1628772907.340781,1628772907.346362,19,5.581140518188477,0,13,5,13651,1329,17,5,13241,983,
1628772908.373696,1628772908.378059,20,4.362821578979492,0,11,5,13429,1329,15,5,13103,983,
1628772909.405269,1628772909.409496,21,4.227161407470703,0,11,5,13428,1330,15,5,13102,984,
1628772910.438128,1628772910.444288,22,6.16002082824707,0,13,5,13600,1329,17,5,13190,983,
1628772911.462723,1628772911.469105,23,6.381988525390625,0,13,5,13609,1329,17,5,13199,983,
1628772912.506261,1628772912.514441,24,8.179903030395508,0,13,5,13605,1329,17,5,13195,983,
1628772913.536719,1628772913.542235,25,5.515813827514648,0,11,5,13419,1329,15,5,13093,983,
1628772914.578013,1628772914.585754,26,7.740974426269531,0,13,6,13607,1404,17,6,13197,1016,
1628772915.634977,1628772915.641642,27,6.66499137878418,0,13,5,13609,1329,17,5,13199,983,
1628772916.705877,1628772916.7143,28,8.4228515625,0,13,5,13602,1329,17,5,13192,983,
1628772917.73347,1628772917.741466,29,7.996082305908203,0,11,5,13431,1329,15,5,13105,983,
1628772918.769501,1628772918.775652,30,6.150960922241211,0,13,5,13605,1329,17,5,13195,983,
1628772919.797686,1628772919.805984,31,8.297920227050781,0,13,5,13607,1329,17,5,13197,983,
1628772920.835932,1628772920.842112,32,6.180047988891602,0,13,5,13598,1329,17,5,13188,983,
1628772921.885142,1628772921.893135,33,7.992982864379883,0,11,5,13431,1329,15,5,13105,983,
1628772922.925539,1628772922.931278,34,5.738973617553711,0,13,5,13599,1329,17,5,13189,983,
1628772923.95536,1628772923.959511,35,4.151105880737305,0,13,5,13605,1329,17,5,13195,983,
1628772924.989454,1628772924.994669,36,5.214929580688477,0,11,5,13420,1329,15,5,13094,983,
1628772926.022576,1628772926.027425,37,4.848957061767578,0,11,5,13423,1329,15,5,13097,983,
1628772927.058776,1628772927.06575,38,6.973981857299805,0,15,5,13785,1329,19,5,13291,983,
1628772928.094555,1628772928.098929,39,4.374027252197266,0,13,5,13597,1329,17,5,13187,983,
1628772929.156443,1628772929.173739,40,17.29583740234375,0,11,5,13423,1329,15,5,13097,983,
1628772930.238236,1628772930.242544,41,4.307985305786133,0,13,5,13597,1329,17,5,13187,983,
1628772931.267848,1628772931.274841,42,6.99305534362793,0,13,5,13598,1329,17,5,13188,983,
1628772932.318594,1628772932.326443,43,7.848978042602539,0,13,5,13598,1329,17,5,13188,983,
1628772933.357551,1628772933.363663,44,6.111860275268555,0,13,5,13608,1329,17,5,13198,983,
1628772934.413604,1628772934.417432,45,3.8280487060546875,0,11,5,13427,1329,15,5,13101,983,
1628772935.442702,1628772935.450106,46,7.403850555419922,0,13,5,13604,1329,17,5,13194,983,
1628772936.49286,1628772936.497533,47,4.673004150390625,0,11,5,13419,1329,15,5,13093,983,
1628772937.523065,1628772937.530202,48,7.136821746826172,0,13,5,13609,1329,17,5,13199,983,
1628772938.570535,1628772938.577445,49,6.910085678100586,0,13,5,13600,1329,17,5,13190,983,
1628772939.602168,1628772939.60749,50,5.321979522705078,0,13,5,13606,1329,17,5,13196,983,
1628772940.634593,1628772940.640071,51,5.4779052734375,0,13,5,13603,1329,17,5,13193,983,
1628772941.669541,1628772941.673958,52,4.417181015014648,0,13,6,13603,1404,17,6,13193,1016,
1628772942.702146,1628772942.708504,53,6.357908248901367,0,11,5,13430,1329,15,5,13104,983,
1628772943.752871,1628772943.758852,54,5.980968475341797,0,11,5,13419,1329,15,5,13093,983,
1628772944.78552,1628772944.790587,55,5.066871643066406,0,13,5,13607,1329,17,5,13197,983,
1628772945.833047,1628772945.838033,56,4.986047744750977,0,13,5,13597,1329,17,5,13187,983,
1628772946.860521,1628772946.864014,57,3.4928321838378906,0,13,5,13658,1329,17,5,13248,983,
1628772947.900892,1628772947.906571,58,5.678892135620117,0,13,5,13598,1329,17,5,13188,983,
1628772948.938184,1628772948.94588,59,7.695913314819336,0,13,5,13601,1329,17,5,13191,983,
1628772949.983569,1628772949.990197,60,6.6280364990234375,0,13,5,13609,1329,17,5,13199,983,
1628772951.025623,1628772951.030368,61,4.745006561279297,0,13,5,13599,1329,17,5,13189,983,
1628772952.058083,1628772952.06587,62,7.786989212036133,0,13,5,13604,1329,17,5,13194,983,
1628772953.089112,1628772953.099286,63,10.174036026000977,0,13,5,13608,1329,17,5,13198,983,
