Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628776020.79013,1628776020.809754,0,19.623994827270508,0,9,5,9028,1329,12,5,8786,983,
1628776021.842025,1628776021.854888,1,12.862920761108398,0,7,5,8841,1329,11,5,8683,983,
1628776022.895489,1628776022.911269,2,15.779972076416016,0,9,5,9026,1329,13,5,8784,983,
1628776023.945125,1628776023.958098,3,12.972831726074219,0,7,5,8851,1329,11,5,8693,983,
1628776025.000804,1628776025.013673,4,12.869119644165039,0,9,5,9071,1329,13,5,8829,983,
1628776026.042113,1628776026.054169,5,12.05587387084961,0,7,5,8850,1329,11,5,8692,983,
1628776027.078338,1628776027.090049,6,11.71112060546875,0,7,5,8845,1329,11,5,8687,983,
1628776028.11782,1628776028.131384,7,13.563871383666992,0,7,5,8859,1329,11,5,8701,983,
1628776029.162222,1628776029.174782,8,12.560129165649414,0,7,5,8838,1329,11,5,8680,983,
1628776030.232461,1628776030.244845,9,12.38393783569336,0,7,5,8852,1329,11,5,8694,983,
1628776031.29401,1628776031.306612,10,12.602090835571289,0,9,5,9027,1329,13,5,8785,983,
1628776032.342489,1628776032.356983,11,14.493942260742188,0,7,5,8847,1329,11,5,8689,983,
1628776033.399615,1628776033.411004,12,11.389017105102539,0,9,5,9074,1326,13,5,8829,983,
1628776034.453693,1628776034.465382,13,11.689186096191406,0,7,5,8852,1329,11,5,8694,983,
1628776035.499583,1628776035.511241,14,11.657953262329102,0,7,5,8852,1329,11,5,8694,983,
1628776036.543058,1628776036.554499,15,11.44099235534668,0,7,5,8857,1329,11,5,8699,983,
1628776037.582024,1628776037.594086,16,12.061834335327148,0,7,5,8850,1329,11,5,8692,983,
1628776038.622111,1628776038.634826,17,12.714862823486328,0,7,5,8848,1329,11,5,8690,983,
1628776039.670512,1628776039.682165,18,11.652946472167969,0,7,5,8850,1329,11,5,8692,983,
1628776040.719715,1628776040.738876,19,19.160985946655273,0,11,5,9260,1329,15,5,8934,983,
1628776041.766099,1628776041.78252,20,16.421079635620117,0,7,5,8853,1329,11,5,8695,983,
1628776042.807029,1628776042.818798,21,11.76905632019043,0,7,5,8846,1329,11,5,8688,983,
1628776043.842603,1628776043.854939,22,12.336015701293945,0,7,5,8854,1329,11,5,8696,983,
1628776044.878509,1628776044.890944,23,12.434959411621094,0,7,5,8840,1329,11,5,8682,983,
1628776045.929349,1628776045.942191,24,12.841939926147461,0,7,5,8845,1329,11,5,8687,983,
1628776046.970098,1628776046.982776,25,12.677907943725586,0,7,5,8845,1329,11,5,8687,983,
1628776048.010958,1628776048.022869,26,11.911153793334961,0,7,5,8844,1329,11,5,8686,983,
1628776049.054791,1628776049.067037,27,12.246131896972656,0,7,5,8845,1329,11,5,8687,983,
1628776050.095022,1628776050.107573,28,12.551069259643555,0,7,5,8845,1329,11,5,8687,983,
1628776051.136716,1628776051.151151,29,14.435052871704102,0,7,5,8847,1329,11,5,8689,983,
1628776052.182113,1628776052.194437,30,12.324094772338867,0,7,5,8845,1329,11,5,8687,983,
1628776053.222143,1628776053.235432,31,13.28897476196289,0,7,5,8853,1329,11,5,8695,983,
1628776054.267166,1628776054.278701,32,11.535167694091797,0,9,5,9086,1326,13,5,8841,983,
1628776055.306655,1628776055.321307,33,14.652013778686523,0,7,5,8848,1329,11,5,8690,983,
1628776056.36287,1628776056.376799,34,13.929128646850586,0,7,5,8858,1329,11,5,8700,983,
1628776057.400297,1628776057.419191,35,18.893957138061523,0,7,5,8849,1329,11,5,8691,983,
1628776058.474457,1628776058.488717,36,14.260053634643555,0,7,5,8851,1329,11,5,8693,983,
1628776059.531889,1628776059.543252,37,11.363029479980469,0,9,5,9079,1327,13,5,8835,983,
1628776060.578797,1628776060.591717,38,12.919902801513672,0,7,5,8846,1329,11,5,8688,983,
1628776061.635881,1628776061.649017,39,13.136148452758789,0,7,5,8852,1329,11,5,8694,983,
1628776062.690756,1628776062.702735,40,11.978864669799805,0,7,5,8849,1329,11,5,8691,983,
1628776063.728643,1628776063.74208,41,13.437032699584961,0,7,5,8859,1329,11,5,8701,983,
1628776064.767187,1628776064.781715,42,14.52779769897461,0,9,6,9078,1400,13,6,8833,1015,
1628776065.813712,1628776065.825695,43,11.983156204223633,0,7,5,8848,1329,11,5,8690,983,
1628776066.869693,1628776066.88272,44,13.026952743530273,0,7,5,8853,1329,11,5,8695,983,
1628776067.91218,1628776067.926441,45,14.261007308959961,0,9,5,9074,1326,13,5,8829,983,
1628776068.959163,1628776068.971202,46,12.038946151733398,0,7,5,8854,1329,11,5,8696,983,
1628776070.010798,1628776070.022986,47,12.187957763671875,0,7,5,8850,1329,11,5,8692,983,
1628776071.054637,1628776071.066602,48,11.965036392211914,0,7,5,8845,1329,11,5,8687,983,
1628776072.087641,1628776072.101071,49,13.429880142211914,0,7,5,8851,1329,11,5,8693,983,
1628776073.14228,1628776073.157505,50,15.224933624267578,0,9,5,9039,1329,13,5,8797,983,
1628776074.202037,1628776074.214997,51,12.959957122802734,0,7,5,8851,1329,11,5,8693,983,
1628776075.242997,1628776075.254479,52,11.482000350952148,0,9,5,9091,1326,13,5,8846,983,
