Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628779007.451064,1628779007.455261,0,4.196882247924805,0,11,5,11040,1329,15,5,10714,983,
1628779008.492465,1628779008.497079,1,4.6138763427734375,0,13,5,11271,1329,17,5,10861,983,
1628779009.518792,1628779009.523384,2,4.592180252075195,0,11,5,11042,1330,15,5,10717,983,
1628779010.549369,1628779010.554945,3,5.575895309448242,0,13,5,11265,1329,17,5,10855,983,
1628779011.584837,1628779011.589137,4,4.300117492675781,0,11,5,11033,1329,15,5,10707,983,
1628779012.612335,1628779012.617835,5,5.500078201293945,0,13,5,11266,1329,17,5,10856,983,
1628779013.643757,1628779013.649121,6,5.363941192626953,0,11,5,11043,1329,15,5,10717,983,
1628779014.681605,1628779014.687429,7,5.823850631713867,0,11,5,11034,1329,15,5,10708,983,
1628779015.716652,1628779015.723231,8,6.579160690307617,0,13,5,11273,1329,17,5,10863,983,
1628779016.749961,1628779016.757999,9,8.038043975830078,0,11,5,11045,1329,15,5,10719,983,
1628779017.803771,1628779017.809995,10,6.223917007446289,0,11,5,11045,1329,15,5,10719,983,
1628779018.834831,1628779018.839121,11,4.290103912353516,0,11,5,11045,1329,15,5,10719,983,
1628779019.869586,1628779019.875331,12,5.74493408203125,0,11,5,11035,1329,15,5,10709,983,
1628779020.902298,1628779020.907564,13,5.265951156616211,0,11,5,11045,1329,15,5,10719,983,
1628779021.930253,1628779021.937407,14,7.153987884521484,0,11,5,11044,1329,15,5,10718,983,
1628779022.961296,1628779022.966763,15,5.466938018798828,0,11,5,11044,1329,15,5,10718,983,
1628779023.991599,1628779023.99842,16,6.820917129516602,0,11,5,11037,1329,15,5,10711,983,
1628779025.016013,1628779025.021323,17,5.31005859375,0,11,5,11041,1329,15,5,10715,983,
1628779026.050832,1628779026.058352,18,7.519960403442383,0,11,5,11042,1329,15,5,10716,983,
1628779027.086697,1628779027.092778,19,6.080865859985352,0,11,5,11039,1329,15,5,10713,983,
1628779028.1198,1628779028.124922,20,5.121946334838867,0,11,5,11042,1329,15,5,10716,983,
1628779029.145474,1628779029.150881,21,5.407094955444336,0,9,5,10864,1329,13,5,10622,983,
1628779030.186532,1628779030.193198,22,6.665945053100586,0,9,7,10857,1475,13,7,10615,1045,
1628779031.224975,1628779031.230656,23,5.68079948425293,0,13,5,11262,1329,17,5,10852,983,
1628779032.266823,1628779032.274039,24,7.215976715087891,0,9,5,10863,1329,13,5,10621,983,
1628779033.306049,1628779033.310827,25,4.7779083251953125,0,11,5,11033,1329,15,5,10707,983,
1628779034.345007,1628779034.349518,26,4.511117935180664,0,11,5,11034,1329,15,5,10708,983,
