Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628777961.593496,1628777961.606109,0,12.61281967163086,0,6,5,5999,1327,9,5,5880,984,
1628777962.629329,1628777962.637645,1,8.3160400390625,0,4,5,4666,2193,8,5,5498,983,
1628777963.661988,1628777963.668734,2,6.746053695678711,0,4,5,4662,2193,8,5,5494,983,
1628777964.714462,1628777964.721444,3,6.981849670410156,0,4,5,4659,2193,8,5,5491,983,
1628777965.757447,1628777965.765184,4,7.736921310424805,0,4,5,4663,2193,8,5,5495,983,
1628777966.799221,1628777966.809335,5,10.113954544067383,0,4,5,4664,2193,8,5,5496,983,
1628777967.833231,1628777967.84348,6,10.249137878417969,0,6,5,5990,1326,9,5,5871,983,
1628777968.865271,1628777968.873381,7,8.109807968139648,0,4,5,4662,2193,8,5,5494,983,
1628777969.909641,1628777969.91766,8,8.018970489501953,0,4,7,4659,2339,8,7,5491,1045,
1628777970.949377,1628777970.956474,9,7.097005844116211,0,4,5,4660,2193,8,5,5492,983,
1628777971.989161,1628777971.996714,10,7.5531005859375,0,4,5,4657,2193,8,5,5489,983,
1628777973.023637,1628777973.032385,11,8.748054504394531,0,6,5,5997,1327,9,5,5879,983,
1628777974.067764,1628777974.077382,12,9.618043899536133,0,6,5,5996,1327,9,5,5878,983,
1628777975.102487,1628777975.108912,13,6.424903869628906,0,4,5,4664,2193,8,5,5496,983,
1628777976.137851,1628777976.144583,14,6.731986999511719,0,4,5,4664,2193,8,5,5496,983,
1628777977.175123,1628777977.182905,15,7.781982421875,0,6,5,5991,1326,10,5,5872,983,
1628777978.223647,1628777978.233197,16,9.549856185913086,0,6,5,5990,1327,9,5,5872,983,
1628777979.270761,1628777979.277059,17,6.298065185546875,0,4,5,4669,2193,8,5,5501,983,
1628777980.313762,1628777980.321089,18,7.327079772949219,0,4,5,4661,2193,8,5,5493,983,
1628777981.347035,1628777981.355137,19,8.102178573608398,0,6,5,5997,1326,9,5,5878,983,
1628777982.380215,1628777982.389438,20,9.222984313964844,0,6,5,5992,1329,10,5,5876,983,
1628777983.420357,1628777983.42735,21,6.99305534362793,0,4,5,4657,2193,8,5,5489,983,
1628777984.456002,1628777984.462502,22,6.500005722045898,0,4,5,4659,2193,8,5,5491,983,
1628777985.497347,1628777985.505367,23,8.01992416381836,0,4,5,4668,2193,8,5,5500,983,
1628777986.548435,1628777986.556975,24,8.539915084838867,0,6,5,5999,1326,9,5,5880,983,
1628777987.585422,1628777987.593371,25,7.948875427246094,0,4,5,4657,2193,8,5,5489,983,
1628777988.620773,1628777988.628832,26,8.059024810791016,0,4,7,4660,2339,8,7,5492,1045,
1628777989.653579,1628777989.661445,27,7.86590576171875,0,6,5,5990,1326,9,5,5871,983,
1628777990.699496,1628777990.706294,28,6.798028945922852,0,4,5,4663,2193,8,5,5495,983,
1628777991.735883,1628777991.746232,29,10.349035263061523,0,6,5,5990,1327,9,5,5872,983,
1628777992.770331,1628777992.777516,30,7.1849822998046875,0,4,5,4668,2193,8,5,5500,983,
1628777993.803812,1628777993.812296,31,8.48388671875,0,6,5,5991,1327,10,5,5873,983,
1628777994.84315,1628777994.854449,32,11.29913330078125,0,7,5,6088,1326,10,5,5927,983,
1628777995.878276,1628777995.88615,33,7.873773574829102,0,6,5,5990,1327,9,5,5872,983,
1628777996.911589,1628777996.918844,34,7.255077362060547,0,4,5,4657,2193,8,5,5489,983,
1628777997.945754,1628777997.95308,35,7.325887680053711,0,4,7,4659,2339,8,7,5491,1045,
1628777998.982933,1628777998.990208,36,7.274866104125977,0,6,5,5990,1326,9,5,5871,983,
1628778000.024679,1628778000.035328,37,10.648965835571289,0,6,5,5993,1326,9,5,5874,983,
1628778001.057813,1628778001.065732,38,7.919073104858398,0,4,5,4660,2193,8,5,5492,983,
1628778002.090499,1628778002.097446,39,6.947040557861328,0,4,5,4659,2193,8,5,5491,983,
1628778003.126103,1628778003.134331,40,8.228063583374023,0,4,5,4664,2193,8,5,5496,983,
