Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Sec Level,Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms),,CRT (B),CSR (B),CA Key (B) (key_srv),CA Pem (B) (key_crt),CA Srl (B),,Private key (bytes),Public key (bytes),Signature (bytes)
16:58.6,1615594619,rsa 2048,RSA 2048,1,168.6849971,10.12391973,5.192595482,3.160854578,,,899,1704,1001,,,,,
17:20.8,1615594641,rsa 3072,RSA 3072,1,351.6431994,10.05073714,5.124855757,3.15664053,,,1245,2484,1346,,,,,
17:53.2,1615594673,rsa 4096,RSA 4096,1,726.6977627,10.12291074,5.187813282,3.168238401,,,1590,3272,1692,,,,,
21:00.9,1615594861,secp 256k1,P256,1,3.703556299,4.731399536,4.663942575,4.508000135,,,359,0,461,,,,,
27:11.5,1615595231,secp 384r1,P384,3,4.376137495,6.002227783,5.954396963,5.500137091,,,448,0,546,,,,,
39:37.4,1615595977,secp 521r1,P521,5,6.191230059,9.035331726,8.669948578,8.021369696,,,546,0,648,,,,,
41:25.7,1615596086,dilithium2,Dilithium 2,2,3.071321487,3.628806114,3.81982255,3.395309925,,,5238,5295,5340,,,,,
41:40.1,1615596100,dilithium3,Dilithium 3,3,3.168178082,3.790737152,4.003877401,3.555486441,,,7290,8155,7391,,,,,
41:55.1,1615596115,dilithium5,Dilithium 5,5,3.248395681,3.964715242,4.126093149,3.717310667,,,9918,10194,10020,,,,,
42:10.7,1615596131,dilithium2_aes,Dilithium 2 with AES,2,3.030066729,3.524981022,3.71803546,3.330759287,,,5238,5295,5340,,,,,
42:24.8,1615596145,dilithium3_aes,Dilithium 3 with AES,3,3.063953161,3.700651407,3.692451,3.441592455,,,7290,8155,7391,,,,,
42:39.2,1615596159,dilithium5_aes,Dilithium 5 with AES,5,3.120622873,3.803632021,4.000618696,3.611834764,,,9918,10194,10020,,,,,
42:54.3,1615596174,falcon512,Falcon 512,1,12.03161407,3.89688611,3.976507187,3.302495241,,,2276,3036,2366,,,,,
43:18.0,1615596198,falcon1024,Falcon 1024,5,26.39333963,4.207582235,4.571501493,3.577408791,,,4324,5636,4414,,,,,
43:57.3,1615596237,rainbowIclassic,Rainbow I Classic,1,123.4675539,9.159088373,12.71643209,11.33771539,,,219100,359285,219198,,,,,
46:34.6,1615596395,rainbowIcircumzenithal,Rainbow I Circumzenithal,1,138.0250554,7.006283998,10.08849645,9.059163094,,,81771,221960,81869,,,,,
49:19.4,1615596559,rainbowIcompressed,Rainbow I Compressed,1,138.4209623,63.83904839,66.66753411,9.0481534,,,81771,81686,81869,,,,,
53:58.1,1615596838,rainbowIIIclassic,Rainbow III Classic,3,1491.974122,33.61624742,62.22283721,56.63493729,,,1194884,2042350,1194982,,,,,
21:24.5,1615598485,rainbowIIIcircumzenithal,Rainbow III Circumzenithal,3,1696.084424,26.00659776,46.04537797,41.90664959,,,358724,1206190,358822,,,,,
51:36.8,1615600297,rainbowIIIcompressed,Rainbow III Compressed,3,1698.38631,794.6243522,815.3516943,41.93671083,,,358724,358505,358822,,,,,
47:30.1,1615603650,rainbowVclassic,Rainbow V Classic,5,4201.500478,71.79637671,135.6659956,121.8081632,,,2614821,4522113,2614915,,,,,
02:35.0,1615608155,rainbowVcircumzenithal,Rainbow V Circumzenithal,5,4806.512549,52.77272534,94.68938947,85.68443799,,,726482,2633777,726580,,,,,
26:40.0,1615613200,rainbowVcompressed,Rainbow V Compressed,5,4793.832036,2275.790641,2317.592676,85.43196344,,,726482,726198,726580,,,,,
04:40.2,1615622680,rsa3072_dilithium2,RSA 3072 + Dilithium 2,2,263.0013499,7.711437941,7.867007256,3.676603556,,,6294,7688,6392,,,,,
09:23.3,1615622963,rsa3072_falcon512,RSA 3072 + Falcon 512,1,272.1936882,7.839252472,7.908506632,3.51145792,,,3349,5437,3439,,,,,
14:15.3,1615623255,rsa3072_rainbowIclassic,RSA 3072 + Rainbow I Classic,1,389.2349694,11.65921021,16.37757802,11.80983853,,,220173,361686,220270,,,,,
21:25.1,1615623685,rsa3072_rainbowIcircumzenithal,RSA 3072 + Rainbow I Circumzenithal,1,393.3419619,11.05467319,13.68995881,9.410427332,,,82844,224357,82942,,,,,
28:33.5,1615624114,rsa3072_rainbowIcompressed,RSA 3072 + Rainbow I Compressed,1,392.1894274,67.20623541,71.71763349,9.272172928,,,82844,84087,82942,,,,,
37:35.5,1615624655,p256_dilithium2,P256 + Dilithium 2,2,3.216322899,3.7691257,4.041666746,3.783186436,,,5421,5458,5514,,,,,
37:50.8,1615624671,p256_falcon512,P256 + Falcon 512,1,12.00089121,3.979534388,4.332319021,3.710928679,,,2467,3207,2565,,,,,
38:15.3,1615624695,p384_dilithium3,P384 + Dilithium 3,3,4.544226408,5.129193306,6.516842842,5.987618923,,,7554,8383,7651,,,,,
38:38.0,1615624718,p521_dilithium5,P521 + Dilithium 5,5,6.374113798,7.057781935,9.443001747,8.436417341,,,10284,10495,10377,,,,,
39:09.8,1615624750,p521_falcon1024,P521 + Falcon 1024,5,28.75867772,7.119288206,9.597853899,8.256275892,,,4706,5945,4791,,,,,
40:04.1,1615624804,p256_rainbowIclassic,P256 + Rainbow I Classic,1,123.326514,8.285645723,13.10586882,11.75928712,,,219295,359456,219393,,,,,
42:41.2,1615624961,p256_rainbowIcircumzenithal,P256 + Rainbow I Circumzenithal,1,138.6891968,7.767984152,10.78658247,9.389170647,,,81966,222131,82064,,,,,
45:28.5,1615625128,p256_rainbowIcompressed,P256 + Rainbow I Compressed,1,138.6942234,64.13496923,67.1940887,9.454513311,,,81966,81857,82064,,,,,
50:08.6,1615625409,p384_rainbowIIIclassic,P384 + Rainbow III Classic,3,1541.228024,38.04340649,74.34197116,63.9449985,,,1195169,2042582,1195262,,,,,
18:48.2,1615627128,p384_rainbowIIIcircumzenithal,P384 + Rainbow III Circumzenithal,3,1850.314603,29.60616016,52.69643688,48.92640138,,,359009,1206422,359102,,,,,
51:52.1,1615629112,p384_rainbowIIIcompressed,P384 + Rainbow III Compressed,3,1779.941993,830.5724185,839.8578417,46.13588572,,,359009,358737,359102,,,,,
50:11.7,1615632612,p521_rainbowVclassic,P521 + Rainbow V Classic,5,4233.34741,77.31355715,148.3864033,130.8097966,,,2615199,4522421,2615297,,,,,
06:46.4,1615637206,p521_rainbowVcircumzenithal,P521 + Rainbow V Circumzenithal,5,4814.839945,56.32293367,101.7122221,91.86846495,,,726864,2634082,726962,,,,,
31:16.5,1615642276,p521_rainbowVcompressed,P521 + Rainbow V Compressed,5,4813.732538,2287.487279,2342.260395,92.04306102,,,726864,726507,726958,,,,,
