Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633282418.051749,1633282418.056006,0,4.256963729858398,dilithium2,10,corrupt,10%,9,5,10860,1331,13,5,10620,983,
1633282419.106299,1633282419.11055,1,4.251003265380859,dilithium2,10,corrupt,10%,9,5,10865,1329,13,5,10623,983,
1633282420.16272,1633282420.168111,2,5.391120910644531,dilithium2,10,corrupt,10%,11,5,11045,1329,15,5,10719,983,
1633282421.213266,1633282421.217972,3,4.706144332885742,dilithium2,10,corrupt,10%,9,5,10864,1329,13,5,10622,983,
1633282422.253674,1633282422.26342,4,9.746074676513672,dilithium2,10,corrupt,10%,10,5,10952,1331,14,5,10670,983,
1633282423.312768,1633282423.318204,5,5.435943603515625,dilithium2,10,corrupt,10%,11,5,11087,1329,15,5,10761,983,
1633282424.369135,1633282424.375952,6,6.817102432250977,dilithium2,10,corrupt,10%,11,5,11034,1329,15,5,10708,983,
1633282425.414593,1633282425.418644,7,4.050970077514648,dilithium2,10,corrupt,10%,4,0,5072,0,5,0,4904,0,
1633282436.478675,1633282436.478675,8,0.0,dilithium2,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282436.630743,1633282436.63582,9,5.076885223388672,dilithium2,10,corrupt,10%,13,5,11270,1329,17,5,10860,983,
1633282437.686326,1633282437.690619,10,4.292964935302734,dilithium2,10,corrupt,10%,9,5,10855,1329,13,5,10613,983,
1633282451.820661,1633282451.824024,11,3.362894058227539,dilithium2,10,corrupt,10%,4,0,5072,0,5,0,4904,0,
1633282462.898221,1633282462.902365,12,4.143953323364258,dilithium2,10,corrupt,10%,9,5,10858,1329,13,5,10616,983,
1633282463.939138,1633282463.942918,13,3.7801265716552734,dilithium2,10,corrupt,10%,4,0,5072,0,5,0,4904,0,
1633282474.997028,1633282475.00235,14,5.321979522705078,dilithium2,10,corrupt,10%,9,5,10855,1329,13,5,10613,983,
1633282476.055423,1633282476.057983,15,2.5599002838134766,dilithium2,10,corrupt,10%,4,0,5072,0,5,0,4904,0,
1633282487.095248,1633282487.103405,16,8.157014846801758,dilithium2,10,corrupt,10%,11,5,11033,1329,15,5,10707,983,
1633282488.138206,1633282488.155561,17,17.354965209960938,dilithium2,10,corrupt,10%,16,32,13664,5471,22,32,13265,3854,
1633282489.207655,1633282489.207655,18,0.0,dilithium2,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282489.357891,1633282489.360318,19,2.4268627166748047,dilithium2,10,corrupt,10%,4,0,5072,0,5,0,4904,0,
1633282500.260612,1633282500.279332,20,18.719911575317383,dilithium2,10,corrupt,10%,17,13,16950,2357,22,13,16374,1673,
1633282501.374537,1633282501.380089,21,5.552053451538086,dilithium2,10,corrupt,10%,11,5,11044,1329,15,5,10718,983,
1633282516.340523,1633282516.358679,22,18.156051635742188,dilithium2,10,corrupt,10%,14,7,12263,1834,20,7,11948,1267,
1633282517.394805,1633282517.400827,23,6.021976470947266,dilithium2,10,corrupt,10%,9,5,10855,1329,13,5,10613,983,
1633282518.438615,1633282518.441829,24,3.2138824462890625,dilithium2,10,corrupt,10%,4,0,5072,0,5,0,4904,0,
1633282529.492995,1633282529.499483,25,6.48808479309082,dilithium2,10,corrupt,10%,10,5,11002,1326,14,5,10715,983,
1633282530.548007,1633282530.552482,26,4.474878311157227,dilithium2,10,corrupt,10%,11,5,11045,1329,15,5,10719,983,
1633282531.600296,1633282531.605851,27,5.554914474487305,dilithium2,10,corrupt,10%,11,27,11045,4743,15,27,10719,3473,
1633282532.65967,1633282532.681531,28,21.860837936401367,dilithium2,10,corrupt,10%,15,9,13566,1980,21,9,13209,1329,
