Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633282604.831115,1633282604.838367,0,7.251977920532227,dilithium2,10,corrupt,30%,12,5,11123,1329,15,5,10755,983,
1633282605.898342,1633282605.918154,1,19.81210708618164,dilithium2,10,corrupt,30%,15,16,13159,2673,21,16,12719,1811,
1633282606.970577,1633282606.973631,2,3.053903579711914,dilithium2,10,corrupt,30%,4,0,5072,0,5,0,4904,0,
1633282618.019477,1633282618.037681,3,18.204212188720703,dilithium2,10,corrupt,30%,15,33,13072,9353,20,33,12664,7745,
1633282619.079892,1633282619.083068,4,3.175973892211914,dilithium2,10,corrupt,30%,4,0,5072,0,5,0,4904,0,
1633282630.146128,1633282630.146128,5,0.0,dilithium2,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282630.301674,1633282630.304359,6,2.685070037841797,dilithium2,10,corrupt,30%,4,0,5072,0,4,0,4904,0,
1633282641.201971,1633282641.201971,7,0.0,dilithium2,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282641.355285,1633282641.358536,8,3.2510757446289062,dilithium2,10,corrupt,30%,9,5,10867,1329,13,5,10625,983,
1633282642.402997,1633282642.402997,9,0.0,dilithium2,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282642.563598,1633282642.56684,10,3.242015838623047,dilithium2,10,corrupt,30%,4,0,5072,0,5,0,4904,0,
1633282653.473434,1633282653.476381,11,2.947092056274414,dilithium2,10,corrupt,30%,4,0,5072,0,5,0,4904,0,
1633282664.520866,1633282664.520866,12,0.0,dilithium2,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282664.672378,1633282664.675339,13,2.9609203338623047,dilithium2,10,corrupt,30%,4,0,5072,0,5,0,4904,0,
1633282688.847058,1633282688.847058,14,0.0,dilithium2,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282689.001465,1633282689.001465,15,0.0,dilithium2,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
