Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633291507.108723,1633291507.11332,0,4.597187042236328,dilithium2,10,duplicate,20%,9,5,10855,1329,13,5,10613,983,
1633291508.147391,1633291508.151857,1,4.465818405151367,dilithium2,10,duplicate,20%,12,6,11131,1402,16,6,10763,1014,
1633291509.200327,1633291509.206289,2,5.962133407592773,dilithium2,10,duplicate,20%,9,5,10857,1329,13,5,10615,983,
1633291510.24901,1633291510.254091,3,5.080938339233398,dilithium2,10,duplicate,20%,9,6,10860,1412,13,6,10618,1024,
1633291511.287449,1633291511.292452,4,5.003213882446289,dilithium2,10,duplicate,20%,12,6,12279,1401,17,6,11911,1013,
1633291512.32672,1633291512.332331,5,5.610942840576172,dilithium2,10,duplicate,20%,12,6,12285,1707,18,6,12006,1230,
1633291513.367839,1633291513.37745,6,9.610891342163086,dilithium2,10,duplicate,20%,11,5,11033,1329,15,5,10707,983,
1633291514.41922,1633291514.422663,7,3.443002700805664,dilithium2,10,duplicate,20%,10,6,12102,1707,16,6,11907,1230,
1633291515.474866,1633291515.481979,8,7.112979888916016,dilithium2,10,duplicate,20%,12,5,12287,1329,17,5,11919,983,
1633291516.516735,1633291516.522084,9,5.348920822143555,dilithium2,10,duplicate,20%,12,5,12327,1326,16,5,11956,983,
1633291530.701436,1633291530.706989,10,5.553007125854492,dilithium2,10,duplicate,20%,9,5,10855,1329,13,5,10613,983,
1633291531.748346,1633291531.754328,11,5.981922149658203,dilithium2,10,duplicate,20%,11,7,11045,1779,16,7,10808,1260,
1633291532.793446,1633291532.801688,12,8.241891860961914,dilithium2,10,duplicate,20%,9,5,10864,1329,13,5,10622,983,
1633291533.851637,1633291533.862949,13,11.312007904052734,dilithium2,10,duplicate,20%,11,7,11041,1779,16,7,10804,1260,
1633291534.899532,1633291534.905341,14,5.808830261230469,dilithium2,10,duplicate,20%,10,6,12109,1412,15,6,11825,1024,
1633291535.951087,1633291535.956785,15,5.697965621948242,dilithium2,10,duplicate,20%,12,8,12284,1862,18,8,12005,1301,
1633291536.988377,1633291536.994336,16,5.958795547485352,dilithium2,10,duplicate,20%,11,6,11045,1401,15,6,10719,1013,
1633291538.032685,1633291538.038279,17,5.594015121459961,dilithium2,10,duplicate,20%,9,6,10865,1401,13,6,10623,1013,
1633291539.108453,1633291539.113658,18,5.204916000366211,dilithium2,10,duplicate,20%,11,6,11095,1412,15,6,10769,1024,
1633291540.159982,1633291540.163993,19,4.010915756225586,dilithium2,10,duplicate,20%,11,5,11034,1329,15,5,10708,983,
1633291554.363741,1633291554.370416,20,6.675004959106445,dilithium2,10,duplicate,20%,9,5,10856,1329,13,5,10614,983,
1633291555.41193,1633291555.418145,21,6.21485710144043,dilithium2,10,duplicate,20%,13,6,12375,1412,18,6,11965,1024,
1633291556.466159,1633291556.470982,22,4.822969436645508,dilithium2,10,duplicate,20%,10,6,12102,1401,15,6,11818,1013,
1633291557.526739,1633291557.535182,23,8.443117141723633,dilithium2,10,duplicate,20%,12,7,12283,1487,17,7,11915,1057,
1633291558.600176,1633291558.600176,24,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291558.600202,1633291558.605918,25,5.715847015380859,dilithium2,10,duplicate,20%,9,6,10867,1707,14,6,10714,1230,
1633291559.651276,1633291559.651276,26,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291559.651301,1633291559.658434,27,7.133007049560547,dilithium2,10,duplicate,20%,9,5,10865,1329,13,5,10623,983,
1633291560.695926,1633291560.706288,28,10.36214828491211,dilithium2,10,duplicate,20%,12,5,12282,1329,17,5,11914,983,
1633291561.75349,1633291561.75349,29,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291561.753507,1633291561.759501,30,5.994081497192383,dilithium2,10,duplicate,20%,13,7,12366,1484,18,7,11956,1054,
1633291562.8027,1633291562.807041,31,4.340887069702148,dilithium2,10,duplicate,20%,12,5,12285,1329,17,5,11917,983,
1633291563.844204,1633291563.844204,32,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291563.844231,1633291563.849399,33,5.16819953918457,dilithium2,10,duplicate,20%,9,5,10867,1329,13,5,10625,983,
1633291578.070289,1633291578.070289,34,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291578.070316,1633291578.074794,35,4.477977752685547,dilithium2,10,duplicate,20%,10,5,12104,1329,15,5,11820,983,
1633291579.116864,1633291579.123317,36,6.453037261962891,dilithium2,10,duplicate,20%,12,6,11134,1707,17,6,10855,1230,
1633291580.170214,1633291580.179004,37,8.790016174316406,dilithium2,10,duplicate,20%,11,7,11037,1484,15,7,10711,1054,
1633291581.218282,1633291581.226326,38,8.044004440307617,dilithium2,10,duplicate,20%,13,6,12367,1401,18,6,11957,1013,
1633291582.27084,1633291582.275864,39,5.023956298828125,dilithium2,10,duplicate,20%,11,6,11037,1412,15,6,10711,1024,
1633291583.31544,1633291583.31544,40,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291583.315467,1633291583.319869,41,4.40216064453125,dilithium2,10,duplicate,20%,9,6,10866,1707,14,6,10713,1230,
1633291584.35466,1633291584.360859,42,6.198883056640625,dilithium2,10,duplicate,20%,12,6,11124,1412,16,6,10756,1024,
1633291585.40132,1633291585.40132,43,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291585.401348,1633291585.412054,44,10.705947875976562,dilithium2,10,duplicate,20%,11,6,11042,1412,15,6,10716,1024,
1633291586.455648,1633291586.462714,45,7.066011428833008,dilithium2,10,duplicate,20%,11,6,11036,1401,15,6,10710,1013,
1633291587.503345,1633291587.509967,46,6.622076034545898,dilithium2,10,duplicate,20%,12,6,12279,1401,17,6,11911,1013,
1633291601.658493,1633291601.658493,47,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291601.658519,1633291601.663695,48,5.176067352294922,dilithium2,10,duplicate,20%,10,7,12107,1779,16,7,11912,1260,
1633291602.709919,1633291602.715199,49,5.280017852783203,dilithium2,10,duplicate,20%,11,8,11043,1862,16,8,10806,1301,
1633291603.770602,1633291603.775184,50,4.581928253173828,dilithium2,10,duplicate,20%,12,6,12283,1707,18,6,12004,1230,
1633291604.829272,1633291604.833805,51,4.533052444458008,dilithium2,10,duplicate,20%,9,10,10859,2008,14,10,10706,1363,
1633291605.870524,1633291605.870524,52,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291605.870552,1633291605.875746,53,5.193948745727539,dilithium2,10,duplicate,20%,9,6,10864,1412,13,6,10622,1024,
1633291606.922538,1633291606.930254,54,7.715940475463867,dilithium2,10,duplicate,20%,10,6,12102,1707,16,6,11907,1230,
1633291607.977953,1633291607.977953,55,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291607.977965,1633291607.983377,56,5.411863327026367,dilithium2,10,duplicate,20%,11,5,11039,1329,15,5,10713,983,
1633291609.024439,1633291609.028178,57,3.738880157470703,dilithium2,10,duplicate,20%,9,6,10855,1404,13,6,10613,1016,
1633291610.067407,1633291610.067407,58,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291610.067421,1633291610.071829,59,4.408121109008789,dilithium2,10,duplicate,20%,9,6,10860,1412,13,6,10618,1024,
1633291611.128096,1633291611.128096,60,0.0,dilithium2,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633291611.128114,1633291611.137944,61,9.829998016357422,dilithium2,10,duplicate,20%,10,8,12104,1862,16,8,11909,1301,
1633291631.377006,1633291631.381445,62,4.438877105712891,dilithium2,10,duplicate,20%,11,6,13427,1404,15,6,13101,1016,
1633291632.404871,1633291632.410763,63,5.892038345336914,dilithium2,10,duplicate,20%,13,5,13609,1329,17,5,13199,983,
1633291633.436161,1633291633.442158,64,5.996942520141602,dilithium2,10,duplicate,20%,11,5,13421,1329,15,5,13095,983,
1633291634.466933,1633291634.472131,65,5.198001861572266,dilithium2,10,duplicate,20%,13,5,13600,1329,17,5,13190,983,
1633291635.506867,1633291635.515348,66,8.481025695800781,dilithium2,10,duplicate,20%,13,5,13600,1329,17,5,13190,983,
1633291636.547634,1633291636.554131,67,6.49714469909668,dilithium2,10,duplicate,20%,11,5,13430,1329,15,5,13104,983,
1633291637.583659,1633291637.588777,68,5.118131637573242,dilithium2,10,duplicate,20%,13,5,13605,1329,17,5,13195,983,
1633291638.614075,1633291638.618554,69,4.479169845581055,dilithium2,10,duplicate,20%,11,5,13430,1329,15,5,13104,983,
1633291639.652208,1633291639.659028,70,6.819963455200195,dilithium2,10,duplicate,20%,15,5,13835,1329,19,5,13341,983,
1633291640.691016,1633291640.698879,71,7.863044738769531,dilithium2,10,duplicate,20%,13,5,13603,1329,17,5,13193,983,
1633291654.865323,1633291654.874652,72,9.328842163085938,dilithium2,10,duplicate,20%,13,5,13604,1329,17,5,13194,983,
1633291655.912191,1633291655.918606,73,6.415128707885742,dilithium2,10,duplicate,20%,13,5,13604,1329,17,5,13194,983,
1633291656.956558,1633291656.962311,74,5.753040313720703,dilithium2,10,duplicate,20%,11,5,13424,1329,15,5,13098,983,
1633291658.003488,1633291658.009527,75,6.038904190063477,dilithium2,10,duplicate,20%,13,5,13597,1329,17,5,13187,983,
1633291659.054168,1633291659.05952,76,5.352020263671875,dilithium2,10,duplicate,20%,11,6,13420,1412,15,6,13094,1024,
1633291660.098757,1633291660.103862,77,5.105018615722656,dilithium2,10,duplicate,20%,13,6,13607,1412,17,6,13197,1024,
1633291661.147136,1633291661.154483,78,7.34710693359375,dilithium2,10,duplicate,20%,11,6,13421,1412,15,6,13095,1024,
1633291662.188724,1633291662.198436,79,9.711980819702148,dilithium2,10,duplicate,20%,13,5,13604,1329,17,5,13194,983,
1633291663.238299,1633291663.245164,80,6.865024566650391,dilithium2,10,duplicate,20%,15,5,13836,1329,19,5,13342,983,
1633291664.290649,1633291664.298413,81,7.764101028442383,dilithium2,10,duplicate,20%,13,5,13604,1329,17,5,13194,983,
1633291678.43185,1633291678.439436,82,7.586002349853516,dilithium2,10,duplicate,20%,14,6,14849,1401,19,6,14397,1013,
1633291679.488193,1633291679.493651,83,5.457878112792969,dilithium2,10,duplicate,20%,13,5,13601,1329,17,5,13191,983,
1633291680.534167,1633291680.53936,84,5.192995071411133,dilithium2,10,duplicate,20%,13,5,13607,1329,17,5,13197,983,
1633291681.57776,1633291681.581879,85,4.118919372558594,dilithium2,10,duplicate,20%,11,7,13422,1475,15,7,13096,1045,
1633291682.645109,1633291682.651274,86,6.165027618408203,dilithium2,10,duplicate,20%,13,6,13648,1409,17,6,13235,1024,
1633291683.690359,1633291683.698719,87,8.359909057617188,dilithium2,10,duplicate,20%,14,7,13686,1475,18,7,13234,1045,
1633291684.746505,1633291684.755646,88,9.140968322753906,dilithium2,10,duplicate,20%,13,5,13607,1329,17,5,13197,983,
1633291685.795072,1633291685.801921,89,6.848812103271484,dilithium2,10,duplicate,20%,15,5,13825,1329,19,5,13331,983,
1633291686.846264,1633291686.851029,90,4.765033721923828,dilithium2,10,duplicate,20%,13,5,13600,1329,17,5,13190,983,
1633291687.886228,1633291687.891066,91,4.837989807128906,dilithium2,10,duplicate,20%,11,5,13425,1329,15,5,13099,983,
1633291702.026412,1633291702.035542,92,9.130001068115234,dilithium2,10,duplicate,20%,14,5,13691,1329,18,5,13239,983,
1633291703.075427,1633291703.079607,93,4.179954528808594,dilithium2,10,duplicate,20%,14,5,13742,1329,18,5,13290,983,
1633291704.116483,1633291704.121304,94,4.821062088012695,dilithium2,10,duplicate,20%,15,5,13825,1329,19,5,13331,983,
1633291705.156392,1633291705.163818,95,7.425785064697266,dilithium2,10,duplicate,20%,16,5,15076,1329,20,5,14540,983,
1633291706.202268,1633291706.207102,96,4.834175109863281,dilithium2,10,duplicate,20%,11,5,13420,1329,15,5,13094,983,
1633291707.254879,1633291707.261852,97,6.973028182983398,dilithium2,10,duplicate,20%,11,6,13426,1401,15,6,13100,1013,
1633291708.318773,1633291708.327552,98,8.779048919677734,dilithium2,10,duplicate,20%,13,5,13604,1329,17,5,13194,983,
1633291709.359662,1633291709.365879,99,6.217002868652344,dilithium2,10,duplicate,20%,13,5,13605,1329,17,5,13195,983,
