Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633282805.695755,1633282805.699788,0,4.033088684082031,dilithium3,10,corrupt,0%,11,7,13426,1475,15,7,13100,1045,
1633282806.739889,1633282806.743746,1,3.857135772705078,dilithium3,10,corrupt,0%,11,7,13421,1475,15,7,13095,1045,
1633282807.776987,1633282807.781849,2,4.8618316650390625,dilithium3,10,corrupt,0%,11,6,13425,1404,15,6,13099,1016,
1633282808.810933,1633282808.8201,3,9.166955947875977,dilithium3,10,corrupt,0%,13,5,13604,1329,17,5,13194,983,
1633282809.843792,1633282809.849695,4,5.903005599975586,dilithium3,10,corrupt,0%,13,5,13598,1329,17,5,13188,983,
1633282810.874047,1633282810.881721,5,7.673978805541992,dilithium3,10,corrupt,0%,11,5,13422,1329,15,5,13096,983,
1633282811.914075,1633282811.92136,6,7.285118103027344,dilithium3,10,corrupt,0%,13,5,13603,1329,17,5,13193,983,
1633282812.972172,1633282812.976862,7,4.689931869506836,dilithium3,10,corrupt,0%,13,5,13604,1329,17,5,13194,983,
1633282813.999543,1633282814.006691,8,7.148027420043945,dilithium3,10,corrupt,0%,13,5,13609,1329,17,5,13199,983,
1633282815.029852,1633282815.035972,9,6.120204925537109,dilithium3,10,corrupt,0%,13,5,13600,1329,17,5,13190,983,
1633282829.15808,1633282829.163347,10,5.266904830932617,dilithium3,10,corrupt,0%,13,5,13599,1329,17,5,13189,983,
1633282830.198448,1633282830.20574,11,7.292032241821289,dilithium3,10,corrupt,0%,13,5,13597,1329,17,5,13187,983,
1633282831.245422,1633282831.250152,12,4.730224609375,dilithium3,10,corrupt,0%,11,5,13422,1329,15,5,13096,983,
1633282832.283882,1633282832.289415,13,5.532979965209961,dilithium3,10,corrupt,0%,13,5,13598,1329,17,5,13188,983,
1633282833.324251,1633282833.324251,14,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633282833.480225,1633282833.485714,15,5.488872528076172,dilithium3,10,corrupt,0%,13,5,13599,1329,17,5,13189,983,
1633282834.53609,1633282834.54332,16,7.230043411254883,dilithium3,10,corrupt,0%,13,5,13601,1329,17,5,13191,983,
1633282835.595094,1633282835.59977,17,4.676103591918945,dilithium3,10,corrupt,0%,13,5,13609,1329,17,5,13199,983,
1633282836.636234,1633282836.64289,18,6.65593147277832,dilithium3,10,corrupt,0%,13,5,13601,1329,17,5,13191,983,
1633282837.687076,1633282837.69564,19,8.563995361328125,dilithium3,10,corrupt,0%,12,5,13512,1331,16,5,13146,983,
1633282838.745285,1633282838.747882,20,2.5968551635742188,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633282863.084091,1633282863.08746,21,3.3690929412841797,dilithium3,10,corrupt,0%,11,5,13429,1329,15,5,13103,983,
1633282864.126726,1633282864.133397,22,6.67119026184082,dilithium3,10,corrupt,0%,13,5,13609,1329,17,5,13199,983,
1633282865.168391,1633282865.17521,23,6.819009780883789,dilithium3,10,corrupt,0%,15,5,13787,1329,19,5,13293,983,
1633282866.226386,1633282866.234181,24,7.794857025146484,dilithium3,10,corrupt,0%,15,29,13788,4912,19,29,13294,3558,
1633282867.299387,1633282867.32181,25,22.42302894592285,dilithium3,10,corrupt,0%,21,7,15979,1836,27,7,15372,1267,
1633282868.360722,1633282868.367159,26,6.436824798583984,dilithium3,10,corrupt,0%,15,5,13833,1329,19,5,13339,983,
1633282869.419257,1633282869.4266,27,7.343053817749023,dilithium3,10,corrupt,0%,19,5,14149,1331,23,5,13489,983,
1633282870.463049,1633282870.470284,28,7.235050201416016,dilithium3,10,corrupt,0%,11,5,13430,1329,15,5,13104,983,
1633282871.51493,1633282871.522647,29,7.716894149780273,dilithium3,10,corrupt,0%,15,31,13777,5039,19,31,13283,3601,
1633282872.569222,1633282872.574362,30,5.140066146850586,dilithium3,10,corrupt,0%,12,5,13515,1329,15,5,13147,983,
1633282886.76455,1633282886.771898,31,7.348060607910156,dilithium3,10,corrupt,0%,15,5,13782,1329,19,5,13288,983,
1633282887.808258,1633282887.815047,32,6.788969039916992,dilithium3,10,corrupt,0%,17,5,13966,1331,20,5,13390,983,
1633282888.856179,1633282888.856179,33,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633282889.007293,1633282889.007293,34,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633282889.310096,1633282889.316672,35,6.576061248779297,dilithium3,10,corrupt,0%,19,27,14187,5756,23,27,13524,4487,
1633282890.363858,1633282890.370503,36,6.644964218139648,dilithium3,10,corrupt,0%,16,5,13876,1329,19,5,13340,983,
1633282891.430354,1633282891.438133,37,7.77888298034668,dilithium3,10,corrupt,0%,18,5,14051,1329,22,5,13431,983,
1633282892.475439,1633282892.483304,38,7.864952087402344,dilithium3,10,corrupt,0%,17,5,13955,1329,20,5,13377,983,
1633282893.527072,1633282893.531581,39,4.50897216796875,dilithium3,10,corrupt,0%,11,5,13420,1329,15,5,13094,983,
1633282894.579476,1633282894.585515,40,6.038904190063477,dilithium3,10,corrupt,0%,13,31,13604,5039,17,31,13194,3601,
1633282895.621321,1633282895.626343,41,5.0220489501953125,dilithium3,10,corrupt,0%,13,5,13655,1329,17,5,13245,983,
1633282896.662256,1633282896.677907,42,15.65098762512207,dilithium3,10,corrupt,0%,22,9,14935,1844,26,9,14149,1328,
1633282911.101941,1633282911.10737,43,5.428791046142578,dilithium3,10,corrupt,0%,13,28,13654,5827,17,28,13242,4517,
1633282912.150083,1633282912.15382,44,3.7369728088378906,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633282923.214313,1633282923.22037,45,6.057024002075195,dilithium3,10,corrupt,0%,18,7,14101,1474,22,7,13480,1045,
1633282924.270234,1633282924.2781,46,7.86590576171875,dilithium3,10,corrupt,0%,17,31,13962,5039,21,31,13384,3601,
1633282925.32605,1633282925.333628,47,7.5778961181640625,dilithium3,10,corrupt,0%,17,5,13963,1331,21,5,13387,983,
1633282926.375365,1633282926.383038,48,7.673025131225586,dilithium3,10,corrupt,0%,12,5,13511,1331,16,5,13145,983,
1633282927.431868,1633282927.435005,49,3.136873245239258,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633282938.482722,1633282938.486807,50,4.085063934326172,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633282949.580271,1633282949.586337,51,6.066083908081055,dilithium3,10,corrupt,0%,11,5,13474,1326,15,5,13145,983,
1633282950.627865,1633282950.63483,52,6.964921951293945,dilithium3,10,corrupt,0%,17,5,13968,1331,21,5,13392,983,
1633282964.78344,1633282964.78344,53,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633282964.942584,1633282964.958992,54,16.40796661376953,dilithium3,10,corrupt,0%,19,8,17081,1823,24,8,16473,1297,
1633282966.00214,1633282966.006645,55,4.504919052124023,dilithium3,10,corrupt,0%,5,0,5161,0,5,0,4951,0,
1633282977.06663,1633282977.070534,56,3.904104232788086,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633282988.118386,1633282988.122857,57,4.471063613891602,dilithium3,10,corrupt,0%,16,5,13868,1331,19,5,13334,983,
1633282989.164681,1633282989.168472,58,3.7910938262939453,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633283000.223559,1633283000.223559,59,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633283000.374047,1633283000.377645,60,3.5979747772216797,dilithium3,10,corrupt,0%,11,5,13422,1331,15,5,13098,983,
1633283001.433827,1633283001.442204,61,8.3770751953125,dilithium3,10,corrupt,0%,13,28,13598,4815,17,28,13188,3503,
1633283002.484423,1633283002.529029,62,44.60597038269043,dilithium3,10,corrupt,0%,20,33,17177,7496,26,33,16609,5838,
1633283003.763499,1633283003.771101,63,7.60197639465332,dilithium3,10,corrupt,0%,13,31,13601,5039,17,31,13191,3601,
1633283004.81194,1633283004.828395,64,16.45493507385254,dilithium3,10,corrupt,0%,24,11,22353,2210,29,11,21485,1608,
1633283019.241966,1633283019.241966,65,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633283019.396014,1633283019.398487,66,2.473115921020508,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633283030.291623,1633283030.299454,67,7.83085823059082,dilithium3,10,corrupt,0%,13,4,13598,1246,17,4,13188,942,
1633283031.339755,1633283031.339755,68,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633283031.500079,1633283031.505009,69,4.930019378662109,dilithium3,10,corrupt,0%,13,5,13599,1329,17,5,13189,983,
1633283032.547341,1633283032.576378,70,29.036998748779297,dilithium3,10,corrupt,0%,15,15,13820,3070,21,15,13463,2167,
1633283033.695064,1633283033.698763,71,3.6988258361816406,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633283044.739286,1633283044.739286,72,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633283044.892515,1633283044.89661,73,4.0950775146484375,dilithium3,10,corrupt,0%,13,5,13659,1331,17,5,13251,983,
1633283045.934286,1633283045.940792,74,6.5059661865234375,dilithium3,10,corrupt,0%,13,5,13606,1331,17,5,13198,983,
1633283046.99504,1633283046.99504,75,0.0,dilithium3,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633283047.145723,1633283047.148875,76,3.1518936157226562,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
1633283058.083239,1633283058.09932,77,16.080856323242188,dilithium3,10,corrupt,0%,23,14,22281,2651,28,14,21453,1925,
1633283059.206253,1633283059.209079,78,2.8259754180908203,dilithium3,10,corrupt,0%,4,0,5072,0,5,0,4904,0,
