Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633283083.587811,1633283083.587811,0,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283083.741012,1633283083.741012,1,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283084.043759,1633283084.043759,2,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283084.645226,1633283084.650238,3,5.012035369873047,dilithium3,10,corrupt,35%,13,5,13603,1329,17,5,13193,983,
1633283085.690941,1633283085.690941,4,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283085.84168,1633283085.858213,5,16.53289794921875,dilithium3,10,corrupt,35%,23,15,19778,2643,29,15,19075,1750,
1633283087.315152,1633283087.319398,6,4.245996475219727,dilithium3,10,corrupt,35%,12,5,13517,1331,16,5,13151,983,
1633283088.363519,1633283088.366222,7,2.702951431274414,dilithium3,10,corrupt,35%,4,0,5072,0,5,0,4904,0,
1633283099.448382,1633283099.464774,8,16.391992568969727,dilithium3,10,corrupt,35%,21,30,18428,7901,26,30,17730,6457,
1633283100.511409,1633283100.51718,9,5.77092170715332,dilithium3,10,corrupt,35%,12,31,13518,5041,16,31,13152,3601,
1633283101.558512,1633283101.562619,10,4.106998443603516,dilithium3,10,corrupt,35%,4,0,5072,0,5,0,4904,0,
1633283112.609888,1633283112.609888,11,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283113.071296,1633283113.071296,12,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283113.677049,1633283113.680216,13,3.1671524047851562,dilithium3,10,corrupt,35%,4,0,5072,0,5,0,4904,0,
1633283123.671429,1633283123.671429,14,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283123.823218,1633283123.825836,15,2.6178359985351562,dilithium3,10,corrupt,35%,4,0,5072,0,5,0,4904,0,
1633283134.734612,1633283134.751328,16,16.71600341796875,dilithium3,10,corrupt,35%,17,7,16815,1834,23,7,16374,1267,
1633283203.120814,1633283203.120814,17,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283203.278343,1633283203.278343,18,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283203.582606,1633283203.582606,19,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283204.18418,1633283204.18418,20,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283205.392533,1633283205.392533,21,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283207.80374,1633283207.808738,22,4.997968673706055,dilithium3,10,corrupt,35%,14,5,13740,1331,18,5,13290,983,
1633283208.84775,1633283208.866796,23,19.04606819152832,dilithium3,10,corrupt,35%,22,14,22106,2986,28,14,21445,2135,
1633283209.969312,1633283209.988171,24,18.859148025512695,dilithium3,10,corrupt,35%,23,17,22312,2874,28,17,21484,2022,
1633283211.076426,1633283211.083003,25,6.577014923095703,dilithium3,10,corrupt,35%,13,5,13598,1329,17,5,13188,983,
1633283212.120939,1633283212.16156,26,40.621042251586914,dilithium3,10,corrupt,35%,31,42,30685,9959,36,42,29521,8057,
1633283213.286612,1633283213.305663,27,19.051074981689453,dilithium3,10,corrupt,35%,19,35,18290,7455,25,35,17680,5797,
1633283214.365998,1633283214.365998,28,0.0,dilithium3,10,corrupt,35%,1,0,1242,0,1,0,1200,0,
1633283214.520754,1633283214.525617,29,4.862785339355469,dilithium3,10,corrupt,35%,14,5,13695,1329,17,5,13243,983,
1633283215.558851,1633283215.562755,30,3.904104232788086,dilithium3,10,corrupt,35%,4,0,5072,0,5,0,4904,0,
1633283226.616197,1633283226.620031,31,3.8340091705322266,dilithium3,10,corrupt,35%,11,5,13428,1331,15,5,13104,983,
1633283227.680096,1633283227.68294,32,2.844095230102539,dilithium3,10,corrupt,35%,5,0,5161,0,5,0,4951,0,
1633283276.079322,1633283276.087671,33,8.348941802978516,dilithium3,10,corrupt,35%,16,5,17110,1329,20,5,16574,983,
