Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633291631.376995,1633291631.381445,0,4.4498443603515625,dilithium3,10,duplicate,0%,11,6,13427,1404,15,6,13101,1016,
1633291632.404862,1633291632.410761,1,5.899190902709961,dilithium3,10,duplicate,0%,13,5,13609,1329,17,5,13199,983,
1633291633.436157,1633291633.442157,2,6.000041961669922,dilithium3,10,duplicate,0%,11,5,13421,1329,15,5,13095,983,
1633291634.466929,1633291634.472128,3,5.198955535888672,dilithium3,10,duplicate,0%,13,5,13600,1329,17,5,13190,983,
1633291635.506857,1633291635.515345,4,8.488178253173828,dilithium3,10,duplicate,0%,13,5,13600,1329,17,5,13190,983,
1633291636.547625,1633291636.55413,5,6.505012512207031,dilithium3,10,duplicate,0%,11,5,13430,1329,15,5,13104,983,
1633291637.583655,1633291637.588767,6,5.111932754516602,dilithium3,10,duplicate,0%,13,5,13605,1329,17,5,13195,983,
1633291638.614064,1633291638.618553,7,4.488945007324219,dilithium3,10,duplicate,0%,11,5,13430,1329,15,5,13104,983,
1633291639.652204,1633291639.659025,8,6.820917129516602,dilithium3,10,duplicate,0%,15,5,13835,1329,19,5,13341,983,
1633291640.691007,1633291640.698876,9,7.86900520324707,dilithium3,10,duplicate,0%,13,5,13603,1329,17,5,13193,983,
1633291654.865316,1633291654.874648,10,9.33218002319336,dilithium3,10,duplicate,0%,13,5,13604,1329,17,5,13194,983,
1633291655.912186,1633291655.918598,11,6.412029266357422,dilithium3,10,duplicate,0%,13,5,13604,1329,17,5,13194,983,
1633291656.95655,1633291656.96231,12,5.76019287109375,dilithium3,10,duplicate,0%,11,5,13424,1329,15,5,13098,983,
1633291658.003482,1633291658.009523,13,6.040811538696289,dilithium3,10,duplicate,0%,13,5,13597,1329,17,5,13187,983,
1633291659.054163,1633291659.059519,14,5.356073379516602,dilithium3,10,duplicate,0%,11,6,13420,1412,15,6,13094,1024,
1633291660.098749,1633291660.103859,15,5.110025405883789,dilithium3,10,duplicate,0%,13,6,13607,1412,17,6,13197,1024,
1633291661.147129,1633291661.154482,16,7.3528289794921875,dilithium3,10,duplicate,0%,11,6,13421,1412,15,6,13095,1024,
1633291662.188718,1633291662.198432,17,9.713888168334961,dilithium3,10,duplicate,0%,13,5,13604,1329,17,5,13194,983,
1633291663.238291,1633291663.245161,18,6.870031356811523,dilithium3,10,duplicate,0%,15,5,13836,1329,19,5,13342,983,
1633291664.290644,1633291664.29841,19,7.766008377075195,dilithium3,10,duplicate,0%,13,5,13604,1329,17,5,13194,983,
1633291678.431842,1633291678.439433,20,7.591009140014648,dilithium3,10,duplicate,0%,14,6,14849,1401,19,6,14397,1013,
1633291679.488189,1633291679.493649,21,5.460023880004883,dilithium3,10,duplicate,0%,13,5,13601,1329,17,5,13191,983,
1633291680.53416,1633291680.539357,22,5.197048187255859,dilithium3,10,duplicate,0%,13,5,13607,1329,17,5,13197,983,
1633291681.577756,1633291681.581877,23,4.121065139770508,dilithium3,10,duplicate,0%,11,7,13422,1475,15,7,13096,1045,
1633291682.6451,1633291682.651272,24,6.171941757202148,dilithium3,10,duplicate,0%,13,6,13648,1409,17,6,13235,1024,
1633291683.69035,1633291683.698716,25,8.365869522094727,dilithium3,10,duplicate,0%,14,7,13686,1475,18,7,13234,1045,
1633291684.7465,1633291684.755643,26,9.142875671386719,dilithium3,10,duplicate,0%,13,5,13607,1329,17,5,13197,983,
1633291685.79507,1633291685.801918,27,6.84809684753418,dilithium3,10,duplicate,0%,15,5,13825,1329,19,5,13331,983,
1633291686.846256,1633291686.851026,28,4.770040512084961,dilithium3,10,duplicate,0%,13,5,13600,1329,17,5,13190,983,
1633291687.886223,1633291687.891065,29,4.841804504394531,dilithium3,10,duplicate,0%,11,5,13425,1329,15,5,13099,983,
1633291702.026406,1633291702.035536,30,9.130001068115234,dilithium3,10,duplicate,0%,14,5,13691,1329,18,5,13239,983,
1633291703.075421,1633291703.079607,31,4.185914993286133,dilithium3,10,duplicate,0%,14,5,13742,1329,18,5,13290,983,
1633291704.116475,1633291704.121301,32,4.825830459594727,dilithium3,10,duplicate,0%,15,5,13825,1329,19,5,13331,983,
1633291705.156385,1633291705.163816,33,7.4310302734375,dilithium3,10,duplicate,0%,16,5,15076,1329,20,5,14540,983,
1633291706.202265,1633291706.207101,34,4.836082458496094,dilithium3,10,duplicate,0%,11,5,13420,1329,15,5,13094,983,
1633291707.254871,1633291707.261851,35,6.980180740356445,dilithium3,10,duplicate,0%,11,6,13426,1401,15,6,13100,1013,
1633291708.318765,1633291708.32755,36,8.785009384155273,dilithium3,10,duplicate,0%,13,5,13604,1329,17,5,13194,983,
1633291709.359653,1633291709.365877,37,6.223917007446289,dilithium3,10,duplicate,0%,13,5,13605,1329,17,5,13195,983,
1633291710.41449,1633291710.421903,38,7.412910461425781,dilithium3,10,duplicate,0%,13,6,13603,1401,17,6,13193,1013,
1633291711.463739,1633291711.467648,39,3.9091110229492188,dilithium3,10,duplicate,0%,11,5,13429,1329,15,5,13103,983,
1633291725.623702,1633291725.631225,40,7.523059844970703,dilithium3,10,duplicate,0%,16,5,13926,1329,20,5,13390,983,
1633291726.666094,1633291726.666094,41,0.0,dilithium3,10,duplicate,0%,1,0,1242,0,1,0,1200,0,
1633291726.66612,1633291726.672414,42,6.294012069702148,dilithium3,10,duplicate,0%,15,5,13833,1329,19,5,13339,983,
1633291727.714445,1633291727.723148,43,8.702993392944336,dilithium3,10,duplicate,0%,13,5,13597,1329,17,5,13187,983,
1633291728.76382,1633291728.770288,44,6.468057632446289,dilithium3,10,duplicate,0%,11,5,13421,1329,15,5,13095,983,
1633291729.829585,1633291729.836664,45,7.078886032104492,dilithium3,10,duplicate,0%,12,5,14669,1329,17,5,14301,983,
1633291730.88617,1633291730.890301,46,4.131078720092773,dilithium3,10,duplicate,0%,15,6,14940,1412,20,6,14446,1024,
1633291731.931611,1633291731.936969,47,5.357980728149414,dilithium3,10,duplicate,0%,12,6,14664,1401,17,6,14296,1013,
1633291732.982576,1633291732.982576,48,0.0,dilithium3,10,duplicate,0%,1,0,1242,0,1,0,1200,0,
1633291732.982609,1633291732.990783,49,8.173942565917969,dilithium3,10,duplicate,0%,13,5,13603,1329,17,5,13193,983,
1633291734.046187,1633291734.054103,50,7.915973663330078,dilithium3,10,duplicate,0%,13,6,13605,1707,18,6,13284,1230,
1633291735.107719,1633291735.114665,51,6.946086883544922,dilithium3,10,duplicate,0%,14,5,14850,1329,19,5,14398,983,
1633291749.306134,1633291749.312444,52,6.309986114501953,dilithium3,10,duplicate,0%,14,5,13693,1329,18,5,13241,983,
1633291750.35916,1633291750.36285,53,3.690004348754883,dilithium3,10,duplicate,0%,11,6,13425,1412,15,6,13099,1024,
1633291751.415958,1633291751.42038,54,4.422187805175781,dilithium3,10,duplicate,0%,13,6,13606,1412,17,6,13196,1024,
1633291752.459995,1633291752.463761,55,3.7660598754882812,dilithium3,10,duplicate,0%,12,5,14671,1329,17,5,14303,983,
1633291753.531024,1633291753.538027,56,7.003068923950195,dilithium3,10,duplicate,0%,11,6,13431,1401,15,6,13105,1013,
1633291754.578014,1633291754.586701,57,8.687019348144531,dilithium3,10,duplicate,0%,15,7,14940,1779,21,7,14535,1260,
