Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633291820.183373,1633291820.183373,0,0.0,dilithium3,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291820.18342,1633291820.189282,1,5.861997604370117,dilithium3,10,duplicate,40%,11,7,13422,1779,16,7,13185,1260,
1633291821.237953,1633291821.237953,2,0.0,dilithium3,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291821.238,1633291821.244451,3,6.451129913330078,dilithium3,10,duplicate,40%,12,7,14661,1484,17,7,14293,1054,
1633291822.297136,1633291822.297136,4,0.0,dilithium3,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291822.297164,1633291822.303396,5,6.232023239135742,dilithium3,10,duplicate,40%,16,7,13867,1781,21,7,13420,1262,
1633291823.35152,1633291823.35152,6,0.0,dilithium3,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291823.351551,1633291823.35853,7,6.9789886474609375,dilithium3,10,duplicate,40%,11,8,13427,1862,16,8,13190,1301,
1633291824.399463,1633291824.406859,8,7.39598274230957,dilithium3,10,duplicate,40%,15,7,13828,1484,19,7,13334,1054,
1633291825.446398,1633291825.45438,9,7.982015609741211,dilithium3,10,duplicate,40%,15,6,14932,1412,20,6,14438,1024,
1633291826.495461,1633291826.495461,10,0.0,dilithium3,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291826.495492,1633291826.50024,11,4.748106002807617,dilithium3,10,duplicate,40%,11,6,13421,1401,15,6,13095,1013,
1633291827.545853,1633291827.551804,12,5.951166152954102,dilithium3,10,duplicate,40%,16,6,13870,1401,20,6,13334,1013,
1633291828.606002,1633291828.610655,13,4.652976989746094,dilithium3,10,duplicate,40%,12,6,14662,1707,18,6,14383,1230,
1633291829.659672,1633291829.665689,14,6.016969680786133,dilithium3,10,duplicate,40%,14,5,14896,1329,18,5,14444,983,
1633291849.987767,1633291849.992155,15,4.388093948364258,dilithium3,10,duplicate,40%,14,5,16931,1329,18,5,16479,983,
1633291851.039851,1633291851.047427,16,7.57598876953125,dilithium3,10,duplicate,40%,18,5,17342,1326,22,5,16719,983,
1633291852.083616,1633291852.090242,17,6.625890731811523,dilithium3,10,duplicate,40%,14,5,16937,1329,18,5,16485,983,
1633291853.126835,1633291853.13424,18,7.404804229736328,dilithium3,10,duplicate,40%,16,7,17116,1475,20,7,16580,1045,
1633291854.169961,1633291854.176627,19,6.665945053100586,dilithium3,10,duplicate,40%,14,5,16942,1329,18,5,16490,983,
