Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633273843.535446,1633273843.551991,0,16.54505729675293,dilithium3,10,loss,20%,20,5,22377,1373,25,5,21721,979,
1633273844.742957,1633273844.745581,1,2.6237964630126953,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273855.643033,1633273855.649814,2,6.780862808227539,dilithium3,10,loss,20%,13,30,13605,4967,17,30,13195,3571,
1633273856.852493,1633273856.856954,3,4.461050033569336,dilithium3,10,loss,20%,13,5,13649,1326,17,5,13236,983,
1633273857.898145,1633273857.903474,4,5.329132080078125,dilithium3,10,loss,20%,11,7,13430,1475,15,7,13104,1045,
1633273858.947908,1633273858.95474,5,6.832122802734375,dilithium3,10,loss,20%,13,5,13604,1329,17,5,13194,983,
1633273859.988985,1633273859.994039,6,5.053997039794922,dilithium3,10,loss,20%,13,4,13603,1246,17,4,13193,942,
1633273861.027194,1633273861.034071,7,6.876945495605469,dilithium3,10,loss,20%,11,30,13426,4967,15,30,13100,3571,
1633273862.222264,1633273862.226132,8,3.8678646087646484,dilithium3,10,loss,20%,11,4,13421,1248,15,4,13097,942,
1633273863.267405,1633273863.269568,9,2.162933349609375,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273887.474233,1633273887.48352,10,9.287118911743164,dilithium3,10,loss,20%,13,30,13609,4967,17,30,13199,3571,
1633273888.528195,1633273888.546823,11,18.62812042236328,dilithium3,10,loss,20%,22,10,22091,1694,26,10,21300,1141,
1633273889.610423,1633273889.612602,12,2.1789073944091797,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273900.672729,1633273900.6948,13,22.070884704589844,dilithium3,10,loss,20%,21,11,22080,1902,25,11,21247,1391,
1633273901.73921,1633273901.741527,14,2.317190170288086,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273912.794496,1633273912.79864,15,4.143953323364258,dilithium3,10,loss,20%,11,4,13428,1248,15,4,13104,942,
1633273913.988,1633273913.992621,16,4.621028900146484,dilithium3,10,loss,20%,13,4,13605,1246,17,4,13195,942,
1633273915.02999,1633273915.034878,17,4.888057708740234,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273926.090119,1633273926.092998,18,2.8791427612304688,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273937.135716,1633273937.142379,19,6.663084030151367,dilithium3,10,loss,20%,13,5,13600,1329,17,5,13190,983,
1633273951.707989,1633273951.710595,20,2.605915069580078,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273962.325831,1633273962.334174,21,8.342981338500977,dilithium3,10,loss,20%,11,5,13421,1329,15,5,13095,983,
1633273963.516312,1633273963.520146,22,3.8340091705322266,dilithium3,10,loss,20%,11,26,13428,5674,15,26,13102,4446,
1633273964.551671,1633273964.569821,23,18.149852752685547,dilithium3,10,loss,20%,22,30,22093,8901,27,30,21355,7455,
1633273965.620216,1633273965.6242,24,3.984212875366211,dilithium3,10,loss,20%,11,4,13428,1246,15,4,13102,942,
1633273966.6598,1633273966.678662,25,18.862009048461914,dilithium3,10,loss,20%,18,28,18115,10141,23,28,17545,8779,
1633273967.7151,1633273967.720073,26,4.972934722900391,dilithium3,10,loss,20%,11,4,13423,1248,15,4,13099,942,
1633273968.916176,1633273968.920623,27,4.446983337402344,dilithium3,10,loss,20%,15,28,13827,4840,19,28,13333,3528,
1633273969.955106,1633273969.958684,28,3.5779476165771484,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633273981.463209,1633273981.478205,29,14.996051788330078,dilithium3,10,loss,20%,23,30,22277,6320,27,30,21360,5011,
1633273995.988324,1633273995.993484,30,5.160093307495117,dilithium3,10,loss,20%,13,4,13597,1246,17,4,13187,942,
1633273997.191988,1633273997.206828,31,14.840126037597656,dilithium3,10,loss,20%,20,9,18370,1540,24,9,17579,1113,
1633273998.279671,1633273998.282679,32,3.008127212524414,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633274009.476468,1633274009.561976,33,85.50786972045898,dilithium3,10,loss,20%,37,32,38894,9551,41,32,37389,8158,
1633274010.761524,1633274010.76393,34,2.4061203002929688,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633274021.673088,1633274021.678574,35,5.486011505126953,dilithium3,10,loss,20%,11,4,13421,1246,15,4,13095,942,
1633274022.869507,1633274023.109194,36,239.6869659423828,dilithium3,10,loss,20%,24,9,23613,1604,28,9,22654,1177,
1633274024.22858,1633274024.251347,37,22.767066955566406,dilithium3,10,loss,20%,21,12,20937,1981,24,12,20104,1428,
1633274025.309243,1633274025.31382,38,4.576921463012695,dilithium3,10,loss,20%,11,7,13427,1475,15,7,13101,1045,
1633274026.36705,1633274026.37333,39,6.280183792114258,dilithium3,10,loss,20%,11,30,13427,4967,15,30,13101,3571,
1633274043.97276,1633274043.978417,40,5.656957626342773,dilithium3,10,loss,20%,13,5,13655,1329,17,5,13245,983,
1633274045.027889,1633274045.032864,41,4.975080490112305,dilithium3,10,loss,20%,15,4,13832,1246,19,4,13338,942,
1633274046.070391,1633274046.074909,42,4.518032073974609,dilithium3,10,loss,20%,11,27,13431,4743,15,27,13105,3473,
1633274047.116496,1633274047.122453,43,5.956888198852539,dilithium3,10,loss,20%,11,28,13470,4837,15,28,13141,3528,
1633274048.156324,1633274048.178313,44,21.989107131958008,dilithium3,10,loss,20%,21,12,22094,1801,25,12,21261,1248,
1633274049.475367,1633274049.49134,45,15.97285270690918,dilithium3,10,loss,20%,22,7,22097,1470,26,7,21306,1043,
1633274050.523564,1633274050.553284,46,29.719829559326172,dilithium3,10,loss,20%,27,10,26711,1621,31,10,25628,1150,
1633274052.050037,1633274052.066821,47,16.784191131591797,dilithium3,10,loss,20%,17,8,17287,1543,21,8,16704,1076,
1633274053.257998,1633274053.259791,48,1.79290771484375,dilithium3,10,loss,20%,3,0,3830,0,3,0,3704,0,
1633274064.156109,1633274064.162385,49,6.27589225769043,dilithium3,10,loss,20%,13,5,13599,1329,17,5,13189,983,
1633274084.634884,1633274084.641583,50,6.698846817016602,dilithium3,10,loss,20%,14,5,16938,1329,18,5,16486,983,
1633274085.675499,1633274085.679249,51,3.7500858306884766,dilithium3,10,loss,20%,14,5,16935,1329,18,5,16483,983,
1633274086.717281,1633274086.722901,52,5.620002746582031,dilithium3,10,loss,20%,16,5,17117,1329,20,5,16581,983,
1633274087.755922,1633274087.762638,53,6.716012954711914,dilithium3,10,loss,20%,14,5,16936,1329,18,5,16484,983,
1633274088.790197,1633274088.796254,54,6.057024002075195,dilithium3,10,loss,20%,16,5,17114,1329,20,5,16578,983,
1633274089.826446,1633274089.833662,55,7.215976715087891,dilithium3,10,loss,20%,14,5,16930,1329,18,5,16478,983,
1633274090.861986,1633274090.867613,56,5.627155303955078,dilithium3,10,loss,20%,14,5,16940,1329,18,5,16488,983,
1633274091.90669,1633274091.912245,57,5.555152893066406,dilithium3,10,loss,20%,16,5,17120,1329,20,5,16584,983,
1633274092.951206,1633274092.958982,58,7.776021957397461,dilithium3,10,loss,20%,16,5,17113,1329,20,5,16577,983,
1633274093.987269,1633274094.002226,59,14.957189559936523,dilithium3,10,loss,20%,16,5,17114,1329,20,5,16578,983,
1633274108.136439,1633274108.143892,60,7.452964782714844,dilithium3,10,loss,20%,16,5,17116,1329,20,5,16580,983,
