Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633283530.605633,1633283530.605633,0,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283530.758602,1633283530.76317,1,4.5680999755859375,dilithium5,10,corrupt,40%,15,5,17030,1331,19,5,16538,983,
1633283531.811377,1633283531.811377,2,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283531.967722,1633283531.967722,3,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283532.269601,1633283532.269601,4,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283532.876251,1633283532.879232,5,2.980947494506836,dilithium5,10,corrupt,40%,4,0,5072,0,4,0,4904,0,
1633283542.86759,1633283542.876361,6,8.770942687988281,dilithium5,10,corrupt,40%,15,30,17022,4969,19,30,16530,3571,
1633283543.939225,1633283543.942309,7,3.083944320678711,dilithium5,10,corrupt,40%,4,0,5072,0,5,0,4904,0,
1633283554.993066,1633283554.999203,8,6.136894226074219,dilithium5,10,corrupt,40%,20,5,17520,1331,24,5,16818,983,
1633283556.037463,1633283556.040046,9,2.583026885986328,dilithium5,10,corrupt,40%,4,0,5072,0,5,0,4904,0,
1633283567.088499,1633283567.088499,10,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283567.241085,1633283567.259304,11,18.218994140625,dilithium5,10,corrupt,40%,30,12,25780,2415,36,12,24791,1640,
1633283568.337921,1633283568.337921,12,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283568.489465,1633283568.489465,13,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283568.793592,1633283568.797213,14,3.6211013793945312,dilithium5,10,corrupt,40%,4,0,5072,0,5,0,4904,0,
1633283579.407307,1633283579.407307,15,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283579.558777,1633283579.563528,16,4.750967025756836,dilithium5,10,corrupt,40%,16,5,17113,1331,20,5,16579,983,
1633283580.623875,1633283580.635646,17,11.771202087402344,dilithium5,10,corrupt,40%,18,23,17347,6044,22,23,16724,4945,
1633283601.331217,1633283601.341843,18,10.625839233398438,dilithium5,10,corrupt,40%,6,7,6631,1475,10,7,6515,1045,
1633283602.374226,1633283602.382615,19,8.388996124267578,dilithium5,10,corrupt,40%,6,5,6628,1329,10,5,6512,983,
1633283603.420575,1633283603.427814,20,7.239103317260742,dilithium5,10,corrupt,40%,8,5,6855,1326,12,5,6652,983,
1633283604.460052,1633283604.468019,21,7.9669952392578125,dilithium5,10,corrupt,40%,6,5,6637,1329,10,5,6521,983,
1633283605.498093,1633283605.507142,22,9.049177169799805,dilithium5,10,corrupt,40%,8,6,6810,1404,12,6,6610,1016,
1633283606.538808,1633283606.547335,23,8.526802062988281,dilithium5,10,corrupt,40%,6,5,6637,1329,10,5,6521,983,
1633283607.576468,1633283607.586236,24,9.768009185791016,dilithium5,10,corrupt,40%,6,5,6640,1329,10,5,6524,983,
1633283608.62382,1633283608.632241,25,8.420944213867188,dilithium5,10,corrupt,40%,6,5,6643,1329,10,5,6527,983,
1633283609.657799,1633283609.666822,26,9.022951126098633,dilithium5,10,corrupt,40%,6,5,6632,1329,10,5,6516,983,
1633283610.709805,1633283610.719974,27,10.169029235839844,dilithium5,10,corrupt,40%,6,5,6633,1329,10,5,6517,983,
1633283624.868033,1633283624.876157,28,8.124113082885742,dilithium5,10,corrupt,40%,6,5,6636,1329,10,5,6520,983,
1633283625.927541,1633283625.935394,29,7.853031158447266,dilithium5,10,corrupt,40%,6,5,6643,1329,10,5,6527,983,
1633283626.978083,1633283626.986887,30,8.804082870483398,dilithium5,10,corrupt,40%,8,5,6862,1326,12,5,6659,983,
1633283628.028985,1633283628.037249,31,8.26406478881836,dilithium5,10,corrupt,40%,8,5,6866,1326,12,5,6663,983,
1633283629.075924,1633283629.083043,32,7.119178771972656,dilithium5,10,corrupt,40%,6,5,6637,1329,10,5,6521,983,
1633283630.123678,1633283630.145425,33,21.747112274169922,dilithium5,10,corrupt,40%,11,10,8512,2126,16,10,8188,1568,
1633283631.196071,1633283631.205298,34,9.22703742980957,dilithium5,10,corrupt,40%,6,5,6634,1329,10,5,6518,983,
1633283632.245789,1633283632.267601,35,21.811962127685547,dilithium5,10,corrupt,40%,13,12,8716,2277,18,12,8308,1635,
1633283633.330839,1633283633.339048,36,8.208990097045898,dilithium5,10,corrupt,40%,6,5,6637,1329,10,5,6521,983,
1633283634.387162,1633283634.395156,37,7.993936538696289,dilithium5,10,corrupt,40%,8,5,6821,1329,12,5,6621,983,
1633283648.53551,1633283648.54629,38,10.779857635498047,dilithium5,10,corrupt,40%,6,6,6636,1404,10,6,6520,1016,
1633283649.58393,1633283649.593093,39,9.16290283203125,dilithium5,10,corrupt,40%,6,5,6641,1329,10,5,6525,983,
1633283650.638659,1633283650.64712,40,8.46099853515625,dilithium5,10,corrupt,40%,8,5,6813,1329,12,5,6613,983,
1633283651.681995,1633283651.689446,41,7.451057434082031,dilithium5,10,corrupt,40%,6,5,6630,1329,10,5,6514,983,
1633283652.719895,1633283652.727781,42,7.886171340942383,dilithium5,10,corrupt,40%,4,0,5072,0,5,0,4904,0,
1633283663.761966,1633283663.77004,43,8.074045181274414,dilithium5,10,corrupt,40%,6,5,6641,1329,10,5,6525,983,
1633283664.823105,1633283664.834822,44,11.716842651367188,dilithium5,10,corrupt,40%,6,5,6640,1329,10,5,6524,983,
1633283665.879306,1633283665.879306,45,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283666.030358,1633283666.03735,46,6.991863250732422,dilithium5,10,corrupt,40%,6,5,6641,1329,10,5,6525,983,
1633283667.082268,1633283667.082268,47,0.0,dilithium5,10,corrupt,40%,1,0,1242,0,1,0,1200,0,
1633283667.2365,1633283667.244428,48,7.927894592285156,dilithium5,10,corrupt,40%,10,5,7049,1329,14,5,6765,983,
1633283668.287545,1633283668.29745,49,9.905099868774414,dilithium5,10,corrupt,40%,6,30,6630,4967,10,30,6514,3571,
1633283682.899744,1633283682.951549,50,51.80501937866211,dilithium5,10,corrupt,40%,14,11,10209,2415,20,11,9759,1815,
