Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633283299.605785,1633283299.615683,0,9.898185729980469,dilithium5,10,corrupt,5%,16,5,17116,1329,20,5,16580,983,
1633283300.645959,1633283300.651563,1,5.604028701782227,dilithium5,10,corrupt,5%,16,5,17109,1329,20,5,16573,983,
1633283301.688549,1633283301.694121,2,5.571842193603516,dilithium5,10,corrupt,5%,18,5,17345,1326,22,5,16722,983,
1633283302.754331,1633283302.754331,3,0.0,dilithium5,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283302.913306,1633283302.931816,4,18.510103225708008,dilithium5,10,corrupt,5%,29,8,26911,1602,34,8,25877,1082,
1633283303.987743,1633283303.99699,5,9.247064590454102,dilithium5,10,corrupt,5%,16,5,17109,1329,20,5,16573,983,
1633283305.040246,1633283305.046182,6,5.935907363891602,dilithium5,10,corrupt,5%,18,5,17340,1329,22,5,16720,983,
1633283306.101137,1633283306.108043,7,6.906032562255859,dilithium5,10,corrupt,5%,16,5,17120,1329,20,5,16584,983,
1633283307.147328,1633283307.152308,8,4.9800872802734375,dilithium5,10,corrupt,5%,16,29,17120,4914,20,29,16586,3558,
1633283308.184681,1633283308.189398,9,4.717111587524414,dilithium5,10,corrupt,5%,16,5,17119,1329,20,5,16583,983,
1633283309.225241,1633283309.229046,10,3.8051605224609375,dilithium5,10,corrupt,5%,16,5,17159,1326,20,5,16620,983,
1633283323.656392,1633283323.662557,11,6.164789199829102,dilithium5,10,corrupt,5%,16,5,17116,1329,20,5,16580,983,
1633283324.705483,1633283324.705483,12,0.0,dilithium5,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283324.858489,1633283324.865024,13,6.535053253173828,dilithium5,10,corrupt,5%,16,28,17111,4815,20,28,16575,3503,
1633283325.908042,1633283325.908042,14,0.0,dilithium5,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283326.060308,1633283326.060308,15,0.0,dilithium5,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283326.366071,1633283326.370535,16,4.463911056518555,dilithium5,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
