Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633279100.990968,1633279100.993601,0,2.6330947875976562,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279101.14333,1633279102.108681,1,965.350866317749,dilithium5,10,delay,400ms,35,10,35718,3690,37,10,34337,3181,
1633279103.252736,1633279103.25559,2,2.853870391845703,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279103.40821,1633279104.369537,3,961.327075958252,dilithium5,10,delay,400ms,37,10,35901,3690,39,10,34436,3181,
1633279105.504895,1633279105.507075,4,2.1800994873046875,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279105.663099,1633279106.620423,5,957.3240280151367,dilithium5,10,delay,400ms,37,10,35891,3690,39,10,34426,3181,
1633279107.764206,1633279107.767416,6,3.2100677490234375,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279107.913075,1633279108.887903,7,974.8280048370361,dilithium5,10,delay,400ms,37,10,35901,3690,39,10,34436,3181,
1633279110.026122,1633279110.028368,8,2.2459030151367188,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279110.177891,1633279111.138625,9,960.7338905334473,dilithium5,10,delay,400ms,37,10,35907,3690,39,10,34442,3181,
1633279112.271609,1633279112.273797,10,2.187967300415039,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279112.42687,1633279113.389956,11,963.0858898162842,dilithium5,10,delay,400ms,37,10,35903,3690,39,10,34438,3181,
1633279114.53777,1633279114.540039,12,2.2690296173095703,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279114.690525,1633279115.648536,13,958.0109119415283,dilithium5,10,delay,400ms,36,10,35798,3690,38,10,34375,3181,
1633279116.779307,1633279116.781538,14,2.231121063232422,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279116.935181,1633279117.992329,15,1057.1479797363281,dilithium5,10,delay,400ms,38,14,35979,4023,41,14,34519,3299,
1633279119.039872,1633279119.042283,16,2.4111270904541016,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279119.189859,1633279120.250646,17,1060.7872009277344,dilithium5,10,delay,400ms,47,13,36801,3950,49,13,34962,3269,
1633279121.283074,1633279121.285661,18,2.5870800018310547,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279121.44089,1633279122.390164,19,949.2738246917725,dilithium5,10,delay,400ms,48,10,36900,3688,49,10,34971,3181,
1633279138.756724,1633279138.759003,20,2.2788047790527344,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279138.910625,1633279138.911522,21,0.8969306945800781,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279139.220227,1633279140.228122,22,1007.8949928283691,dilithium5,10,delay,400ms,35,13,32108,3951,37,13,30778,3265,
1633279141.310279,1633279141.312895,23,2.6161670684814453,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279141.460831,1633279141.462293,24,1.4619827270507812,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279141.764843,1633279142.779899,25,1015.0558948516846,dilithium5,10,delay,400ms,48,14,33295,4022,50,14,31414,3299,
1633279143.891327,1633279143.893688,26,2.3610591888427734,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279144.049271,1633279144.050661,27,1.3899803161621094,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279144.342843,1633279145.347038,28,1004.194974899292,dilithium5,10,delay,400ms,41,14,32638,4025,43,14,31054,3299,
1633279146.450276,1633279146.452784,29,2.5081634521484375,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279146.605827,1633279146.606888,30,1.0609626770019531,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279146.916504,1633279147.931598,31,1015.0940418243408,dilithium5,10,delay,400ms,36,14,32194,4023,39,14,30818,3299,
1633279149.012555,1633279149.015526,32,2.971172332763672,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279149.171734,1633279149.172757,33,1.0228157043457031,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279149.487075,1633279150.501855,34,1014.779806137085,dilithium5,10,delay,400ms,36,14,32203,4025,39,14,30829,3299,
1633279151.564907,1633279151.567858,35,2.950906753540039,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279151.724232,1633279151.725028,36,0.7960796356201172,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279152.027385,1633279153.036702,37,1009.3169212341309,dilithium5,10,delay,400ms,38,14,32385,4027,40,14,30929,3299,
1633279154.12726,1633279154.131059,38,3.798961639404297,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279154.278996,1633279154.279815,39,0.8189678192138672,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279154.593922,1633279155.603195,40,1009.2730522155762,dilithium5,10,delay,400ms,35,13,32098,3949,38,13,30766,3265,
1633279156.679426,1633279156.681862,41,2.4361610412597656,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279156.830205,1633279156.831005,42,0.8001327514648438,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279157.143884,1633279158.149007,43,1005.1231384277344,dilithium5,10,delay,400ms,35,14,32113,4023,38,14,30779,3299,
1633279159.229194,1633279159.231606,44,2.412080764770508,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279159.390311,1633279159.391168,45,0.8571147918701172,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279159.691947,1633279160.696784,46,1004.8370361328125,dilithium5,10,delay,400ms,33,14,31927,4025,36,14,30679,3299,
1633279161.773404,1633279161.776193,47,2.789020538330078,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279161.929626,1633279161.930873,48,1.2469291687011719,dilithium5,10,delay,400ms,4,0,5124,0,4,0,4956,0,
1633279162.236933,1633279163.244313,49,1007.3800086975098,dilithium5,10,delay,400ms,37,14,32301,4025,40,14,30885,3299,
1633279184.110215,1633279184.118963,50,8.748054504394531,dilithium5,10,delay,400ms,6,5,6633,1329,10,5,6517,983,
1633279185.158509,1633279185.16728,51,8.770942687988281,dilithium5,10,delay,400ms,6,5,6641,1329,10,5,6525,983,
1633279186.209547,1633279186.216233,52,6.685972213745117,dilithium5,10,delay,400ms,6,5,6643,1329,10,5,6527,983,
1633279187.243095,1633279187.251221,53,8.126020431518555,dilithium5,10,delay,400ms,6,5,6636,1329,10,5,6520,983,
1633279188.288044,1633279188.295161,54,7.117033004760742,dilithium5,10,delay,400ms,8,5,6858,1326,12,5,6655,983,
1633279189.32414,1633279189.333683,55,9.54294204711914,dilithium5,10,delay,400ms,6,5,6636,1329,10,5,6520,983,
1633279190.359972,1633279190.368,56,8.028030395507812,dilithium5,10,delay,400ms,6,5,6634,1329,10,5,6518,983,
1633279191.39619,1633279191.404888,57,8.697986602783203,dilithium5,10,delay,400ms,6,5,6638,1329,10,5,6522,983,
1633279192.442652,1633279192.451242,58,8.589982986450195,dilithium5,10,delay,400ms,8,5,6863,1326,12,5,6660,983,
1633279193.495165,1633279193.50381,59,8.644819259643555,dilithium5,10,delay,400ms,6,5,6636,1329,10,5,6520,983,
1633279207.792522,1633279207.90001,60,107.48815536499023,dilithium5,10,delay,400ms,6,5,6643,1329,10,5,6527,983,
1633279209.147206,1633279209.258578,61,111.37199401855469,dilithium5,10,delay,400ms,7,5,6731,1329,10,5,6573,983,
1633279210.508798,1633279210.616192,62,107.39421844482422,dilithium5,10,delay,400ms,7,5,6719,1329,10,5,6561,983,
1633279211.865051,1633279211.973331,63,108.27994346618652,dilithium5,10,delay,400ms,6,5,6639,1329,10,5,6523,983,
1633279213.213203,1633279213.321557,64,108.35409164428711,dilithium5,10,delay,400ms,6,5,6636,1329,10,5,6520,983,
1633279214.564376,1633279214.673614,65,109.2379093170166,dilithium5,10,delay,400ms,7,5,6731,1329,10,5,6573,983,
1633279215.914653,1633279216.023598,66,108.94489288330078,dilithium5,10,delay,400ms,6,5,6635,1329,10,5,6519,983,
1633279217.266792,1633279217.477061,67,210.26897430419922,dilithium5,10,delay,400ms,8,5,6814,1329,11,5,6614,983,
1633279218.623703,1633279218.735115,68,111.41204833984375,dilithium5,10,delay,400ms,6,5,6631,1329,10,5,6515,983,
1633279219.975988,1633279220.085335,69,109.34710502624512,dilithium5,10,delay,400ms,6,5,6635,1329,10,5,6519,983,
1633279235.056452,1633279235.061978,70,5.526065826416016,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279235.209591,1633279235.26489,71,55.29904365539551,dilithium5,10,delay,400ms,5,5,4188,1326,10,5,4111,983,
1633279236.655439,1633279236.661694,72,6.255149841308594,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279236.807979,1633279236.867156,73,59.17692184448242,dilithium5,10,delay,400ms,6,5,4274,1326,10,5,4155,983,
1633279238.271454,1633279238.276931,74,5.476951599121094,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279238.415587,1633279238.4802,75,64.61310386657715,dilithium5,10,delay,400ms,5,5,4180,1326,10,5,4103,983,
1633279239.858972,1633279239.864452,76,5.4798126220703125,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279240.019589,1633279240.067771,77,48.182010650634766,dilithium5,10,delay,400ms,5,5,4183,1326,10,5,4106,983,
1633279241.480486,1633279241.486818,78,6.332159042358398,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279241.632663,1633279241.69106,79,58.39705467224121,dilithium5,10,delay,400ms,5,5,4191,1326,10,5,4114,983,
1633279243.078885,1633279243.084901,80,6.016016006469727,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279243.233766,1633279243.289822,81,56.05602264404297,dilithium5,10,delay,400ms,6,5,4279,1326,10,5,4160,983,
1633279244.672728,1633279244.678565,82,5.836963653564453,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279244.826111,1633279244.881496,83,55.38487434387207,dilithium5,10,delay,400ms,6,5,4280,1326,10,5,4161,983,
1633279246.267943,1633279246.273549,84,5.606174468994141,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279246.426069,1633279246.47689,85,50.82106590270996,dilithium5,10,delay,400ms,5,5,4183,1326,10,5,4106,983,
1633279247.861086,1633279247.866772,86,5.686044692993164,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279248.012451,1633279248.219024,87,206.5730094909668,dilithium5,10,delay,400ms,7,5,4363,1326,11,5,4202,983,
1633279249.460702,1633279249.466413,88,5.711078643798828,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279249.618404,1633279249.827394,89,208.99009704589844,dilithium5,10,delay,400ms,7,5,4363,1326,11,5,4202,983,
1633279265.27793,1633279265.283839,90,5.908966064453125,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279265.432199,1633279266.044212,91,612.0131015777588,dilithium5,10,delay,400ms,14,10,8891,2478,19,10,8622,1739,
1633279267.089025,1633279267.094967,92,5.941867828369141,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279267.239041,1633279267.843716,93,604.6748161315918,dilithium5,10,delay,400ms,13,10,8781,2471,18,10,8547,1739,
1633279268.891998,1633279268.897504,94,5.506038665771484,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279269.044528,1633279269.199394,95,154.86598014831543,dilithium5,10,delay,400ms,5,5,4191,1326,10,5,4114,983,
1633279270.690416,1633279270.6959,96,5.483865737915039,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279270.842885,1633279271.44469,97,601.8049716949463,dilithium5,10,delay,400ms,12,10,8701,2474,18,10,8512,1739,
1633279272.482526,1633279272.488174,98,5.647897720336914,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279272.633046,1633279273.241062,99,608.0160140991211,dilithium5,10,delay,400ms,12,10,8692,2471,18,10,8500,1739,
1633279274.284093,1633279274.289551,100,5.45811653137207,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279274.442738,1633279275.049009,101,606.2710285186768,dilithium5,10,delay,400ms,12,10,8689,2470,18,10,8496,1739,
1633279276.087151,1633279276.092685,102,5.533933639526367,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279276.24997,1633279276.855073,103,605.1030158996582,dilithium5,10,delay,400ms,12,10,8713,2478,18,10,8528,1739,
1633279277.892893,1633279277.899771,104,6.877899169921875,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279278.046956,1633279278.652157,105,605.201005935669,dilithium5,10,delay,400ms,12,10,8692,2471,18,10,8500,1739,
1633279279.704752,1633279279.711278,106,6.525993347167969,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279279.856004,1633279280.318166,107,462.1620178222656,dilithium5,10,delay,400ms,9,7,8161,1472,14,7,7916,1045,
1633279281.494948,1633279281.500507,108,5.559206008911133,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279281.64656,1633279282.254589,109,608.0291271209717,dilithium5,10,delay,400ms,12,10,8698,2473,18,10,8508,1739,
1633279298.020777,1633279298.027004,110,6.227016448974609,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279298.166917,1633279298.871833,111,704.9160003662109,dilithium5,10,delay,400ms,13,10,8793,2475,18,10,8563,1739,
1633279300.017946,1633279300.02388,112,5.934000015258789,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279300.16251,1633279300.868386,113,705.8761119842529,dilithium5,10,delay,400ms,13,10,8784,2472,18,10,8551,1739,
1633279302.007173,1633279302.013833,114,6.659984588623047,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279302.156801,1633279302.860326,115,703.5250663757324,dilithium5,10,delay,400ms,14,10,8873,2471,19,10,8597,1739,
1633279304.00427,1633279304.010862,116,6.592035293579102,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279304.158,1633279304.863587,117,705.5869102478027,dilithium5,10,delay,400ms,15,10,8956,2469,20,10,8636,1739,
1633279306.001765,1633279306.007431,118,5.666017532348633,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279306.153598,1633279306.857336,119,703.7379741668701,dilithium5,10,delay,400ms,15,10,8944,2465,20,10,8620,1739,
1633279308.022686,1633279308.028611,120,5.92494010925293,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279308.16598,1633279308.874152,121,708.1718444824219,dilithium5,10,delay,400ms,15,10,8959,2470,20,10,8640,1739,
1633279310.013484,1633279310.019,122,5.51605224609375,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279310.17582,1633279310.880021,123,704.2009830474854,dilithium5,10,delay,400ms,15,10,8953,2468,20,10,8632,1739,
1633279312.027776,1633279312.033361,124,5.584955215454102,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279312.174439,1633279312.881791,125,707.3521614074707,dilithium5,10,delay,400ms,15,10,8971,2474,20,10,8656,1739,
1633279314.016144,1633279314.021769,126,5.625009536743164,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279314.171348,1633279314.876288,127,704.9398422241211,dilithium5,10,delay,400ms,15,10,8992,2481,20,10,8684,1739,
1633279316.01788,1633279316.02368,128,5.800008773803711,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279316.174822,1633279316.888308,129,713.4859561920166,dilithium5,10,delay,400ms,15,10,8953,2468,20,10,8632,1739,
1633279333.23024,1633279333.235906,130,5.665779113769531,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279333.383034,1633279333.539393,131,156.3589572906494,dilithium5,10,delay,400ms,5,0,5440,0,7,0,5230,0,
1633279333.69133,1633279334.240573,132,549.2429733276367,dilithium5,10,delay,400ms,14,10,6235,2422,16,10,5910,1739,
1633279335.430689,1633279335.437442,133,6.752967834472656,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279335.581134,1633279335.740804,134,159.6698760986328,dilithium5,10,delay,400ms,5,0,5444,0,7,0,5234,0,
1633279335.893618,1633279336.442035,135,548.4168529510498,dilithium5,10,delay,400ms,13,10,6149,2426,15,10,5870,1739,
1633279337.640197,1633279337.64587,136,5.672931671142578,dilithium5,10,delay,400ms,3,0,3830,0,3,0,3704,0,
1633279337.800452,1633279337.946762,137,146.31009101867676,dilithium5,10,delay,400ms,5,0,5449,0,7,0,5239,0,
