Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633279138.756722,1633279138.759003,0,2.2809505462646484,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279138.910623,1633279138.911522,1,0.8988380432128906,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279139.220226,1633279140.228119,2,1007.8928470611572,dilithium5,10,delay,500ms,35,13,32108,3951,37,13,30778,3265,
1633279141.310277,1633279141.312894,3,2.6171207427978516,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279141.46083,1633279141.462292,4,1.4619827270507812,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279141.76484,1633279142.779898,5,1015.0580406188965,dilithium5,10,delay,500ms,48,14,33295,4022,50,14,31414,3299,
1633279143.891324,1633279143.893687,6,2.362966537475586,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279144.049269,1633279144.050661,7,1.3921260833740234,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279144.342842,1633279145.347038,8,1004.1959285736084,dilithium5,10,delay,500ms,41,14,32638,4025,43,14,31054,3299,
1633279146.450273,1633279146.452784,9,2.5110244750976562,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279146.605824,1633279146.606887,10,1.0631084442138672,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279146.916502,1633279147.931598,11,1015.0959491729736,dilithium5,10,delay,500ms,36,14,32194,4023,39,14,30818,3299,
1633279149.012553,1633279149.015526,12,2.9730796813964844,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279149.171731,1633279149.172756,13,1.0249614715576172,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279149.487072,1633279150.501855,14,1014.7829055786133,dilithium5,10,delay,500ms,36,14,32203,4025,39,14,30829,3299,
1633279151.564904,1633279151.567857,15,2.953052520751953,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279151.724231,1633279151.725028,16,0.7970333099365234,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279152.027384,1633279153.036702,17,1009.3178749084473,dilithium5,10,delay,500ms,38,14,32385,4027,40,14,30929,3299,
1633279154.127257,1633279154.131058,18,3.8008689880371094,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279154.278993,1633279154.279814,19,0.8211135864257812,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279154.59392,1633279155.603195,20,1009.274959564209,dilithium5,10,delay,500ms,35,13,32098,3949,38,13,30766,3265,
1633279156.679424,1633279156.681862,21,2.438068389892578,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279156.830204,1633279156.831004,22,0.7998943328857422,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279157.143883,1633279158.149006,23,1005.1229000091553,dilithium5,10,delay,500ms,35,14,32113,4023,38,14,30779,3299,
1633279159.229191,1633279159.231606,24,2.4149417877197266,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279159.390311,1633279159.391168,25,0.8571147918701172,dilithium5,10,delay,500ms,4,0,5124,0,4,0,4956,0,
1633279159.691946,1633279160.696782,26,1004.8360824584961,dilithium5,10,delay,500ms,33,14,31927,4025,36,14,30679,3299,
1633279161.773401,1633279161.776193,27,2.791881561279297,dilithium5,10,delay,500ms,3,0,3830,0,3,0,3704,0,
