Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633284005.105413,1633284005.118947,0,13.534069061279297,falcon1024,10,corrupt,5%,7,5,8899,1326,11,5,8738,983,
1633284006.160384,1633284006.174407,1,14.023065567016602,falcon1024,10,corrupt,5%,7,5,8847,1329,11,5,8689,983,
1633284007.2252,1633284007.238709,2,13.509035110473633,falcon1024,10,corrupt,5%,9,6,9080,1401,13,6,8835,1016,
1633284008.296188,1633284008.310758,3,14.569997787475586,falcon1024,10,corrupt,5%,7,5,8855,1329,11,5,8697,983,
1633284009.35887,1633284009.372095,4,13.225078582763672,falcon1024,10,corrupt,5%,7,5,8845,1329,11,5,8687,983,
1633284010.411985,1633284010.423969,5,11.984109878540039,falcon1024,10,corrupt,5%,7,5,8853,1329,11,5,8695,983,
1633284011.473894,1633284011.487279,6,13.38505744934082,falcon1024,10,corrupt,5%,7,5,8850,1329,11,5,8692,983,
1633284012.543667,1633284012.562359,7,18.6920166015625,falcon1024,10,corrupt,5%,9,5,9032,1329,13,5,8790,983,
1633284013.602585,1633284013.61531,8,12.724876403808594,falcon1024,10,corrupt,5%,9,5,9027,1329,13,5,8785,983,
1633284014.6792,1633284014.691401,9,12.201070785522461,falcon1024,10,corrupt,5%,7,5,8850,1329,11,5,8692,983,
1633284028.8419,1633284028.854087,10,12.187004089355469,falcon1024,10,corrupt,5%,7,5,8851,1329,11,5,8693,983,
1633284029.896331,1633284029.908117,11,11.78598403930664,falcon1024,10,corrupt,5%,7,5,8848,1329,11,5,8690,983,
1633284030.951725,1633284030.963432,12,11.707067489624023,falcon1024,10,corrupt,5%,9,5,9077,1326,13,5,8832,983,
1633284032.018101,1633284032.03806,13,19.958972930908203,falcon1024,10,corrupt,5%,7,31,8848,5039,11,31,8690,3601,
1633284033.083103,1633284033.110491,14,27.38809585571289,falcon1024,10,corrupt,5%,13,17,12940,3080,21,17,12749,2011,
1633284035.171451,1633284035.186062,15,14.611005783081055,falcon1024,10,corrupt,5%,9,28,9031,4840,13,28,8789,3528,
1633284036.222841,1633284036.222841,16,0.0,falcon1024,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633284036.384519,1633284036.396553,17,12.033939361572266,falcon1024,10,corrupt,5%,7,5,8839,1329,11,5,8681,983,
1633284037.458993,1633284037.47677,18,17.776966094970703,falcon1024,10,corrupt,5%,7,27,8850,5746,11,27,8692,4476,
1633284038.528288,1633284038.542753,19,14.465093612670898,falcon1024,10,corrupt,5%,8,5,8982,1326,12,5,8779,983,
1633284039.590001,1633284039.616085,20,26.083946228027344,falcon1024,10,corrupt,5%,13,36,11654,5763,19,36,11383,3976,
1633284053.771645,1633284053.78579,21,14.1448974609375,falcon1024,10,corrupt,5%,7,7,8848,1475,11,7,8690,1045,
1633284054.826947,1633284054.839742,22,12.794971466064453,falcon1024,10,corrupt,5%,7,5,8851,1329,11,5,8693,983,
1633284055.880779,1633284055.894472,23,13.692855834960938,falcon1024,10,corrupt,5%,9,5,9074,1326,13,5,8829,983,
1633284056.939934,1633284056.951806,24,11.872053146362305,falcon1024,10,corrupt,5%,7,5,8846,1329,11,5,8688,983,
1633284057.992525,1633284058.006066,25,13.540983200073242,falcon1024,10,corrupt,5%,9,5,9087,1326,13,5,8842,983,
1633284059.046754,1633284059.059914,26,13.160228729248047,falcon1024,10,corrupt,5%,7,5,8850,1329,11,5,8692,983,
1633284060.09909,1633284060.111358,27,12.267827987670898,falcon1024,10,corrupt,5%,7,5,8852,1329,11,5,8694,983,
1633284061.155107,1633284061.166444,28,11.337041854858398,falcon1024,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633284072.222813,1633284072.235361,29,12.548208236694336,falcon1024,10,corrupt,5%,7,5,8844,1329,11,5,8686,983,
1633284073.29086,1633284073.303339,30,12.479066848754883,falcon1024,10,corrupt,5%,7,5,8853,1338,11,5,8695,992,
1633284087.668283,1633284087.682464,31,14.180898666381836,falcon1024,10,corrupt,5%,7,5,8855,1329,11,5,8697,983,
1633284088.729249,1633284088.729249,32,0.0,falcon1024,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633284088.882911,1633284088.882911,33,0.0,falcon1024,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633284089.185971,1633284089.197927,34,11.955976486206055,falcon1024,10,corrupt,5%,7,5,8856,1329,11,5,8698,983,
1633284090.232605,1633284090.232605,35,0.0,falcon1024,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633284090.382892,1633284090.39469,36,11.79814338684082,falcon1024,10,corrupt,5%,7,29,8851,4912,11,29,8693,3558,
1633284091.435409,1633284091.453118,37,17.709016799926758,falcon1024,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633284102.494517,1633284102.507174,38,12.656927108764648,falcon1024,10,corrupt,5%,9,5,9079,1326,13,5,8834,983,
1633284103.558628,1633284103.587795,39,29.16693687438965,falcon1024,10,corrupt,5%,13,10,12924,2215,19,10,12600,1573,
1633284104.648434,1633284104.648434,40,0.0,falcon1024,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633284104.799856,1633284104.811898,41,12.042045593261719,falcon1024,10,corrupt,5%,9,4,9083,1243,13,4,8838,942,
1633284105.864308,1633284105.864308,42,0.0,falcon1024,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633284106.015434,1633284106.027612,43,12.17794418334961,falcon1024,10,corrupt,5%,9,5,9078,1326,13,5,8833,983,
1633284107.079523,1633284107.09126,44,11.736869812011719,falcon1024,10,corrupt,5%,9,5,9074,1326,13,5,8829,983,
1633284108.146229,1633284108.16045,45,14.220952987670898,falcon1024,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633284132.560636,1633284132.57427,46,13.633966445922852,falcon1024,10,corrupt,5%,11,5,9257,1329,15,5,8931,983,
1633284133.62141,1633284133.635146,47,13.73600959777832,falcon1024,10,corrupt,5%,9,29,9086,4912,13,29,8844,3558,
1633284134.684038,1633284134.684038,48,0.0,falcon1024,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633284134.83819,1633284134.8636,49,25.409936904907227,falcon1024,10,corrupt,5%,14,8,11646,1908,20,8,11331,1299,
1633284135.905075,1633284135.921526,50,16.450881958007812,falcon1024,10,corrupt,5%,11,27,9257,5757,15,27,8931,4487,
1633284136.982881,1633284136.996002,51,13.120889663696289,falcon1024,10,corrupt,5%,7,4,8859,1246,11,4,8701,942,
1633284138.035631,1633284138.049024,52,13.393163681030273,falcon1024,10,corrupt,5%,7,5,8842,1329,11,5,8684,983,
1633284139.101367,1633284139.129535,53,28.1679630279541,falcon1024,10,corrupt,5%,15,11,13117,1904,19,11,12538,1391,
1633284140.171454,1633284140.185421,54,13.967037200927734,falcon1024,10,corrupt,5%,7,5,8853,1329,11,5,8695,983,
