Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633279524.644205,1633279524.654829,0,10.623931884765625,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279524.801858,1633279524.802744,1,0.8859634399414062,falcon1024,10,delay,500ms,4,0,5076,0,6,0,4908,0,
1633279525.107749,1633279525.658745,2,550.9960651397705,falcon1024,10,delay,500ms,14,10,11560,2292,16,10,11105,1739,
1633279526.864485,1633279526.875052,3,10.566949844360352,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279527.018625,1633279527.019807,4,1.1820793151855469,falcon1024,10,delay,500ms,4,0,5078,0,6,0,4910,0,
1633279527.323092,1633279527.879836,5,556.7440986633301,falcon1024,10,delay,500ms,16,10,11749,2292,18,10,11210,1739,
1633279529.072269,1633279529.084641,6,12.372016906738281,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279529.224144,1633279529.225027,7,0.8831024169921875,falcon1024,10,delay,500ms,4,0,5067,0,6,0,4899,0,
1633279529.525412,1633279530.091454,8,566.0419464111328,falcon1024,10,delay,500ms,14,10,11533,2292,16,10,11078,1739,
1633279531.271419,1633279531.282198,9,10.77890396118164,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279531.422636,1633279531.423332,10,0.6959438323974609,falcon1024,10,delay,500ms,4,0,5067,0,6,0,4899,0,
1633279531.725506,1633279532.291256,11,565.7498836517334,falcon1024,10,delay,500ms,15,10,11627,2292,17,10,11130,1739,
1633279533.468145,1633279533.478476,12,10.331153869628906,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279533.622038,1633279533.622786,13,0.7481575012207031,falcon1024,10,delay,500ms,4,0,5067,0,6,0,4899,0,
1633279533.929485,1633279534.484472,14,554.9869537353516,falcon1024,10,delay,500ms,15,10,11627,2292,17,10,11130,1739,
1633279535.665982,1633279535.676517,15,10.535001754760742,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279535.815744,1633279535.816599,16,0.8549690246582031,falcon1024,10,delay,500ms,4,0,5067,0,6,0,4899,0,
1633279536.119328,1633279536.685381,17,566.0529136657715,falcon1024,10,delay,500ms,14,10,11538,2292,17,10,11083,1739,
1633279537.865878,1633279537.876078,18,10.199785232543945,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279538.013346,1633279538.014457,19,1.1110305786132812,falcon1024,10,delay,500ms,4,0,5064,0,6,0,4896,0,
1633279538.332936,1633279538.884894,20,551.9578456878662,falcon1024,10,delay,500ms,16,10,11707,2292,19,10,11168,1739,
1633279540.062941,1633279540.073543,21,10.601997375488281,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279540.215331,1633279540.216402,22,1.0709762573242188,falcon1024,10,delay,500ms,4,0,5076,0,6,0,4908,0,
1633279540.515805,1633279541.076275,23,560.4701042175293,falcon1024,10,delay,500ms,13,10,11471,2292,16,10,11058,1739,
1633279542.272901,1633279542.284154,24,11.252880096435547,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279542.428415,1633279542.429235,25,0.8199214935302734,falcon1024,10,delay,500ms,4,0,5072,0,6,0,4904,0,
1633279542.747378,1633279543.289364,26,541.9859886169434,falcon1024,10,delay,500ms,15,10,11642,2292,17,10,11145,1739,
1633279544.483098,1633279544.493385,27,10.287046432495117,falcon1024,10,delay,500ms,3,0,3830,0,3,0,3704,0,
1633279544.638425,1633279544.63923,28,0.804901123046875,falcon1024,10,delay,500ms,4,0,5068,0,6,0,4900,0,
