Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633292382.712524,1633292382.727102,0,14.578104019165039,falcon1024,10,duplicate,20%,9,5,9078,1329,13,5,8836,983,
1633292383.767687,1633292383.779592,1,11.90495491027832,falcon1024,10,duplicate,20%,10,5,10324,1326,14,5,10037,983,
1633292384.82219,1633292384.82219,2,0.0,falcon1024,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633292384.822226,1633292384.834116,3,11.889934539794922,falcon1024,10,duplicate,20%,6,5,7604,2193,10,5,8352,983,
1633292385.879904,1633292385.891921,4,12.017011642456055,falcon1024,10,duplicate,20%,9,5,9086,1329,13,5,8844,983,
1633292386.946566,1633292386.959465,5,12.898921966552734,falcon1024,10,duplicate,20%,9,6,9076,1701,14,6,8917,1230,
1633292388.003131,1633292388.015512,6,12.38107681274414,falcon1024,10,duplicate,20%,8,5,10096,1329,13,5,9896,983,
1633292389.053014,1633292389.066275,7,13.260841369628906,falcon1024,10,duplicate,20%,9,6,9080,1701,14,6,8921,1230,
1633292390.1068,1633292390.121908,8,15.107870101928711,falcon1024,10,duplicate,20%,7,5,8844,1329,11,5,8686,983,
1633292391.174441,1633292391.190596,9,16.155004501342773,falcon1024,10,duplicate,20%,7,6,8852,1401,11,6,8694,1013,
1633292392.239101,1633292392.251585,10,12.484073638916016,falcon1024,10,duplicate,20%,7,5,8854,1329,11,5,8696,983,
1633292406.424743,1633292406.438284,11,13.540983200073242,falcon1024,10,duplicate,20%,7,6,8851,1401,11,6,8693,1013,
1633292407.498267,1633292407.498267,12,0.0,falcon1024,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633292407.498344,1633292407.509535,13,11.191129684448242,falcon1024,10,duplicate,20%,6,5,7605,2193,10,5,8353,983,
1633292408.560608,1633292408.573466,14,12.858152389526367,falcon1024,10,duplicate,20%,7,6,8851,1412,11,6,8693,1024,
1633292409.63187,1633292409.645874,15,14.003992080688477,falcon1024,10,duplicate,20%,8,5,10094,1329,13,5,9894,983,
1633292410.699068,1633292410.711798,16,12.729883193969727,falcon1024,10,duplicate,20%,8,6,10091,1707,14,6,9980,1230,
1633292411.765767,1633292411.765767,17,0.0,falcon1024,10,duplicate,20%,1,0,1242,0,1,0,1200,0,
1633292411.765824,1633292411.778939,18,13.11492919921875,falcon1024,10,duplicate,20%,8,5,8950,1326,11,5,8747,983,
1633292412.832023,1633292412.84618,19,14.15705680847168,falcon1024,10,duplicate,20%,7,6,8844,1404,11,6,8686,1016,
1633292413.903759,1633292413.915842,20,12.083053588867188,falcon1024,10,duplicate,20%,9,6,9076,1401,13,6,8834,1013,
