Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633274884.794373,1633274884.807758,0,13.38505744934082,falcon1024,10,loss,0%,9,5,9032,1329,13,5,8790,983,
1633274885.842288,1633274885.855875,1,13.586997985839844,falcon1024,10,loss,0%,7,5,8849,1329,11,5,8691,983,
1633274886.91213,1633274886.924338,2,12.207984924316406,falcon1024,10,loss,0%,7,5,8845,1329,11,5,8687,983,
1633274887.961221,1633274887.97462,3,13.399124145507812,falcon1024,10,loss,0%,7,5,8858,1329,11,5,8700,983,
1633274889.004941,1633274889.017497,4,12.556076049804688,falcon1024,10,loss,0%,7,5,8858,1329,11,5,8700,983,
1633274890.049957,1633274890.063249,5,13.292074203491211,falcon1024,10,loss,0%,7,5,8844,1329,11,5,8686,983,
1633274891.095203,1633274891.106896,6,11.693000793457031,falcon1024,10,loss,0%,7,5,8849,1329,11,5,8691,983,
1633274892.141807,1633274892.155548,7,13.741016387939453,falcon1024,10,loss,0%,11,5,9262,1329,15,5,8936,983,
1633274893.17885,1633274893.19363,8,14.780044555664062,falcon1024,10,loss,0%,7,5,8857,1329,11,5,8699,983,
1633274894.225026,1633274894.23931,9,14.284133911132812,falcon1024,10,loss,0%,9,5,9069,1329,13,5,8827,983,
1633274908.576793,1633274908.588774,10,11.981010437011719,falcon1024,10,loss,0%,7,5,8847,1329,11,5,8689,983,
1633274909.636877,1633274909.649869,11,12.991905212402344,falcon1024,10,loss,0%,7,5,8905,1326,11,5,8744,983,
1633274910.86736,1633274910.879575,12,12.214899063110352,falcon1024,10,loss,0%,9,5,9077,1326,13,5,8832,983,
1633274911.922642,1633274911.941818,13,19.176006317138672,falcon1024,10,loss,0%,7,7,8846,1475,11,7,8688,1045,
1633274912.988252,1633274913.000032,14,11.780023574829102,falcon1024,10,loss,0%,9,5,9080,1329,13,5,8838,983,
1633274914.043129,1633274914.055784,15,12.655019760131836,falcon1024,10,loss,0%,7,5,8854,1329,11,5,8696,983,
1633274915.131485,1633274915.180336,16,48.85101318359375,falcon1024,10,loss,0%,15,6,15341,1403,19,6,14847,1015,
1633274916.254811,1633274916.267861,17,13.049840927124023,falcon1024,10,loss,0%,7,5,8854,1329,11,5,8696,983,
1633274917.308706,1633274917.322517,18,13.810873031616211,falcon1024,10,loss,0%,9,5,9076,1326,13,5,8831,983,
1633274918.368037,1633274918.381934,19,13.896942138671875,falcon1024,10,loss,0%,7,5,8859,1329,11,5,8701,983,
1633274932.548647,1633274932.562168,20,13.520956039428711,falcon1024,10,loss,0%,7,30,7699,4967,10,30,7541,3571,
1633274933.61662,1633274933.629012,21,12.392044067382812,falcon1024,10,loss,0%,7,5,8846,1329,11,5,8688,983,
1633274934.683229,1633274934.695206,22,11.976957321166992,falcon1024,10,loss,0%,7,5,8854,1329,11,5,8696,983,
1633274935.741609,1633274935.754529,23,12.919902801513672,falcon1024,10,loss,0%,7,5,8845,1329,11,5,8687,983,
1633274936.94252,1633274936.968656,24,26.136159896850586,falcon1024,10,loss,0%,13,10,12873,1959,18,10,12508,1358,
