Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633274932.548643,1633274932.562167,0,13.52381706237793,falcon1024,10,loss,10%,7,30,7699,4967,10,30,7541,3571,
1633274933.616617,1633274933.629011,1,12.393951416015625,falcon1024,10,loss,10%,7,5,8846,1329,11,5,8688,983,
1633274934.683225,1633274934.695205,2,11.980056762695312,falcon1024,10,loss,10%,7,5,8854,1329,11,5,8696,983,
1633274935.741607,1633274935.754528,3,12.92109489440918,falcon1024,10,loss,10%,7,5,8845,1329,11,5,8687,983,
1633274936.942514,1633274936.968655,4,26.14116668701172,falcon1024,10,loss,10%,13,10,12873,1959,18,10,12508,1358,
1633274938.010305,1633274938.023219,5,12.914180755615234,falcon1024,10,loss,10%,7,5,8846,1329,11,5,8688,983,
1633274939.06693,1633274939.083302,6,16.371965408325195,falcon1024,10,loss,10%,7,5,8844,1329,11,5,8686,983,
1633274940.127601,1633274940.142085,7,14.484167098999023,falcon1024,10,loss,10%,7,5,8857,1329,11,5,8699,983,
1633274941.203446,1633274941.219389,8,15.943050384521484,falcon1024,10,loss,10%,7,5,8843,1329,11,5,8685,983,
1633274942.283121,1633274942.314093,9,30.972003936767578,falcon1024,10,loss,10%,13,9,12928,1536,17,9,12431,1109,
1633274956.543064,1633274956.555247,10,12.182950973510742,falcon1024,10,loss,10%,9,5,9076,1326,13,5,8831,983,
1633274957.604622,1633274957.618423,11,13.801097869873047,falcon1024,10,loss,10%,7,5,8856,1329,11,5,8698,983,
1633274958.675695,1633274958.687507,12,11.811971664428711,falcon1024,10,loss,10%,9,5,9075,1326,13,5,8830,983,
1633274959.751334,1633274959.763542,13,12.207984924316406,falcon1024,10,loss,10%,7,5,8856,1329,11,5,8698,983,
1633274960.81782,1633274960.831967,14,14.147043228149414,falcon1024,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274971.878354,1633274971.893169,15,14.81485366821289,falcon1024,10,loss,10%,7,5,8855,1329,11,5,8697,983,
1633274972.942477,1633274972.955565,16,13.087987899780273,falcon1024,10,loss,10%,7,5,8846,1329,11,5,8688,983,
1633274974.014768,1633274974.02703,17,12.262105941772461,falcon1024,10,loss,10%,7,5,8848,1329,11,5,8690,983,
1633274975.074148,1633274975.085805,18,11.656999588012695,falcon1024,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274986.145003,1633274986.157362,19,12.358903884887695,falcon1024,10,loss,10%,7,5,8844,1329,11,5,8686,983,
1633275000.628771,1633275000.654803,20,26.031970977783203,falcon1024,10,loss,10%,15,8,14236,1459,19,8,13655,1074,
1633275001.874118,1633275001.887528,21,13.409852981567383,falcon1024,10,loss,10%,11,5,9260,1329,15,5,8934,983,
1633275002.931886,1633275002.943516,22,11.630058288574219,falcon1024,10,loss,10%,7,5,8910,1326,11,5,8749,983,
1633275003.991446,1633275004.018437,23,26.990890502929688,falcon1024,10,loss,10%,13,12,12924,2010,17,12,12429,1455,
1633275005.139969,1633275005.163664,24,23.694992065429688,falcon1024,10,loss,10%,7,5,8856,1329,11,5,8698,983,
1633275006.210978,1633275006.223563,25,12.584924697875977,falcon1024,10,loss,10%,7,5,8851,1329,11,5,8693,983,
1633275007.277547,1633275007.291254,26,13.707160949707031,falcon1024,10,loss,10%,7,5,8842,1329,11,5,8684,983,
1633275008.33554,1633275008.34811,27,12.569904327392578,falcon1024,10,loss,10%,7,5,8856,1329,11,5,8698,983,
1633275009.544398,1633275009.556473,28,12.074947357177734,falcon1024,10,loss,10%,7,5,7701,1329,10,5,7543,983,
1633275010.764425,1633275010.777774,29,13.349056243896484,falcon1024,10,loss,10%,7,5,8851,1329,11,5,8693,983,
1633275025.38506,1633275025.399453,30,14.392852783203125,falcon1024,10,loss,10%,9,30,9079,4964,13,30,8834,3571,
