Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633274956.543063,1633274956.555247,0,12.18414306640625,falcon1024,10,loss,15%,9,5,9076,1326,13,5,8831,983,
1633274957.60462,1633274957.618423,1,13.80300521850586,falcon1024,10,loss,15%,7,5,8856,1329,11,5,8698,983,
1633274958.675693,1633274958.687507,2,11.813879013061523,falcon1024,10,loss,15%,9,5,9075,1326,13,5,8830,983,
1633274959.751333,1633274959.763542,3,12.208938598632812,falcon1024,10,loss,15%,7,5,8856,1329,11,5,8698,983,
1633274960.817819,1633274960.831966,4,14.146804809570312,falcon1024,10,loss,15%,3,0,3830,0,3,0,3704,0,
1633274971.878351,1633274971.893168,5,14.816999435424805,falcon1024,10,loss,15%,7,5,8855,1329,11,5,8697,983,
1633274972.942474,1633274972.955564,6,13.090133666992188,falcon1024,10,loss,15%,7,5,8846,1329,11,5,8688,983,
1633274974.014765,1633274974.02703,7,12.26496696472168,falcon1024,10,loss,15%,7,5,8848,1329,11,5,8690,983,
1633274975.074146,1633274975.085804,8,11.657953262329102,falcon1024,10,loss,15%,3,0,3830,0,3,0,3704,0,
1633274986.145002,1633274986.157362,9,12.360095977783203,falcon1024,10,loss,15%,7,5,8844,1329,11,5,8686,983,
1633275000.628768,1633275000.654803,10,26.035070419311523,falcon1024,10,loss,15%,15,8,14236,1459,19,8,13655,1074,
1633275001.874116,1633275001.887527,11,13.41104507446289,falcon1024,10,loss,15%,11,5,9260,1329,15,5,8934,983,
1633275002.931885,1633275002.943516,12,11.631011962890625,falcon1024,10,loss,15%,7,5,8910,1326,11,5,8749,983,
1633275003.991445,1633275004.018436,13,26.990890502929688,falcon1024,10,loss,15%,13,12,12924,2010,17,12,12429,1455,
1633275005.139967,1633275005.163664,14,23.6971378326416,falcon1024,10,loss,15%,7,5,8856,1329,11,5,8698,983,
1633275006.210977,1633275006.223563,15,12.585878372192383,falcon1024,10,loss,15%,7,5,8851,1329,11,5,8693,983,
1633275007.277546,1633275007.291254,16,13.708114624023438,falcon1024,10,loss,15%,7,5,8842,1329,11,5,8684,983,
1633275008.335538,1633275008.34811,17,12.572050094604492,falcon1024,10,loss,15%,7,5,8856,1329,11,5,8698,983,
1633275009.544395,1633275009.556473,18,12.078046798706055,falcon1024,10,loss,15%,7,5,7701,1329,10,5,7543,983,
1633275010.764423,1633275010.777774,19,13.351202011108398,falcon1024,10,loss,15%,7,5,8851,1329,11,5,8693,983,
1633275025.385059,1633275025.399453,20,14.393806457519531,falcon1024,10,loss,15%,9,30,9079,4964,13,30,8834,3571,
1633275026.447329,1633275026.463602,21,16.273021697998047,falcon1024,10,loss,15%,7,5,8852,1329,11,5,8694,983,
1633275027.500362,1633275027.515051,22,14.688968658447266,falcon1024,10,loss,15%,7,5,8901,1326,11,5,8740,983,
1633275028.565427,1633275028.579328,23,13.900995254516602,falcon1024,10,loss,15%,7,4,8848,1246,11,4,8690,942,
1633275030.093135,1633275030.104789,24,11.653900146484375,falcon1024,10,loss,15%,7,7,8853,1475,11,7,8695,1045,
1633275031.302548,1633275031.313311,25,10.763168334960938,falcon1024,10,loss,15%,3,0,3830,0,3,0,3704,0,
1633275042.195243,1633275042.219856,26,24.613142013549805,falcon1024,10,loss,15%,13,10,12867,1959,18,10,12502,1358,
1633275043.274292,1633275043.285385,27,11.092901229858398,falcon1024,10,loss,15%,3,0,3830,0,3,0,3704,0,
1633275054.329297,1633275054.343196,28,13.898849487304688,falcon1024,10,loss,15%,7,4,8853,1247,11,4,8696,942,
1633275055.387287,1633275055.416008,29,28.721094131469727,falcon1024,10,loss,15%,13,10,12922,1609,17,10,12425,1140,
1633275070.392149,1633275070.47017,30,78.02104949951172,falcon1024,10,loss,15%,11,11,12766,2114,15,11,12353,1603,
1633275071.555182,1633275071.582591,31,27.409076690673828,falcon1024,10,loss,15%,13,27,12940,3213,17,27,12443,2030,
1633275073.114112,1633275073.125701,32,11.58905029296875,falcon1024,10,loss,15%,7,4,8900,1243,11,4,8739,942,
1633275074.331019,1633275074.343208,33,12.189149856567383,falcon1024,10,loss,15%,7,5,8853,1329,11,5,8695,983,
1633275075.548413,1633275075.560458,34,12.044906616210938,falcon1024,10,loss,15%,7,5,8846,1329,11,5,8688,983,
1633275076.61588,1633275076.629704,35,13.823986053466797,falcon1024,10,loss,15%,9,5,9072,1329,13,5,8830,983,
1633275077.830955,1633275077.873484,36,42.52886772155762,falcon1024,10,loss,15%,11,27,12764,3671,15,27,12351,2488,
1633275078.966771,1633275078.994819,37,28.048038482666016,falcon1024,10,loss,15%,12,24,12760,3247,17,24,12440,2055,
1633275080.261883,1633275080.275605,38,13.721942901611328,falcon1024,10,loss,15%,7,5,8847,1329,11,5,8689,983,
1633275081.483883,1633275081.495941,39,12.058019638061523,falcon1024,10,loss,15%,9,5,9077,1326,13,5,8832,983,
1633275095.842139,1633275095.852942,40,10.802984237670898,falcon1024,10,loss,15%,3,0,3830,0,3,0,3704,0,
1633275106.892362,1633275106.906875,41,14.512777328491211,falcon1024,10,loss,15%,7,5,8851,1329,11,5,8693,983,
1633275107.96489,1633275107.97827,42,13.380050659179688,falcon1024,10,loss,15%,7,5,8855,1329,11,5,8697,983,
1633275109.043692,1633275109.055593,43,11.900901794433594,falcon1024,10,loss,15%,3,0,3830,0,3,0,3704,0,
1633275120.264202,1633275120.276213,44,12.010812759399414,falcon1024,10,loss,15%,7,5,7690,1329,10,5,7532,983,
