Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633274908.576791,1633274908.588774,0,11.982917785644531,falcon1024,10,loss,5%,7,5,8847,1329,11,5,8689,983,
1633274909.636875,1633274909.649869,1,12.994050979614258,falcon1024,10,loss,5%,7,5,8905,1326,11,5,8744,983,
1633274910.867358,1633274910.879574,2,12.21609115600586,falcon1024,10,loss,5%,9,5,9077,1326,13,5,8832,983,
1633274911.92263,1633274911.941818,3,19.18792724609375,falcon1024,10,loss,5%,7,7,8846,1475,11,7,8688,1045,
1633274912.988252,1633274913.000032,4,11.780023574829102,falcon1024,10,loss,5%,9,5,9080,1329,13,5,8838,983,
1633274914.043127,1633274914.055784,5,12.656927108764648,falcon1024,10,loss,5%,7,5,8854,1329,11,5,8696,983,
1633274915.131483,1633274915.180336,6,48.85292053222656,falcon1024,10,loss,5%,15,6,15341,1403,19,6,14847,1015,
1633274916.254809,1633274916.267861,7,13.051986694335938,falcon1024,10,loss,5%,7,5,8854,1329,11,5,8696,983,
1633274917.308704,1633274917.322517,8,13.813018798828125,falcon1024,10,loss,5%,9,5,9076,1326,13,5,8831,983,
1633274918.368036,1633274918.381933,9,13.896942138671875,falcon1024,10,loss,5%,7,5,8859,1329,11,5,8701,983,
1633274932.548645,1633274932.562168,10,13.522863388061523,falcon1024,10,loss,5%,7,30,7699,4967,10,30,7541,3571,
1633274933.616619,1633274933.629011,11,12.391805648803711,falcon1024,10,loss,5%,7,5,8846,1329,11,5,8688,983,
1633274934.683227,1633274934.695205,12,11.977910995483398,falcon1024,10,loss,5%,7,5,8854,1329,11,5,8696,983,
1633274935.741608,1633274935.754528,13,12.920141220092773,falcon1024,10,loss,5%,7,5,8845,1329,11,5,8687,983,
1633274936.942517,1633274936.968656,14,26.139020919799805,falcon1024,10,loss,5%,13,10,12873,1959,18,10,12508,1358,
1633274938.010307,1633274938.023219,15,12.91203498840332,falcon1024,10,loss,5%,7,5,8846,1329,11,5,8688,983,
1633274939.066932,1633274939.083302,16,16.370058059692383,falcon1024,10,loss,5%,7,5,8844,1329,11,5,8686,983,
1633274940.127603,1633274940.142086,17,14.482975006103516,falcon1024,10,loss,5%,7,5,8857,1329,11,5,8699,983,
1633274941.203447,1633274941.219389,18,15.941858291625977,falcon1024,10,loss,5%,7,5,8843,1329,11,5,8685,983,
1633274942.283122,1633274942.314094,19,30.972003936767578,falcon1024,10,loss,5%,13,9,12928,1536,17,9,12431,1109,
1633274956.543065,1633274956.555248,20,12.182950973510742,falcon1024,10,loss,5%,9,5,9076,1326,13,5,8831,983,
1633274957.604623,1633274957.618424,21,13.800859451293945,falcon1024,10,loss,5%,7,5,8856,1329,11,5,8698,983,
1633274958.675696,1633274958.687508,22,11.812210083007812,falcon1024,10,loss,5%,9,5,9075,1326,13,5,8830,983,
1633274959.751336,1633274959.763542,23,12.205839157104492,falcon1024,10,loss,5%,7,5,8856,1329,11,5,8698,983,
1633274960.817821,1633274960.831967,24,14.146089553833008,falcon1024,10,loss,5%,3,0,3830,0,3,0,3704,0,
1633274971.878355,1633274971.893169,25,14.813899993896484,falcon1024,10,loss,5%,7,5,8855,1329,11,5,8697,983,
1633274972.942479,1633274972.955565,26,13.086080551147461,falcon1024,10,loss,5%,7,5,8846,1329,11,5,8688,983,
1633274974.01477,1633274974.027031,27,12.260913848876953,falcon1024,10,loss,5%,7,5,8848,1329,11,5,8690,983,
1633274975.07415,1633274975.085805,28,11.654853820800781,falcon1024,10,loss,5%,3,0,3830,0,3,0,3704,0,
1633274986.145005,1633274986.157363,29,12.357950210571289,falcon1024,10,loss,5%,7,5,8844,1329,11,5,8686,983,
1633275000.628773,1633275000.654804,30,26.031017303466797,falcon1024,10,loss,5%,15,8,14236,1459,19,8,13655,1074,
1633275001.874119,1633275001.887528,31,13.408899307250977,falcon1024,10,loss,5%,11,5,9260,1329,15,5,8934,983,
1633275002.931888,1633275002.943516,32,11.627912521362305,falcon1024,10,loss,5%,7,5,8910,1326,11,5,8749,983,
1633275003.991448,1633275004.018437,33,26.988983154296875,falcon1024,10,loss,5%,13,12,12924,2010,17,12,12429,1455,
1633275005.13997,1633275005.163664,34,23.69403839111328,falcon1024,10,loss,5%,7,5,8856,1329,11,5,8698,983,
