Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633283741.227188,1633283741.227188,0,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283741.380926,1633283741.389228,1,8.30221176147461,falcon512,10,corrupt,25%,10,5,7039,1329,14,5,6755,983,
1633283742.432246,1633283742.452971,2,20.725011825561523,falcon512,10,corrupt,25%,10,12,8406,2332,16,12,8176,1638,
1633283743.511081,1633283743.511081,3,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283743.665633,1633283743.671786,4,6.153106689453125,falcon512,10,corrupt,25%,4,0,5072,0,5,0,4904,0,
1633283754.563036,1633283754.563036,5,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283754.716747,1633283754.725125,6,8.378028869628906,falcon512,10,corrupt,25%,10,5,7047,1329,14,5,6763,983,
1633283755.767735,1633283755.775941,7,8.205890655517578,falcon512,10,corrupt,25%,6,5,6634,1329,10,5,6518,983,
1633283756.824464,1633283756.833416,8,8.951902389526367,falcon512,10,corrupt,25%,4,0,5072,0,5,0,4904,0,
1633283767.907585,1633283767.92572,9,18.13507080078125,falcon512,10,corrupt,25%,4,0,5072,0,5,0,4904,0,
1633283778.967245,1633283778.975266,10,8.020877838134766,falcon512,10,corrupt,25%,4,0,5072,0,5,0,4904,0,
1633283790.010281,1633283790.017586,11,7.304906845092773,falcon512,10,corrupt,25%,6,5,6638,1329,10,5,6522,983,
1633283791.059217,1633283791.059217,12,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283791.210826,1633283791.453704,13,242.87819862365723,falcon512,10,corrupt,25%,13,12,8807,2706,19,12,8401,2062,
1633283805.859854,1633283805.867482,14,7.627964019775391,falcon512,10,corrupt,25%,6,5,6632,1329,10,5,6516,983,
1633283806.908151,1633283806.915231,15,7.080078125,falcon512,10,corrupt,25%,7,5,6721,1329,10,5,6563,983,
1633283807.962735,1633283807.962735,16,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283808.11401,1633283808.121028,17,7.017850875854492,falcon512,10,corrupt,25%,6,5,6634,1329,10,5,6518,983,
1633283809.157016,1633283809.157016,18,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283809.316611,1633283809.323793,19,7.181882858276367,falcon512,10,corrupt,25%,8,5,6866,1326,12,5,6663,983,
1633283810.365436,1633283810.365436,20,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283810.516207,1633283810.523282,21,7.075071334838867,falcon512,10,corrupt,25%,9,5,6953,1331,13,5,6713,983,
1633283811.564761,1633283811.564761,22,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283811.718291,1633283811.718291,23,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283812.020332,1633283812.02666,24,6.32786750793457,falcon512,10,corrupt,25%,4,0,5072,0,5,0,4904,0,
1633283822.63851,1633283822.646158,25,7.647991180419922,falcon512,10,corrupt,25%,6,5,6637,1329,10,5,6521,983,
1633283823.689759,1633283823.729384,26,39.624929428100586,falcon512,10,corrupt,25%,12,27,8608,3455,16,27,8155,2270,
1633283824.778124,1633283824.78424,27,6.115913391113281,falcon512,10,corrupt,25%,4,0,5072,0,5,0,4904,0,
1633283835.834806,1633283835.834806,28,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283835.987081,1633283835.987081,29,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283836.298756,1633283836.298756,30,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283836.900551,1633283836.907912,31,7.360935211181641,falcon512,10,corrupt,25%,6,5,6641,1329,10,5,6525,983,
1633283851.887787,1633283851.90785,32,20.062923431396484,falcon512,10,corrupt,25%,11,11,8504,2417,16,11,8180,1801,
1633283852.991102,1633283852.99883,33,7.728099822998047,falcon512,10,corrupt,25%,4,0,5072,0,5,0,4904,0,
1633283864.035032,1633283864.035032,34,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283864.187302,1633283864.187302,35,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283864.490283,1633283864.490283,36,0.0,falcon512,10,corrupt,25%,1,0,1242,0,1,0,1200,0,
1633283865.092428,1633283865.100581,37,8.152961730957031,falcon512,10,corrupt,25%,10,29,7043,4912,14,29,6759,3558,
1633283866.15508,1633283866.16379,38,8.709907531738281,falcon512,10,corrupt,25%,6,5,6633,1329,10,5,6517,983,
1633283867.220165,1633283867.227136,39,6.970882415771484,falcon512,10,corrupt,25%,8,5,6868,1329,12,5,6668,983,
1633283868.275133,1633283868.283968,40,8.835077285766602,falcon512,10,corrupt,25%,6,31,6642,5038,10,31,6526,3600,
