Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633283624.86803,1633283624.876156,0,8.126020431518555,falcon512,10,corrupt,5%,6,5,6636,1329,10,5,6520,983,
1633283625.927538,1633283625.935394,1,7.856130599975586,falcon512,10,corrupt,5%,6,5,6643,1329,10,5,6527,983,
1633283626.978081,1633283626.986886,2,8.805036544799805,falcon512,10,corrupt,5%,8,5,6862,1326,12,5,6659,983,
1633283628.028981,1633283628.037247,3,8.265972137451172,falcon512,10,corrupt,5%,8,5,6866,1326,12,5,6663,983,
1633283629.075919,1633283629.083042,4,7.122993469238281,falcon512,10,corrupt,5%,6,5,6637,1329,10,5,6521,983,
1633283630.123675,1633283630.145424,5,21.748781204223633,falcon512,10,corrupt,5%,11,10,8512,2126,16,10,8188,1568,
1633283631.196067,1633283631.205298,6,9.230852127075195,falcon512,10,corrupt,5%,6,5,6634,1329,10,5,6518,983,
1633283632.245786,1633283632.267599,7,21.813154220581055,falcon512,10,corrupt,5%,13,12,8716,2277,18,12,8308,1635,
1633283633.330835,1633283633.339047,8,8.211851119995117,falcon512,10,corrupt,5%,6,5,6637,1329,10,5,6521,983,
1633283634.387159,1633283634.395155,9,7.995843887329102,falcon512,10,corrupt,5%,8,5,6821,1329,12,5,6621,983,
1633283648.535509,1633283648.54629,10,10.780811309814453,falcon512,10,corrupt,5%,6,6,6636,1404,10,6,6520,1016,
1633283649.583928,1633283649.593093,11,9.164810180664062,falcon512,10,corrupt,5%,6,5,6641,1329,10,5,6525,983,
1633283650.638655,1633283650.647119,12,8.46409797668457,falcon512,10,corrupt,5%,8,5,6813,1329,12,5,6613,983,
1633283651.681993,1633283651.689445,13,7.4520111083984375,falcon512,10,corrupt,5%,6,5,6630,1329,10,5,6514,983,
1633283652.719892,1633283652.72778,14,7.888078689575195,falcon512,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633283663.761963,1633283663.77004,15,8.077144622802734,falcon512,10,corrupt,5%,6,5,6641,1329,10,5,6525,983,
1633283664.823103,1633283664.834822,16,11.718988418579102,falcon512,10,corrupt,5%,6,5,6640,1329,10,5,6524,983,
1633283665.879304,1633283665.879304,17,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283666.030356,1633283666.03735,18,6.994009017944336,falcon512,10,corrupt,5%,6,5,6641,1329,10,5,6525,983,
1633283667.082264,1633283667.082264,19,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283667.236498,1633283667.244426,20,7.927894592285156,falcon512,10,corrupt,5%,10,5,7049,1329,14,5,6765,983,
1633283668.287542,1633283668.29745,21,9.907960891723633,falcon512,10,corrupt,5%,6,30,6630,4967,10,30,6514,3571,
1633283682.899741,1633283682.951548,22,51.80716514587402,falcon512,10,corrupt,5%,14,11,10209,2415,20,11,9759,1815,
1633283684.004031,1633283684.004031,23,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283684.157789,1633283684.1658,24,8.011102676391602,falcon512,10,corrupt,5%,6,5,6630,1329,10,5,6514,983,
1633283685.211788,1633283685.221618,25,9.829998016357422,falcon512,10,corrupt,5%,6,5,6638,1329,10,5,6522,983,
1633283686.275864,1633283686.283342,26,7.477998733520508,falcon512,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633283697.326233,1633283697.347258,27,21.02518081665039,falcon512,10,corrupt,5%,15,28,8919,3832,20,28,8427,2518,
1633283698.394668,1633283698.405996,28,11.327981948852539,falcon512,10,corrupt,5%,6,5,6637,1329,10,5,6521,983,
1633283699.454556,1633283699.463075,29,8.51893424987793,falcon512,10,corrupt,5%,6,5,6628,1329,10,5,6512,983,
1633283700.503986,1633283700.511725,30,7.739067077636719,falcon512,10,corrupt,5%,6,5,6629,1329,10,5,6513,983,
1633283701.559601,1633283701.569847,31,10.246038436889648,falcon512,10,corrupt,5%,6,5,6639,1329,10,5,6523,983,
1633283702.622646,1633283702.63049,32,7.843971252441406,falcon512,10,corrupt,5%,6,7,6633,1475,10,7,6517,1045,
1633283716.808025,1633283716.815767,33,7.742166519165039,falcon512,10,corrupt,5%,6,5,6635,1329,10,5,6519,983,
1633283717.868416,1633283717.868416,34,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283718.020833,1633283718.027994,35,7.16090202331543,falcon512,10,corrupt,5%,6,5,6640,1329,10,5,6524,983,
1633283719.074569,1633283719.082991,36,8.421897888183594,falcon512,10,corrupt,5%,6,5,6638,1329,10,5,6522,983,
1633283720.130817,1633283720.138386,37,7.569074630737305,falcon512,10,corrupt,5%,6,5,6635,1329,10,5,6519,983,
1633283721.183035,1633283721.192003,38,8.968114852905273,falcon512,10,corrupt,5%,6,5,6631,1329,10,5,6515,983,
1633283722.225952,1633283722.234527,39,8.575201034545898,falcon512,10,corrupt,5%,6,5,6642,1329,10,5,6526,983,
1633283723.284016,1633283723.291525,40,7.508993148803711,falcon512,10,corrupt,5%,6,5,6639,1329,10,5,6523,983,
1633283724.341217,1633283724.341217,41,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283724.502839,1633283724.50997,42,7.130861282348633,falcon512,10,corrupt,5%,8,5,6858,1326,12,5,6655,983,
1633283725.552758,1633283725.559869,43,7.111072540283203,falcon512,10,corrupt,5%,6,5,6634,1329,10,5,6518,983,
1633283726.598217,1633283726.598217,44,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283726.751074,1633283726.751074,45,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283727.05704,1633283727.064048,46,7.008075714111328,falcon512,10,corrupt,5%,6,5,6631,1329,10,5,6515,983,
1633283741.227192,1633283741.227192,47,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283741.380935,1633283741.38923,48,8.295059204101562,falcon512,10,corrupt,5%,10,5,7039,1329,14,5,6755,983,
1633283742.432249,1633283742.452974,49,20.725011825561523,falcon512,10,corrupt,5%,10,12,8406,2332,16,12,8176,1638,
1633283743.511098,1633283743.511098,50,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283743.665639,1633283743.671788,51,6.149053573608398,falcon512,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633283754.56304,1633283754.56304,52,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283754.716752,1633283754.725127,53,8.374929428100586,falcon512,10,corrupt,5%,10,5,7047,1329,14,5,6763,983,
1633283755.767739,1633283755.775941,54,8.201837539672852,falcon512,10,corrupt,5%,6,5,6634,1329,10,5,6518,983,
1633283756.824469,1633283756.833419,55,8.949995040893555,falcon512,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633283767.907591,1633283767.925722,56,18.130779266357422,falcon512,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633283778.967249,1633283778.975272,57,8.02302360534668,falcon512,10,corrupt,5%,4,0,5072,0,5,0,4904,0,
1633283790.010289,1633283790.017587,58,7.297992706298828,falcon512,10,corrupt,5%,6,5,6638,1329,10,5,6522,983,
1633283791.059225,1633283791.059225,59,0.0,falcon512,10,corrupt,5%,1,0,1242,0,1,0,1200,0,
1633283791.210834,1633283791.453708,60,242.8739070892334,falcon512,10,corrupt,5%,13,12,8807,2706,19,12,8401,2062,
1633283805.859858,1633283805.867483,61,7.62486457824707,falcon512,10,corrupt,5%,6,5,6632,1329,10,5,6516,983,
1633283806.908158,1633283806.915232,62,7.073879241943359,falcon512,10,corrupt,5%,7,5,6721,1329,10,5,6563,983,
