Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633279235.056442,1633279235.061976,0,5.533933639526367,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279235.209585,1633279235.264888,1,55.303096771240234,falcon512,10,delay,200ms,5,5,4188,1326,10,5,4111,983,
1633279236.65543,1633279236.661691,2,6.260871887207031,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279236.807974,1633279236.867153,3,59.178829193115234,falcon512,10,delay,200ms,6,5,4274,1326,10,5,4155,983,
1633279238.271444,1633279238.27693,4,5.486011505126953,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279238.415577,1633279238.480197,5,64.6200180053711,falcon512,10,delay,200ms,5,5,4180,1326,10,5,4103,983,
1633279239.858965,1633279239.86445,6,5.485057830810547,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279240.01958,1633279240.067768,7,48.188209533691406,falcon512,10,delay,200ms,5,5,4183,1326,10,5,4106,983,
1633279241.480476,1633279241.486816,8,6.34002685546875,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279241.632653,1633279241.691058,9,58.40492248535156,falcon512,10,delay,200ms,5,5,4191,1326,10,5,4114,983,
1633279243.078875,1633279243.084898,10,6.022930145263672,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279243.233763,1633279243.289819,11,56.05602264404297,falcon512,10,delay,200ms,6,5,4279,1326,10,5,4160,983,
1633279244.672719,1633279244.678562,12,5.842924118041992,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279244.826107,1633279244.881494,13,55.387020111083984,falcon512,10,delay,200ms,6,5,4280,1326,10,5,4161,983,
1633279246.267935,1633279246.273548,14,5.612850189208984,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279246.426063,1633279246.47688,15,50.817012786865234,falcon512,10,delay,200ms,5,5,4183,1326,10,5,4106,983,
1633279247.861077,1633279247.866769,16,5.692005157470703,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279248.012441,1633279248.219021,17,206.58016204833984,falcon512,10,delay,200ms,7,5,4363,1326,11,5,4202,983,
1633279249.460697,1633279249.466404,18,5.707025527954102,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279249.618401,1633279249.827389,19,208.98795127868652,falcon512,10,delay,200ms,7,5,4363,1326,11,5,4202,983,
1633279265.277922,1633279265.283836,20,5.913972854614258,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279265.432197,1633279266.044206,21,612.008810043335,falcon512,10,delay,200ms,14,10,8891,2478,19,10,8622,1739,
1633279267.089018,1633279267.094958,22,5.939960479736328,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279267.239037,1633279267.843713,23,604.6760082244873,falcon512,10,delay,200ms,13,10,8781,2471,18,10,8547,1739,
1633279268.891991,1633279268.897503,24,5.511999130249023,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279269.044525,1633279269.199391,25,154.86598014831543,falcon512,10,delay,200ms,5,5,4191,1326,10,5,4114,983,
1633279270.690406,1633279270.695898,26,5.491971969604492,falcon512,10,delay,200ms,3,0,3830,0,3,0,3704,0,
1633279270.842881,1633279271.444684,27,601.8030643463135,falcon512,10,delay,200ms,12,10,8701,2474,18,10,8512,1739,
