Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633274536.172005,1633274536.179561,0,7.555961608886719,falcon512,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274547.236039,1633274547.243963,1,7.924079895019531,falcon512,10,loss,10%,6,5,6642,1329,10,5,6526,983,
1633274548.293877,1633274548.30234,2,8.463144302368164,falcon512,10,loss,10%,6,30,6641,4967,10,30,6525,3571,
1633274549.34906,1633274549.359123,3,10.062932968139648,falcon512,10,loss,10%,6,28,6690,3420,10,28,6571,2111,
1633274550.39821,1633274550.406464,4,8.254051208496094,falcon512,10,loss,10%,6,6,6631,1404,10,6,6515,1016,
1633274551.443069,1633274551.451997,5,8.928060531616211,falcon512,10,loss,10%,6,5,6638,1329,10,5,6522,983,
1633274552.503406,1633274552.511059,6,7.652997970581055,falcon512,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274563.717456,1633274563.726009,7,8.552789688110352,falcon512,10,loss,10%,6,4,6642,1246,10,4,6526,942,
1633274564.780661,1633274564.78981,8,9.148836135864258,falcon512,10,loss,10%,6,5,6634,1329,10,5,6518,983,
1633274565.850958,1633274565.858479,9,7.520914077758789,falcon512,10,loss,10%,6,6,5483,1404,9,6,5367,1016,
1633274580.033879,1633274580.041591,10,7.711887359619141,falcon512,10,loss,10%,6,5,6636,1329,10,5,6520,983,
1633274581.229638,1633274581.237907,11,8.26883316040039,falcon512,10,loss,10%,6,5,6636,1329,10,5,6520,983,
1633274582.275978,1633274582.299665,12,23.686885833740234,falcon512,10,loss,10%,11,26,8502,3382,15,26,8089,2241,
1633274583.341675,1633274583.349099,13,7.423877716064453,falcon512,10,loss,10%,6,5,6644,1329,10,5,6528,983,
1633274584.39317,1633274584.399804,14,6.633996963500977,falcon512,10,loss,10%,8,28,6867,3423,12,28,6667,2111,
1633274585.435142,1633274585.458571,15,23.428916931152344,falcon512,10,loss,10%,11,12,8496,1971,15,12,8083,1418,
1633274586.51114,1633274586.518961,16,7.820844650268555,falcon512,10,loss,10%,6,5,6644,1329,10,5,6528,983,
1633274587.553465,1633274587.561242,17,7.777214050292969,falcon512,10,loss,10%,8,5,6869,1326,12,5,6666,983,
1633274588.6073,1633274588.615176,18,7.875919342041016,falcon512,10,loss,10%,6,5,6639,1329,10,5,6523,983,
1633274589.649739,1633274589.658423,19,8.683919906616211,falcon512,10,loss,10%,8,4,6859,1243,12,4,6656,942,
1633274604.02265,1633274604.047393,20,24.743080139160156,falcon512,10,loss,10%,11,12,8506,1979,15,12,8093,1426,
1633274605.130037,1633274605.136955,21,6.9179534912109375,falcon512,10,loss,10%,6,5,6630,1329,10,5,6514,983,
1633274606.381564,1633274606.400933,22,19.369125366210938,falcon512,10,loss,10%,12,8,8649,1459,16,8,8194,1074,
1633274607.441279,1633274607.466546,23,25.26712417602539,falcon512,10,loss,10%,13,12,8697,1975,17,12,8200,1422,
1633274608.722768,1633274608.72926,24,6.491899490356445,falcon512,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274619.597608,1633274619.606151,25,8.543014526367188,falcon512,10,loss,10%,6,28,6631,3423,10,28,6515,2111,
1633274620.648123,1633274620.655938,26,7.814884185791016,falcon512,10,loss,10%,6,5,6640,1329,10,5,6524,983,
1633274621.692058,1633274621.711375,27,19.316911697387695,falcon512,10,loss,10%,11,29,8496,3285,15,29,8083,2018,
1633274622.759283,1633274622.781622,28,22.3388671875,falcon512,10,loss,10%,11,9,8502,1748,15,9,8089,1321,
1633274623.832119,1633274623.838129,29,6.0100555419921875,falcon512,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274647.981182,1633274647.989034,30,7.851839065551758,falcon512,10,loss,10%,8,5,6868,1326,12,5,6665,983,
1633274649.030769,1633274649.038176,31,7.406949996948242,falcon512,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274660.079353,1633274660.088044,32,8.690834045410156,falcon512,10,loss,10%,6,5,6633,1329,10,5,6517,983,
1633274661.137117,1633274661.142575,33,5.45811653137207,falcon512,10,loss,10%,3,0,3830,0,3,0,3704,0,
1633274672.187248,1633274672.195748,34,8.500099182128906,falcon512,10,loss,10%,6,5,6637,1329,10,5,6521,983,
