Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633282121.484428,1633282121.499908,0,15.48004150390625,rsa,10,corrupt,0%,6,5,5998,1326,9,5,5879,983,
1633282122.539048,1633282122.546726,1,7.678031921386719,rsa,10,corrupt,0%,6,5,5995,1326,9,5,5876,983,
1633282123.583271,1633282123.591116,2,7.8449249267578125,rsa,10,corrupt,0%,6,5,5989,1326,9,5,5870,983,
1633282124.625796,1633282124.634162,3,8.365869522094727,rsa,10,corrupt,0%,6,5,5994,1326,10,5,5875,983,
1633282125.652822,1633282125.662032,4,9.209871292114258,rsa,10,corrupt,0%,6,5,5996,1326,9,5,5877,983,
1633282126.693856,1633282126.701968,5,8.111953735351562,rsa,10,corrupt,0%,4,5,4665,2193,8,5,5497,983,
1633282127.734416,1633282127.742577,6,8.161067962646484,rsa,10,corrupt,0%,4,5,4662,2193,8,5,5494,983,
1633282128.787826,1633282128.795449,7,7.622957229614258,rsa,10,corrupt,0%,4,5,4660,2193,8,5,5492,983,
1633282129.826711,1633282129.834238,8,7.52711296081543,rsa,10,corrupt,0%,4,5,4667,2193,8,5,5499,983,
1633282130.866852,1633282130.874537,9,7.684946060180664,rsa,10,corrupt,0%,4,5,4662,2193,8,5,5494,983,
1633282145.06248,1633282145.06248,10,0.0,rsa,10,corrupt,0%,1,0,1242,0,1,0,1200,0,
1633282145.218604,1633282145.226926,11,8.322000503540039,rsa,10,corrupt,0%,6,5,5999,1326,9,5,5880,983,
1633282146.293191,1633282146.302921,12,9.730100631713867,rsa,10,corrupt,0%,6,5,6000,1326,9,5,5881,983,
1633282147.349866,1633282147.357289,13,7.423162460327148,rsa,10,corrupt,0%,4,6,4669,2268,8,6,5501,1016,
1633282148.405867,1633282148.412373,14,6.5059661865234375,rsa,10,corrupt,0%,4,5,4668,2193,8,5,5500,983,
1633282149.449636,1633282149.457988,15,8.352041244506836,rsa,10,corrupt,0%,4,5,4663,2193,8,5,5495,983,
1633282150.512186,1633282150.519848,16,7.662057876586914,rsa,10,corrupt,0%,4,6,4668,2611,10,6,5629,1230,
1633282151.588294,1633282151.595929,17,7.634878158569336,rsa,10,corrupt,0%,6,5,5991,1326,9,5,5872,983,
1633282152.644436,1633282152.652095,18,7.659196853637695,rsa,10,corrupt,0%,6,5,5995,1326,9,5,5876,983,
1633282153.686703,1633282153.694382,19,7.678985595703125,rsa,10,corrupt,0%,4,5,4662,2193,8,5,5494,983,
