Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633282168.854611,1633282168.854611,0,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282169.005676,1633282169.012477,1,6.80088996887207,rsa,10,corrupt,10%,4,5,4668,2193,8,5,5500,983,
1633282170.060251,1633282170.082902,2,22.650957107543945,rsa,10,corrupt,10%,4,5,4666,2193,8,5,5498,983,
1633282171.123142,1633282171.130688,3,7.545948028564453,rsa,10,corrupt,10%,4,5,4667,2193,8,5,5499,983,
1633282172.170318,1633282172.178446,4,8.128166198730469,rsa,10,corrupt,10%,4,5,4668,2193,8,5,5500,983,
1633282173.22854,1633282173.235335,5,6.795167922973633,rsa,10,corrupt,10%,4,5,4666,2193,8,5,5498,983,
1633282174.294083,1633282174.300984,6,6.900787353515625,rsa,10,corrupt,10%,4,5,4665,2193,8,5,5497,983,
1633282175.348701,1633282175.356428,7,7.726907730102539,rsa,10,corrupt,10%,6,29,6001,3492,9,29,5882,2141,
1633282176.406812,1633282176.414837,8,8.024930953979492,rsa,10,corrupt,10%,4,6,4665,2611,10,6,5626,1230,
1633282177.474875,1633282177.483392,9,8.517026901245117,rsa,10,corrupt,10%,4,5,4668,2193,8,5,5500,983,
1633282178.530093,1633282178.537769,10,7.676124572753906,rsa,10,corrupt,10%,4,5,4658,2193,8,5,5490,983,
1633282192.683143,1633282192.689832,11,6.6890716552734375,rsa,10,corrupt,10%,4,30,4657,4414,8,30,5489,2154,
1633282193.726519,1633282193.734831,12,8.311986923217773,rsa,10,corrupt,10%,4,5,4662,2193,8,5,5494,983,
1633282194.810121,1633282194.810121,13,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282194.981515,1633282194.99227,14,10.755062103271484,rsa,10,corrupt,10%,4,5,4659,2193,8,5,5491,983,
1633282196.052952,1633282196.059938,15,6.985902786254883,rsa,10,corrupt,10%,4,5,4664,1326,7,5,4629,983,
1633282197.118017,1633282197.118017,16,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282197.27646,1633282197.283631,17,7.171154022216797,rsa,10,corrupt,10%,5,29,5905,3493,9,29,5829,2141,
1633282198.32602,1633282198.332876,18,6.855964660644531,rsa,10,corrupt,10%,4,31,4664,4486,8,31,5496,2184,
1633282199.372229,1633282199.378943,19,6.7138671875,rsa,10,corrupt,10%,4,5,4661,2193,8,5,5493,983,
1633282200.422427,1633282200.429084,20,6.657123565673828,rsa,10,corrupt,10%,4,5,4660,2193,8,5,5492,983,
1633282201.49163,1633282201.499423,21,7.792949676513672,rsa,10,corrupt,10%,6,5,5989,1326,9,5,5870,983,
1633282202.539475,1633282202.559347,22,19.871950149536133,rsa,10,corrupt,10%,11,24,8420,3312,15,24,8091,2171,
1633282216.71632,1633282216.72406,23,7.740020751953125,rsa,10,corrupt,10%,6,5,5997,1326,9,5,5878,983,
1633282217.771021,1633282217.77839,24,7.369041442871094,rsa,10,corrupt,10%,4,6,4657,2611,10,6,5618,1230,
1633282218.842137,1633282218.848728,25,6.590843200683594,rsa,10,corrupt,10%,4,5,4665,2193,8,5,5497,983,
1633282219.892987,1633282219.901735,26,8.748054504394531,rsa,10,corrupt,10%,4,31,4665,4486,8,31,5497,2184,
1633282220.951035,1633282220.951035,27,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282221.101755,1633282221.109054,28,7.299184799194336,rsa,10,corrupt,10%,5,7,5902,1825,10,7,5956,1267,
1633282222.165885,1633282222.174359,29,8.474111557006836,rsa,10,corrupt,10%,4,28,4662,6693,8,28,5494,4517,
1633282223.216952,1633282223.216952,30,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282223.376917,1633282223.376917,31,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282223.680886,1633282223.680886,32,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282224.300022,1633282224.300022,33,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282225.505799,1633282225.505799,34,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282227.925363,1633282227.931965,35,6.602048873901367,rsa,10,corrupt,10%,4,5,4662,2193,8,5,5494,983,
1633282228.971366,1633282228.979103,36,7.737159729003906,rsa,10,corrupt,10%,6,29,5992,3492,9,29,5873,2141,
1633282230.015752,1633282230.02355,37,7.797956466674805,rsa,10,corrupt,10%,6,5,5992,1326,9,5,5873,983,
1633282231.053931,1633282231.053931,38,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282231.210078,1633282231.210078,39,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282231.518507,1633282231.538066,40,19.55890655517578,rsa,10,corrupt,10%,11,33,8338,5773,16,33,8141,4122,
1633282246.089991,1633282246.097443,41,7.4520111083984375,rsa,10,corrupt,10%,4,32,4658,4904,10,32,5619,2431,
1633282247.150268,1633282247.157584,42,7.315874099731445,rsa,10,corrupt,10%,4,6,4663,2611,10,6,5624,1230,
1633282248.22039,1633282248.22766,43,7.269859313964844,rsa,10,corrupt,10%,4,5,4669,2193,8,5,5501,983,
1633282249.295877,1633282249.302737,44,6.860017776489258,rsa,10,corrupt,10%,4,5,4657,2193,8,5,5489,983,
1633282250.338838,1633282250.34582,45,6.981849670410156,rsa,10,corrupt,10%,5,5,5904,1326,8,5,5827,983,
1633282251.424015,1633282251.431434,46,7.41887092590332,rsa,10,corrupt,10%,5,5,5901,1327,9,5,5825,983,
1633282252.481047,1633282252.491263,47,10.215997695922852,rsa,10,corrupt,10%,6,5,5995,1326,9,5,5876,983,
1633282253.533536,1633282253.533536,48,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282253.691147,1633282253.691147,49,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282254.002045,1633282254.010394,50,8.349180221557617,rsa,10,corrupt,10%,5,5,5899,1326,8,5,5822,983,
1633282255.05754,1633282255.065301,51,7.7610015869140625,rsa,10,corrupt,10%,4,5,4669,2193,8,5,5501,983,
1633282256.115464,1633282256.123329,52,7.864952087402344,rsa,10,corrupt,10%,6,5,5999,1326,9,5,5880,983,
1633282270.659293,1633282270.667213,53,7.920026779174805,rsa,10,corrupt,10%,6,29,5993,3492,9,29,5874,2141,
1633282271.708048,1633282271.717713,54,9.66501235961914,rsa,10,corrupt,10%,6,29,5989,3493,9,29,5871,2141,
1633282272.75372,1633282272.760535,55,6.8149566650390625,rsa,10,corrupt,10%,4,32,4659,4904,10,32,5620,2431,
1633282273.822556,1633282273.830427,56,7.870912551879883,rsa,10,corrupt,10%,4,30,4667,4414,8,30,5499,2154,
1633282274.879775,1633282274.890846,57,11.070966720581055,rsa,10,corrupt,10%,4,32,4666,4904,10,32,5627,2431,
1633282275.966086,1633282275.966086,58,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282276.117448,1633282276.117448,59,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282276.41932,1633282276.41932,60,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282277.02263,1633282277.029423,61,6.793022155761719,rsa,10,corrupt,10%,4,5,4666,2193,8,5,5498,983,
1633282278.080173,1633282278.087854,62,7.6808929443359375,rsa,10,corrupt,10%,4,5,4669,2193,8,5,5501,983,
1633282279.132391,1633282279.140104,63,7.713079452514648,rsa,10,corrupt,10%,6,29,6000,3492,9,29,5881,2141,
1633282280.176533,1633282280.183648,64,7.11512565612793,rsa,10,corrupt,10%,5,5,5900,1327,8,5,5824,983,
1633282281.22285,1633282281.229331,65,6.480932235717773,rsa,10,corrupt,10%,4,28,4661,4262,8,28,5493,2086,
1633282295.825181,1633282295.831839,66,6.658077239990234,rsa,10,corrupt,10%,4,27,4663,6621,8,27,5495,4487,
1633282296.876452,1633282296.876452,67,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282297.033821,1633282297.042376,68,8.554935455322266,rsa,10,corrupt,10%,6,6,5998,1402,9,6,5880,1016,
1633282298.089948,1633282298.098299,69,8.35108757019043,rsa,10,corrupt,10%,4,5,4657,2528,10,5,5618,1189,
1633282299.171513,1633282299.171513,70,0.0,rsa,10,corrupt,10%,1,0,1242,0,1,0,1200,0,
1633282299.322412,1633282299.353565,71,31.152963638305664,rsa,10,corrupt,10%,16,16,10860,2752,23,16,10452,1816,
1633282300.591715,1633282300.602244,72,10.528802871704102,rsa,10,corrupt,10%,6,4,6000,1244,9,4,5882,942,
1633282301.647897,1633282305.907315,73,4259.41801071167,rsa,10,corrupt,10%,7,11,6820,4017,19,11,8048,2033,
1633282306.952847,1633282306.963717,74,10.869979858398438,rsa,10,corrupt,10%,6,5,5990,1327,9,5,5872,983,
