Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633282270.659286,1633282270.667211,0,7.9250335693359375,rsa,10,corrupt,30%,6,29,5993,3492,9,29,5874,2141,
1633282271.70804,1633282271.717711,1,9.67097282409668,rsa,10,corrupt,30%,6,29,5989,3493,9,29,5871,2141,
1633282272.753711,1633282272.760534,2,6.823062896728516,rsa,10,corrupt,30%,4,32,4659,4904,10,32,5620,2431,
1633282273.822548,1633282273.830426,3,7.87806510925293,rsa,10,corrupt,30%,4,30,4667,4414,8,30,5499,2154,
1633282274.879771,1633282274.890845,4,11.074066162109375,rsa,10,corrupt,30%,4,32,4666,4904,10,32,5627,2431,
1633282275.966077,1633282275.966077,5,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282276.117437,1633282276.117437,6,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282276.419313,1633282276.419313,7,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282277.022626,1633282277.029422,8,6.796121597290039,rsa,10,corrupt,30%,4,5,4666,2193,8,5,5498,983,
1633282278.080165,1633282278.087853,9,7.688045501708984,rsa,10,corrupt,30%,4,5,4669,2193,8,5,5501,983,
1633282279.132384,1633282279.140101,10,7.716894149780273,rsa,10,corrupt,30%,6,29,6000,3492,9,29,5881,2141,
1633282280.176526,1633282280.183645,11,7.118940353393555,rsa,10,corrupt,30%,5,5,5900,1327,8,5,5824,983,
1633282281.222842,1633282281.22933,12,6.48808479309082,rsa,10,corrupt,30%,4,28,4661,4262,8,28,5493,2086,
1633282295.825172,1633282295.831838,13,6.665945053100586,rsa,10,corrupt,30%,4,27,4663,6621,8,27,5495,4487,
1633282296.876447,1633282296.876447,14,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282297.033812,1633282297.042374,15,8.561849594116211,rsa,10,corrupt,30%,6,6,5998,1402,9,6,5880,1016,
1633282298.08994,1633282298.098298,16,8.358001708984375,rsa,10,corrupt,30%,4,5,4657,2528,10,5,5618,1189,
1633282299.171508,1633282299.171508,17,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282299.322408,1633282299.353562,18,31.154155731201172,rsa,10,corrupt,30%,16,16,10860,2752,23,16,10452,1816,
1633282300.591711,1633282300.602242,19,10.530948638916016,rsa,10,corrupt,30%,6,4,6000,1244,9,4,5882,942,
1633282301.647892,1633282305.907311,20,4259.418964385986,rsa,10,corrupt,30%,7,11,6820,4017,19,11,8048,2033,
1633282306.95283,1633282306.963716,21,10.885953903198242,rsa,10,corrupt,30%,6,5,5990,1327,9,5,5872,983,
1633282308.013459,1633282308.021558,22,8.099079132080078,rsa,10,corrupt,30%,4,5,4661,2193,8,5,5493,983,
1633282309.055221,1633282309.055221,23,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282309.211192,1633282309.219957,24,8.765220642089844,rsa,10,corrupt,30%,7,5,6085,1326,10,5,5924,983,
1633282310.260239,1633282310.268253,25,8.014202117919922,rsa,10,corrupt,30%,6,5,5993,1326,9,5,5874,983,
1633282324.660904,1633282324.670653,26,9.749174118041992,rsa,10,corrupt,30%,5,27,5909,5754,8,27,5832,4487,
1633282325.712728,1633282325.734961,27,22.233009338378906,rsa,10,corrupt,30%,12,6,8421,1904,16,6,8133,1436,
1633282326.798575,1633282326.798575,28,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282326.951043,1633282326.960109,29,9.066104888916016,rsa,10,corrupt,30%,8,28,6172,5827,11,28,5970,4517,
1633282328.001981,1633282328.001981,30,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282328.158542,1633282328.166515,31,7.973194122314453,rsa,10,corrupt,30%,6,4,5996,1243,9,4,5877,942,
1633282329.207966,1633282329.216086,32,8.119821548461914,rsa,10,corrupt,30%,6,5,5988,1326,10,5,5869,983,
1633282330.260694,1633282330.260694,33,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282330.411713,1633282330.419409,34,7.6961517333984375,rsa,10,corrupt,30%,6,26,5990,3221,9,26,5871,1996,
1633282331.462544,1633282331.462544,35,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282331.618155,1633282331.625252,36,7.097005844116211,rsa,10,corrupt,30%,5,5,5905,1326,8,5,5828,983,
1633282332.662594,1633282332.662594,37,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282332.813263,1633282332.813263,38,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282333.1157,1633282333.1157,39,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282333.720444,1633282333.720444,40,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282334.924262,1633282334.924262,41,0.0,rsa,10,corrupt,30%,1,0,1242,0,1,0,1200,0,
1633282337.34141,1633282337.34895,42,7.539987564086914,rsa,10,corrupt,30%,5,5,5910,1326,8,5,5833,983,
1633282338.387492,1633282338.395549,43,8.057117462158203,rsa,10,corrupt,30%,7,4,6085,1243,10,4,5924,942,
1633282339.436964,1633282339.446312,44,9.347915649414062,rsa,10,corrupt,30%,4,6,4663,2948,12,6,5755,1436,
1633282360.786477,1633282360.791897,45,5.41996955871582,rsa,10,corrupt,30%,11,5,11043,1329,15,5,10717,983,
1633282361.819826,1633282361.823258,46,3.432035446166992,rsa,10,corrupt,30%,9,5,10856,1329,13,5,10614,983,
1633282362.851892,1633282362.856187,47,4.295110702514648,rsa,10,corrupt,30%,11,5,11037,1329,15,5,10711,983,
1633282363.879839,1633282363.886811,48,6.972074508666992,rsa,10,corrupt,30%,11,5,11045,1329,15,5,10719,983,
1633282364.914343,1633282364.919715,49,5.371809005737305,rsa,10,corrupt,30%,9,5,10859,1329,13,5,10617,983,
1633282365.948372,1633282365.953533,50,5.161046981811523,rsa,10,corrupt,30%,11,5,11037,1329,15,5,10711,983,
